Country,Happiness_Score_All,GDP_per_Capita_All,Social_Support__All,Health_or_Life Expectancy_All,Freedom_All,Perceptions_Of_Corruption_All,Generosity_All,Dystopia_Residual_All
Panama,6.59225003528595,1.14808460899353,1.2497031371879577,0.7425290336513519,0.5445992085027695,0.07772848099291325,0.2054242348110675,2.6400674887466424
Argentina,6.552749994277955,1.115793865652085,1.30570028629303,0.7308692708826066,0.4842748009753228,0.0678849719285965,0.09896426517367375,2.7627138318061824
France,6.49599997806549,1.3491458654785151,1.2798092129135124,0.884051462945938,0.5014880288791658,0.183260607073307,0.11817057670235626,2.22390368560791
Malta,6.485999987602234,1.2821249596405024,1.3535579162406925,0.8490760591888428,0.5968392629241943,0.15161651722192773,0.5076551437711716,1.7807457077789302
Uruguay,6.465749999046325,1.13844742381096,1.2778894672584526,0.7559117058944702,0.5879730635881425,0.19814546818017953,0.17951423226833352,2.3665548836135875
Qatar,6.43375,1.7586139215087901,1.1338842199420924,0.7431645219469071,0.6163302458381653,0.403217313902378,0.3090209675097465,1.5121111050796499
Colombia,6.3937499685287476,0.9948880812358851,1.2757632341671,0.6293469808959959,0.4976243537688255,0.047714685463011275,0.14707111824035649,2.8110370311927797
Saudi Arabia,6.376249965667725,1.4486408887958526,1.1374743997383125,0.6340170824337005,0.41206764311075206,0.256438063697815,0.134311503471136,2.384992421875
Thailand,6.356249946594238,1.05001719288826,1.288150613918305,0.6854722573518752,0.5673426829385757,0.030203183810412874,0.5248457775735855,2.21738958568573
Spain,6.350749969482423,1.302009466085435,1.3783327255821225,0.922135149974823,0.4231853076124193,0.06756602428257465,0.172763392906189,2.1032644350051877
Guatemala,6.320749999046326,0.8082679864931107,1.1095837984085075,0.5832199974393845,0.5541076544809342,0.08248831964552403,0.25636459820747376,2.9442677740287775
Kuwait,6.180500004768373,1.5695781129264825,1.1510546871471399,0.6669289270305632,0.509246898150444,0.20348488757729527,0.17930494947552672,1.9274038013076775
Bahrain,6.09249997329712,1.397603065252305,1.2123301153087624,0.688813258676529,0.5148542297887803,0.23594054239273077,0.190189621708393,1.8835423468399048
El Salvador,6.0919999456405645,0.8385061239576339,1.0619862728881826,0.6270971381950378,0.417410632417202,0.09896773997306821,0.08473699635326863,2.983983471832275
Slovakia,6.086000012397765,1.24600838938713,1.3486823105621348,0.7453557277774809,0.30030936614751824,0.025497712909877297,0.1404611202299595,2.2832041628456126
Malaysia,6.045250027656555,1.2071238549423224,1.1232815085601802,0.6588461069107054,0.4197037456154822,0.08010517703175545,0.3682747324085235,2.20267472267151
Uzbekistan,6.01425004863739,0.7184477719306945,1.410374787397385,0.5506556568980218,0.662234665737152,0.27427955578923224,0.3289034117770194,2.1341759011840824
Nicaragua,6.008000024795533,0.6730973009681702,1.16081642742157,0.6870914901542662,0.4987804616260527,0.153694495460987,0.2713885542464257,2.5953201397895826
Ecuador,5.9829999742507916,0.9317250995826725,1.1187347034263602,0.7246290555906295,0.47490954963922505,0.15535116187214848,0.12006561625599851,2.48785814573288
Italy,5.972250056266785,1.3162891547298425,1.296340820417405,0.9011560869169235,0.24702017817020422,0.027649522853940726,0.17621491204381,2.0146680134201054
Japan,5.935750019073488,1.3404312945747376,1.3039994571590423,0.9518739677715302,0.5055963864946365,0.17105268414616576,0.10221569203794001,1.5981033881759652
Poland,5.930500012397765,1.2097969656944274,1.30501049258232,0.7375213369989394,0.5123655278968811,0.05510695154845715,0.1446214916455745,1.9819307041168224
South Korea,5.882999955177308,1.317942110738755,1.002988610191345,0.9267610190105438,0.27142041647672654,0.06750316714763643,0.18887109179735173,2.1203270019721976
Lithuania,5.8749999876022345,1.2320030869674676,1.3305190266513827,0.680742485051155,0.24673544623494148,0.0115939107132703,0.020706164169088,2.354045130786895
Kazakhstan,5.845749941825868,1.1948815674114224,1.244554753923415,0.6136453876590731,0.4532860708093642,0.1090357215964795,0.15458610576510426,2.1058581397628773
Russia,5.8362499551773075,1.2006745242881776,1.3092655971717826,0.6013798334407808,0.3665982778930665,0.030968220257163045,0.0366534556016326,2.2969243535614026
Slovenia,5.830499974250793,1.2611639886379251,1.3221247051906575,0.8279270569992064,0.5864414518928528,0.04258724469721317,0.22832727331757552,1.5745918247222899
Bolivia,5.821749988555908,0.765076641511917,1.0667047629833224,0.4976325623750688,0.5621207317113878,0.06998443154036998,0.197225181183815,2.67649225698471
Moldova,5.815999955177308,0.6680301575660704,1.0998563927650449,0.5877038002252577,0.263232262212038,0.0113178215381503,0.197314781601429,2.9884995998001096
Algeria,5.781750054359436,1.015703616666795,1.0527568663501752,0.6350711614370345,0.2015464519798755,0.15412402758598326,0.06827416174948216,2.6879334566307076
Venezuela,5.7375,1.075585300245285,1.29732939874649,0.6534260567569732,0.22863678081035627,0.07755528074026108,0.055482407473921774,2.3626134396171574
Peru,5.736250038146972,0.9663588180446626,1.0637275961971275,0.6660690283441542,0.44249571972608576,0.048464771635234355,0.12847742872595774,2.42923485754013
Belarus,5.666749941825867,1.0895243899917602,1.3064413040447225,0.6762085666942597,0.31817256546974176,0.16894595541834825,0.1265043772768975,2.0194882461357127
Turkmenistan,5.666000006675719,1.046354190740585,1.3227497903347025,0.48341152010440824,0.4213629822564125,0.2223450850510597,0.21109624688863748,1.9679099556159974
Mauritius,5.661250046730042,1.1076813867282875,1.08468024758339,0.6733493655061722,0.5243393315339088,0.054855388795435424,0.33822093771696105,1.890565978450775
Cyprus,5.654499953269958,1.27790951924324,0.9806283181667325,0.8815186752939226,0.36997538484096526,0.04749449410051107,0.2646735752677917,1.8408822997283925
Paraguay,5.647500007629395,0.8552793293190002,1.3612912199211125,0.609545173330307,0.503961947939396,0.08036147835969926,0.24537766441345227,2.010300872592925
Libya,5.615000023841857,1.0712832660865774,1.1942360825252525,0.5750022549247742,0.4462833075284957,0.11355755254507066,0.1554734166133405,2.0963528109550476
Latvia,5.610249976158142,1.18493715620041,1.2261462354946124,0.6683642427062987,0.316344478111267,0.07301568166196348,0.15044619651675223,2.0073488011932374
Romania,5.6054999523162845,1.1367084778308874,0.9957503226184851,0.7140195780801771,0.42570093561410904,0.004666975174732508,0.12197247943162925,2.206990370960235
Jamaica,5.604999967575073,0.8620723273658752,1.2439895160770424,0.6540305960416795,0.4974243097639085,0.0380494452548027,0.19114208433032026,2.12588141708374
Estonia,5.57400001525879,1.2380648350429526,1.322052774915695,0.721689579091072,0.47403035759687423,0.17356973055720326,0.08898020280122756,1.5990446648406975
Kosovo,5.48274995136261,0.8773535955381393,0.9601133758068076,0.5726930125522612,0.27493448512554175,0.048337904514074326,0.2892378618764877,2.4658276809501647
Croatia,5.465250055313111,1.1516465583515174,0.8833282518577574,0.7328946303224563,0.28341807315349576,0.03660577751129865,0.15169574404478076,2.2353131064796448
Turkey,5.426,1.1430435935020449,1.1353107941722875,0.6756264018774032,0.2729451499080658,0.12240289497435092,0.08057326048016547,2.0235744861412046
Philippines,5.326499957084655,0.787547303853035,1.1199618937206275,0.5081272636651992,0.6005511686182022,0.1111729732567072,0.1950408558011055,2.0305111878967277
Serbia,5.273249995231627,0.9998043948173525,1.1125299493503575,0.6824861678266525,0.21374138206243526,0.038365945152342325,0.18845147095441822,2.04861860671997
Indonesia,5.267000020980835,0.9184621480846404,1.1131936748218525,0.536503930132389,0.4599508658003807,0.009134283872619275,0.5440661469841002,1.6900442440986627
Pakistan,5.26675001335144,0.6656183826541899,0.5395376723909378,0.43594194578409196,0.20911381539464,0.12019701668679726,0.29500150479316706,3.0296098225593573
Jordan,5.24799999141693,0.9279305986070632,1.1050422232341774,0.6382750145816802,0.41331528731346123,0.1324258180469275,0.13883011505603798,1.9258891393852224
Azerbaijan,5.234500051498413,1.0813054414081573,1.0029375638008124,0.582316443977356,0.3879314595627785,0.1741943767762185,0.05266483506917952,1.99717792236328
Montenegro,5.234249997138978,1.0477222589874275,1.0411691245555876,0.6892511683797838,0.1969247638487815,0.10983604852437973,0.16055525602340698,2.0091678854179373
China,5.225999940872192,0.9970214476394651,1.0108493529701226,0.7731513751602173,0.5067194270110129,0.0452635686533153,0.04731171025022865,1.8715521482276927
Hungary,5.222249970436096,1.2048429835701,1.2194807729816426,0.7137233631324769,0.23842087982773774,0.03273423435240985,0.0916004156023264,1.7269823185729976
Portugal,5.207500042915345,1.234788823719025,1.2197657545852651,0.8371658854055405,0.5056063249015808,0.014714862921684975,0.10105067812800408,1.2986131762313848
Morocco,5.1632500333786,0.8081211452770232,0.6496911087989808,0.61774016726017,0.38538208302736277,0.08281579570472242,0.042614988788962374,2.5954573484992975
Kyrgyzstan,5.1515000467300425,0.5402350190210343,1.2289321477985373,0.5882069491434097,0.4579583471751213,0.041094794750809675,0.34855009338140497,1.9551957842254648
Vietnam,5.1494999704360955,0.7190193938684462,1.086480332775115,0.6906247472953798,0.5857588977766037,0.09665080931067467,0.2078295128285885,1.7829621647071852
Dominican Republic,5.143000004768373,0.9961534591293325,1.2525991765213025,0.6084534363603592,0.557474958434105,0.1215013132983445,0.18416696243286126,1.4489437900924675
Bhutan,5.135500039100648,0.8261340971279145,1.1718591286087026,0.5236348231220245,0.5088344201564791,0.165107597452402,0.450873636291027,1.5315711006164552
Macedonia,5.122000047683715,0.99034698428154,1.0578932534885401,0.679694546122551,0.33278899466991424,0.05900444838911296,0.22135524091959002,1.793817327690125
Greece,5.118750059127808,1.2116018702793125,1.03136864317894,0.8429047257709502,0.09048531273543836,0.03563244422286751,0.0,1.9179178908348076
Bosnia and Herzegovina,5.105750040054322,0.9158673544073105,0.9275414843750001,0.7404140768575668,0.16799079422593127,0.0005675,0.27295937376499174,2.0804756437492373
Lebanon,5.0979999761581425,1.0470768826770775,0.93436856188774,0.7803152691555022,0.2954889962530135,0.036985957441926,0.22673018967390052,1.7857634607505801
Nigeria,5.092999970436096,0.719816564025879,0.9842676207542425,0.0790164325594902,0.36970814135789876,0.032230391518026605,0.234116799120903,2.6818601347923274
Honduras,5.0860000581741325,0.6600457794332505,1.0145962446784975,0.6208748699855805,0.36902746505260475,0.07116386313676835,0.21696471841216075,2.15160028930664
Tajikistan,5.045249972343446,0.46938340886116026,1.0155283187389375,0.5580537811470031,0.4702016767239571,0.14204678656101224,0.23817941089749328,2.186024832439423
Mongolia,4.9652499809265125,0.93948896639824,1.3501103090477,0.5725383711147307,0.39628099220514307,0.031103072295486926,0.317288557574749,1.3664355905532826
Tunisia,4.795249957084655,0.9414089515495299,0.7025728648757934,0.659228012251854,0.26472267239332203,0.0737507872056961,0.04834083929985763,2.1210102899169927
Nepal,4.78724997329712,0.42776254796504976,0.9921908153247825,0.5281501951742172,0.4298114870643615,0.07003138653039932,0.3501640414738655,2.0086377684021
Palestinian Territories,4.746750023841857,0.656789806880951,1.003629289655685,0.5990642433977127,0.23578526542902,0.10011565051794052,0.10605579347610475,2.0640925689888
Iran,4.72449997806549,1.0855632767391201,0.603897812256813,0.6676757971334457,0.30852315202832226,0.07302276837497951,0.35887072831153877,1.6590762377548225
Albania,4.711000013351439,0.936540688328743,0.7316638119745256,0.7661199366617203,0.36912215870380405,0.04725105399996042,0.1653582360732555,1.70313539018631
Zambia,4.70374998474121,0.5702016948223114,0.90097682469368,0.2719514737057685,0.46987337312459954,0.09992088753759859,0.2112875362205505,2.1999788639450073
South Africa,4.663499999046325,0.9848371764183049,1.23499965809822,0.245017517594099,0.4380366838932037,0.07537487435102463,0.12466309497714048,1.5744346509170524
Bangladesh,4.611249950408935,0.5144957438230515,0.565920435142517,0.5609427583885193,0.466084164853096,0.1298094648468495,0.18219883803486825,2.2278615405464173
Cameroon,4.608750042915345,0.5116938412714005,0.8375270547485352,0.16897302922606475,0.4512096871614455,0.0533566578540206,0.21306961419701576,2.3835388955497754
Sierra Leone,4.605500027656555,0.329877732179165,0.8452115112447738,0.0013911884743720302,0.3472369227409362,0.07347879401028158,0.24622272535562523,2.7753924730682376
Iraq,4.551250054359435,1.0432351213645927,0.8401382994508743,0.5375776174974443,0.21027888317346577,0.1191139386719465,0.1806868160033225,1.643956815223695
Bulgaria,4.520500056266785,1.0851697720813749,1.2452348646068574,0.7161919201135636,0.29157292939662927,0.00873038273744285,0.10607942359507073,1.069704821987152
Ethiopia,4.4575000095367425,0.282698461368084,0.69951230093956,0.38268492688655853,0.4155931856107713,0.15840892846703525,0.26778018503665924,2.2874109331130974
Kenya,4.43449999332428,0.4852148655366898,0.9692776813888551,0.369952087419033,0.4461684415125848,0.06122282980382442,0.3963900773406027,1.719928049697875
Egypt,4.4275000333786,0.927612951874733,0.8169003480386734,0.5528668146800995,0.23886503865718847,0.09713784136950974,0.11515036069631575,1.7055952684211724
Ghana,4.42149997138977,0.6089687061071396,0.7356836841869354,0.33269193169593797,0.4387940733790397,0.0326215924680233,0.22795598593950275,2.052064376983642
Sri Lanka,4.399250014305115,0.9340675360965724,1.1102140967559824,0.6563152080488206,0.5479108137321473,0.0737709915471077,0.41898089040756226,0.6705698119735717
Myanmar,4.388750019073487,0.41532763760089875,0.9265239852333075,0.42694564217567454,0.49039550872802723,0.1898965511667728,0.7629162902450563,1.2212226008415226
India,4.368500014305115,0.724642812037468,0.5438956491851807,0.47665690420866025,0.45242425124883656,0.08934172131478788,0.22964212236523623,1.8751417792320249
Armenia,4.351749981880188,0.8364166844654082,0.849840930194855,0.6685636064958572,0.19928581683993352,0.032458605376034975,0.07924202295660973,1.692717289237975
Congo (Kinshasa),4.328500052452088,0.054428087201118476,1.0432458641433724,0.1703667562150955,0.23250783695459373,0.06231033912301062,0.23659395832896224,2.542079664554595
Senegal,4.322249961853028,0.42910725560665125,1.0117604776859275,0.42058321314334873,0.36555056668043123,0.10535011199176299,0.18023222329258926,1.8300515371704098
Mauritania,4.321249954223633,0.5683593221855163,1.0568827075958251,0.3056198199105263,0.14855451075613496,0.146029251166582,0.1954325060510635,1.92366682893753
Gabon,4.310000038146972,1.1132400598526,0.987145054330825,0.3859246471214295,0.3171121442604065,0.08302419680058955,0.0516113445842266,1.3852965673255926
Ukraine,4.301000048637389,0.8398979873514175,1.2561118920230874,0.6112709880304338,0.16644869393289102,0.020482367704063652,0.20336036577939975,1.2061105786705018
Georgia,4.293749943733215,0.8458581660556792,0.4351812334918975,0.6655392452144622,0.35369750890254975,0.29219415881872174,0.05383470385938882,1.7012144514846799
Congo (Brazzaville),4.268749972343445,0.735178563117981,0.6959835907554627,0.306396858484745,0.4357664677000045,0.09275203340113161,0.1141255319178105,1.9075739093208326
Sudan,4.24174998474121,0.60406917304039,1.0718321424293524,0.3173227059531213,0.0329514638198167,0.1047093799984455,0.1719268626606465,1.959396459941865
Mali,4.176250014305115,0.3549601234579088,1.103265849552155,0.17266641856431952,0.3344059358263015,0.10524006163835525,0.18024354973316203,1.93949773902893
Ivory Coast,4.105499957084655,0.5411147301578522,0.7809225075626373,0.08131304242104292,0.4474990481829643,0.1418954438614845,0.18806686747789375,1.9504935664558398
Zimbabwe,4.0925,0.33856413374185557,0.9811589770412451,0.23475343847274774,0.31382105175256725,0.09024634535253048,0.17401087344288824,1.98439506181717
Cambodia,4.08175005531311,0.541796274046898,0.81477458533287,0.480715850968361,0.645088955874443,0.07162398773789405,0.36222574209690095,1.181905273361205
Malawi,4.001250007152557,0.13064300957441327,0.4029772078609468,0.285087395849228,0.46068866344451903,0.0745304135018587,0.28453261744022373,2.38282153892517
Uganda,3.9779999628067024,0.3154101788306238,1.0656569344520577,0.24737315165638926,0.44674648882150647,0.0637899297094345,0.28661151419401176,1.5677956643867499
Niger,3.973749969482423,0.12375633268952375,0.8094937512159347,0.262048751757145,0.40274717410326,0.14143073654770852,0.20181096138238902,2.0573608457946775
Burkina Faso,3.9455000162124625,0.310574428396225,0.905675001363755,0.23851606466650974,0.3412494627547265,0.1254945264965295,0.22171617114543923,1.8343357264709477
Haiti,3.93274998140335,0.3228275657176972,0.5982699554872513,0.30743278250932704,0.10508496433153747,0.1300955373817682,0.4556634452223777,2.0392644087409977
Chad,3.9167500271797175,0.3900207468438147,0.8133139680385589,0.07061867877006531,0.17860550670742997,0.0539479705670476,0.19191096261858953,2.233392010231017
Botswana,3.9155000081062328,1.0567260385894774,1.0980137486457824,0.2885088773441315,0.49950908323287974,0.10575329977095128,0.09255211205422877,0.7975334283638
Angola,3.872250019073488,0.7983795450544356,0.9383679899120325,0.13390216640889643,0.027432500000000005,0.07157008382618428,0.10526912250220774,1.8126156007003775
Liberia,3.805249998092653,0.09332544826209549,0.7558319841527941,0.2676445491993427,0.32366779560804376,0.04494706226795913,0.239199971318245,2.08810399028778
Madagascar,3.69850001335144,0.26389717329263673,0.7375450930976868,0.40388082720041274,0.18471919135570525,0.06813299387395381,0.19936563261866577,1.8530906519889825
Yemen,3.6872499837875377,0.539890861840248,0.7910605617427825,0.341050228922367,0.26946843052744873,0.06455685567647218,0.09416130228817475,1.6029201512527473
Guinea,3.683499992370605,0.24671748252391823,0.5897236714124681,0.20837728479623802,0.35734187824249275,0.11138190442979326,0.258881273021698,1.9345179743194576
Benin,3.6555000162124625,0.3726813519334793,0.31633746088743203,0.2448275528264045,0.4369831939864157,0.06870975381970405,0.18883711529374125,2.0437577413082124
Afghanistan,3.5902499775886527,0.3588918044185638,0.3829408315944673,0.22813419471144675,0.14740488012194625,0.0663669575148821,0.29516273314476027,2.1201202954483023
Tanzania,3.5247499942779554,0.4307214690446852,0.9529749508285525,0.3711648211240767,0.3793494444203378,0.0678737766945362,0.3206865904307365,1.0261526166152954
Rwanda,3.464749989032745,0.31282147330999377,0.8078167557859419,0.368428701827526,0.5882634632492065,0.489085003464222,0.22863900734186177,0.780667808856964
Togo,3.40899997138977,0.26358867935180674,0.2614581326127053,0.25816139216184625,0.38143403465986253,0.10496125382006166,0.17421903767704974,1.9902223129653926
Syria,3.24974997329712,0.719135783586502,0.3504131518125535,0.5978508355903626,0.09887486115634442,0.16418428263425824,0.456355932059288,0.8990108763504026
Burundi,2.904999992847442,0.06655814216673375,0.47677089608669276,0.16951019792079924,0.07165018830001355,0.08873948626160622,0.18840129614949225,1.8620210420036327
