,club_name,player_name,age,position,club_involved_name,fee,fee_converted,transfer_movement,transfer_period,league_name,year,season
3093,Chievo Verona,Simone Bentivoglio,21.0,Central Midfield,Juventus,£198Th.,0.3575852313264,in,Summer,Serie A,2006,2006/2007
3094,Ascoli Calcio 1898,Stefano Guberti,21.0,Right Winger,Torres,£270Th.,0.48761622453600006,in,Summer,Serie A,2006,2006/2007
3095,Ascoli Calcio 1898,Daniele Galloppa,21.0,Central Midfield,AS Roma,Loan fee:£135Th.,0.24380811226800003,in,Summer,Serie A,2006,2006/2007
3096,AC Milan,Massimo Oddo,30.0,Right-Back,Lazio,£6.98m,12.605782397264,in,Winter,Serie A,2006,2006/2007
3097,AC Milan,Ronaldo,30.0,Striker,Real Madrid,£6.75m,12.1904056134,in,Winter,Serie A,2006,2006/2007
3098,AC Milan,Leandro Grimi,21.0,Left-Back,Racing Club,£2.25m,4.0634685378,in,Winter,Serie A,2006,2006/2007
3099,AC Milan,Marco Storari,30.0,Goalkeeper,Messina Peloro,£765Th.,1.381579302852,in,Winter,Serie A,2006,2006/2007
3100,UC Sampdoria,Al-Saadi Al Gaddafi,33.0,Attacking Midfield,Al-Jamahiriyah,£248Th.,0.4478845321664,in,Winter,Serie A,2006,2006/2007
3101,UC Sampdoria,Carlo Zotti,24.0,Goalkeeper,AS Roma,Loan fee:£149Th.,0.26909191650319997,in,Winter,Serie A,2006,2006/2007
3102,ACF Fiorentina,Zdravko Kuzmanovic,19.0,Central Midfield,FC Basel,£2.70m,4.876162245360001,in,Winter,Serie A,2006,2006/2007
3103,Torino FC,Gianluca Comotto,27.0,Right-Back,AS Roma,£1.98m,3.5758523132640003,in,Winter,Serie A,2006,2006/2007
3104,Torino FC,Francesco Coco,29.0,Left-Back,Inter,Loan fee:£405Th.,0.7314243368040001,in,Winter,Serie A,2006,2006/2007
3105,Udinese Calcio,Tomás Sivok,23.0,Centre-Back,Sparta Praha,£1.80m,3.25077483024,in,Winter,Serie A,2006,2006/2007
3106,Udinese Calcio,Tomas Zapotocny,26.0,Centre-Back,Slovan Liberec,£450Th.,0.81269370756,in,Winter,Serie A,2006,2006/2007
3107,Udinese Calcio,Fabrizio Casazza,36.0,Goalkeeper,Pavia,£135Th.,0.24380811226800003,in,Winter,Serie A,2006,2006/2007
3108,SS Lazio,Tommaso Berni,23.0,Goalkeeper,Ternana,£1.35m,2.4380811226800003,in,Winter,Serie A,2006,2006/2007
3109,SS Lazio,Luis Jiménez,22.0,Attacking Midfield,Ternana,Loan fee:£280Th.,0.505676084704,in,Winter,Serie A,2006,2006/2007
3110,AS Roma,Francesco Tavano,27.0,Striker,Valencia,Loan fee:£522Th.,0.9427247007696001,in,Winter,Serie A,2006,2006/2007
3111,AS Roma,Christian Wilhelmsson,27.0,Right Winger,FC Nantes,Loan fee:£450Th.,0.81269370756,in,Winter,Serie A,2006,2006/2007
3112,US Palermo,Edinson Cavani,19.0,Striker,Danubio FC,£4.50m,8.1269370756,in,Winter,Serie A,2006,2006/2007
3113,US Palermo,Radoslaw Matusiak,25.0,Striker,GKS Belchatow,£1.71m,3.0882360887280003,in,Winter,Serie A,2006,2006/2007
3114,AC Siena,Roman Eremenko,19.0,Attacking Midfield,Udinese,Loan fee:£315Th.,0.5688855952920001,in,Winter,Serie A,2006,2006/2007
3115,Reggina Calcio,Nenad Novakovic,24.0,Goalkeeper,Odense BK,£1.44m,2.6006198641919998,in,Winter,Serie A,2006,2006/2007
3116,Reggina Calcio,Pasquale Foggia,23.0,Attacking Midfield,Lazio,Loan fee:£225Th.,0.40634685378,in,Winter,Serie A,2006,2006/2007
3117,Ascoli Calcio 1898,Luis Fernando Centi,30.0,Central Midfield,Atalanta,£653Th.,1.1793088689704,in,Winter,Serie A,2006,2006/2007
3118,Chelsea FC,Andriy Shevchenko,29.0,Striker,AC Milan,£39.49m,71.318387803432,in,Summer,Premier League,2006,2006/2007
3119,Chelsea FC,John Mikel Obi,19.0,Defensive Midfield,FK Lyn,£18.00m,32.5077483024,in,Summer,Premier League,2006,2006/2007
3120,Chelsea FC,Khalid Boulahrouz,24.0,Centre-Back,Hamburger SV,£11.88m,21.455113879584005,in,Summer,Premier League,2006,2006/2007
3121,Chelsea FC,Ashley Cole,25.0,Left-Back,Arsenal,£6.66m,12.027866871888001,in,Summer,Premier League,2006,2006/2007
3122,Chelsea FC,Salomon Kalou,20.0,Left Winger,Feyenoord,£3.60m,6.50154966048,in,Summer,Premier League,2006,2006/2007
3123,Chelsea FC,Ben Sahar,16.0,Striker,Hapoel Tel Aviv,£450Th.,0.81269370756,in,Summer,Premier League,2006,2006/2007
3124,Arsenal FC,Tomas Rosicky,25.0,Attacking Midfield,Bor. Dortmund,£9.00m,16.2538741512,in,Summer,Premier League,2006,2006/2007
3125,Arsenal FC,Denílson,18.0,Defensive Midfield,São Paulo,£4.50m,8.1269370756,in,Summer,Premier League,2006,2006/2007
3126,Manchester United,Michael Carrick,25.0,Defensive Midfield,Spurs,£24.48m,44.210537691264,in,Summer,Premier League,2006,2006/2007
3127,Everton FC,Andy Johnson,25.0,Striker,Crystal Palace,£9.90m,17.87926156632,in,Summer,Premier League,2006,2006/2007
3128,Everton FC,Joleon Lescott,23.0,Centre-Back,Wolves,£5.85m,10.56501819828,in,Summer,Premier League,2006,2006/2007
3129,Liverpool FC,Dirk Kuyt,26.0,Right Winger,Feyenoord,£16.20m,29.25697347216,in,Summer,Premier League,2006,2006/2007
3130,Liverpool FC,Jermaine Pennant,23.0,Right Winger,Birmingham,£8.19m,14.791025477592001,in,Summer,Premier League,2006,2006/2007
3131,Liverpool FC,Craig Bellamy,26.0,Left Winger,Blackburn,£8.10m,14.62848673608,in,Summer,Premier League,2006,2006/2007
3132,Liverpool FC,Gabriel Paletta,20.0,Centre-Back,CA Banfield,£2.43m,4.388546020824001,in,Summer,Premier League,2006,2006/2007
3133,Bolton Wanderers,Nicolas Anelka,27.0,Striker,Fenerbahce,£10.80m,19.504648981440003,in,Summer,Premier League,2006,2006/2007
3134,Bolton Wanderers,Abdoulaye Fayé,28.0,Centre-Back,Lens,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3135,Bolton Wanderers,Abdoulaye Méïté,25.0,Centre-Back,Marseille,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3136,Middlesbrough FC,Robert Huth,21.0,Centre-Back,Chelsea,£8.01m,14.465947994568,in,Summer,Premier League,2006,2006/2007
3137,Middlesbrough FC,Julio Arca,25.0,Central Midfield,Sunderland,£2.16m,3.9009297962880005,in,Summer,Premier League,2006,2006/2007
3138,Manchester City,Andreas Isaksson,24.0,Goalkeeper,Stade Rennais,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3139,Manchester City,Bernardo Corradi,30.0,Striker,Valencia,£1.80m,3.25077483024,in,Summer,Premier League,2006,2006/2007
3140,Manchester City,Joe Hart,19.0,Goalkeeper,Shrewsbury,£810Th.,1.4628486736080002,in,Summer,Premier League,2006,2006/2007
3141,Manchester City,Dietmar Hamann,32.0,Defensive Midfield,Bolton,£540Th.,0.9752324490720001,in,Summer,Premier League,2006,2006/2007
3142,Tottenham Hotspur,Dimitar Berbatov,25.0,Striker,Bay. Leverkusen,£14.13m,25.518582417384003,in,Summer,Premier League,2006,2006/2007
3143,Tottenham Hotspur,Didier Zokora,25.0,Defensive Midfield,Saint-Étienne,£11.12m,20.082564506816002,in,Summer,Premier League,2006,2006/2007
3144,Tottenham Hotspur,Pascal Chimbonda,27.0,Right-Back,Wigan,£9.00m,16.2538741512,in,Summer,Premier League,2006,2006/2007
3145,Tottenham Hotspur,Mido,23.0,Striker,AS Roma,£6.08m,10.980394982144002,in,Summer,Premier League,2006,2006/2007
3146,Tottenham Hotspur,Benoît Assou-Ekotto,22.0,Left-Back,Lens,£4.50m,8.1269370756,in,Summer,Premier League,2006,2006/2007
3147,Tottenham Hotspur,Steed Malbranque,26.0,Central Midfield,Fulham,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3148,Tottenham Hotspur,Dorian Dervite,17.0,Centre-Back,LOSC Lille U19,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3149,Tottenham Hotspur,Radek Cerny,32.0,Goalkeeper,Slavia Prague,£180Th.,0.32507748302399997,in,Summer,Premier League,2006,2006/2007
3150,Aston Villa,Stiliyan Petrov,27.0,Central Midfield,Celtic,£9.00m,16.2538741512,in,Summer,Premier League,2006,2006/2007
3151,Charlton Athletic,Souleymane Diawara,27.0,Centre-Back,FC Sochaux,£4.86m,8.777092041648002,in,Summer,Premier League,2006,2006/2007
3152,Charlton Athletic,Andy Reid,23.0,Left Winger,Spurs,£3.78m,6.826627143504,in,Summer,Premier League,2006,2006/2007
3153,Charlton Athletic,Amdy Fayé,29.0,Defensive Midfield,Newcastle,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3154,Charlton Athletic,Djimi Traoré,26.0,Centre-Back,Liverpool,£2.52m,4.551084762336001,in,Summer,Premier League,2006,2006/2007
3155,Charlton Athletic,Simon Walton,18.0,Central Midfield,Leeds,£608Th.,1.0980394982144,in,Summer,Premier League,2006,2006/2007
3156,Fulham FC,Franck Queudrue,27.0,Left-Back,Middlesbrough,£4.05m,7.31424336804,in,Summer,Premier League,2006,2006/2007
3157,Fulham FC,Jimmy Bullard,27.0,Central Midfield,Wigan,£3.38m,6.104232736784001,in,Summer,Premier League,2006,2006/2007
3158,Fulham FC,Gabriel Zakuani,20.0,Centre-Back,Leyton Orient,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3159,Fulham FC,Björn Runström,22.0,Striker,Hammarby,£945Th.,1.706656785876,in,Summer,Premier League,2006,2006/2007
3160,Newcastle United,Obafemi Martins,21.0,Striker,Inter,£14.40m,26.00619864192,in,Summer,Premier League,2006,2006/2007
3161,Newcastle United,Damien Duff,27.0,Right Winger,Chelsea,£13.95m,25.19350493436,in,Summer,Premier League,2006,2006/2007
3162,Blackburn Rovers,Jason Roberts,28.0,Striker,Wigan,£3.67m,6.627968681656,in,Summer,Premier League,2006,2006/2007
3163,Blackburn Rovers,Benni McCarthy,28.0,Striker,FC Porto,£3.33m,6.013933435944001,in,Summer,Premier League,2006,2006/2007
3164,Blackburn Rovers,André Ooijer,32.0,Centre-Back,PSV Eindhoven,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3165,Blackburn Rovers,Zurab Khizanishvili,24.0,Centre-Back,Rangers,£675Th.,1.2190405613400002,in,Summer,Premier League,2006,2006/2007
3166,Portsmouth FC,Niko Kranjcar,22.0,Attacking Midfield,Hajduk Split,£4.05m,7.31424336804,in,Summer,Premier League,2006,2006/2007
3167,Portsmouth FC,David James,36.0,Goalkeeper,Man City,£1.53m,2.763158605704,in,Summer,Premier League,2006,2006/2007
3168,Portsmouth FC,Andy Cole,34.0,Striker,Man City,£675Th.,1.2190405613400002,in,Summer,Premier League,2006,2006/2007
3169,Wigan Athletic,Emile Heskey,28.0,Striker,Birmingham,£6.75m,12.1904056134,in,Summer,Premier League,2006,2006/2007
3170,Wigan Athletic,Fitz Hall,25.0,Centre-Back,Crystal Palace,£4.05m,7.31424336804,in,Summer,Premier League,2006,2006/2007
3171,Wigan Athletic,Denny Landzaat,30.0,Central Midfield,AZ Alkmaar,£3.96m,7.151704626528001,in,Summer,Premier League,2006,2006/2007
3172,Wigan Athletic,Chris Kirkland,25.0,Goalkeeper,Liverpool,£3.35m,6.050053156280001,in,Summer,Premier League,2006,2006/2007
3173,Wigan Athletic,David Cotterill,18.0,Right Winger,Bristol City,£2.88m,5.2012397283839995,in,Summer,Premier League,2006,2006/2007
3174,Wigan Athletic,Kevin Kilbane,29.0,Left Winger,Everton,£2.25m,4.0634685378,in,Summer,Premier League,2006,2006/2007
3175,Wigan Athletic,Emmerson Boyce,26.0,Right-Back,Crystal Palace,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3176,Wigan Athletic,Antonio Valencia,20.0,Right-Back,Villarreal,Loan fee:£360Th.,0.6501549660479999,in,Summer,Premier League,2006,2006/2007
3177,West Ham United,Carlos Tévez,22.0,Second Striker,Corinthians,£13.14m,23.730656260752003,in,Summer,Premier League,2006,2006/2007
3178,West Ham United,Javier Mascherano,22.0,Defensive Midfield,Corinthians,£13.14m,23.730656260752003,in,Summer,Premier League,2006,2006/2007
3179,West Ham United,Carlton Cole,22.0,Striker,Chelsea,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3180,West Ham United,Rob Green,26.0,Goalkeeper,Norwich,£2.70m,4.876162245360001,in,Summer,Premier League,2006,2006/2007
3181,West Ham United,George McCartney,25.0,Left-Back,Sunderland,£1.46m,2.6367395845279997,in,Summer,Premier League,2006,2006/2007
3182,West Ham United,Tyrone Mears,23.0,Right-Back,Preston NE,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3183,West Ham United,John Paintsil,25.0,Right-Back,Hapoel Tel Aviv,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3184,West Ham United,Lee Bowyer,29.0,Central Midfield,Newcastle,£1.01m,1.8240458769680001,in,Summer,Premier League,2006,2006/2007
3185,West Ham United,Jonathan Spector,20.0,Centre-Back,Man Utd,£675Th.,1.2190405613400002,in,Summer,Premier League,2006,2006/2007
3186,Reading FC,Ki-hyeon Seol,27.0,Right Winger,Wolves,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3187,Reading FC,Sam Sodje,27.0,Centre-Back,Brentford,£675Th.,1.2190405613400002,in,Summer,Premier League,2006,2006/2007
3188,Reading FC,Péter Máté,21.0,Centre-Back,Debrecen,Loan fee:£518Th.,0.9355007567024001,in,Summer,Premier League,2006,2006/2007
3189,Sheffield United,Claude Davis,27.0,Centre-Back,Preston NE,£3.15m,5.688855952920001,in,Summer,Premier League,2006,2006/2007
3190,Sheffield United,Rob Hulse,26.0,Striker,Leeds,£3.11m,5.616616512247999,in,Summer,Premier League,2006,2006/2007
3191,Sheffield United,Colin Kazim-Richards,20.0,Striker,Brighton,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3192,Sheffield United,Mikele Leigertwood,23.0,Defensive Midfield,Crystal Palace,£675Th.,1.2190405613400002,in,Summer,Premier League,2006,2006/2007
3193,Sheffield United,Ian Bennett,34.0,Goalkeeper,Leeds,£135Th.,0.24380811226800003,in,Summer,Premier League,2006,2006/2007
3194,Watford FC,Danny Shittu,25.0,Centre-Back,QPR,£2.16m,3.9009297962880005,in,Summer,Premier League,2006,2006/2007
3195,Watford FC,Damien Francis,27.0,Central Midfield,Wigan,£2.03m,3.666151614104,in,Summer,Premier League,2006,2006/2007
3196,Watford FC,Tamás Priskin,19.0,Striker,ETO FC Győr,£1.35m,2.4380811226800003,in,Summer,Premier League,2006,2006/2007
3197,Watford FC,Tommy Smith,26.0,Striker,Derby,£653Th.,1.1793088689704,in,Summer,Premier League,2006,2006/2007
3198,Everton FC,Manuel Fernandes,20.0,Attacking Midfield,Benfica,Loan fee:£360Th.,0.6501549660479999,in,Winter,Premier League,2006,2006/2007
3199,Liverpool FC,Álvaro Arbeloa,24.0,Right-Back,Dep. La Coruña,£3.51m,6.3390109189679995,in,Winter,Premier League,2006,2006/2007
3200,Liverpool FC,Javier Mascherano,22.0,Defensive Midfield,West Ham,Loan fee:£1.80m,3.25077483024,in,Winter,Premier League,2006,2006/2007
3201,Liverpool FC,Astrit Ajdarevic,16.0,Central Midfield,Falkenberg,£1.08m,1.9504648981440003,in,Winter,Premier League,2006,2006/2007
3202,Liverpool FC,Emiliano Insúa,17.0,Left-Back,Boca Juniors,Loan fee:£90Th.,0.16253874151199998,in,Winter,Premier League,2006,2006/2007
3203,Bolton Wanderers,Lubomir Michalik,23.0,Centre-Back,FC Senec,£450Th.,0.81269370756,in,Winter,Premier League,2006,2006/2007
3204,Tottenham Hotspur,Ricardo Rocha,28.0,Centre-Back,Benfica,£4.50m,8.1269370756,in,Winter,Premier League,2006,2006/2007
3205,Tottenham Hotspur,Ben Alnwick,20.0,Goalkeeper,Sunderland,£1.35m,2.4380811226800003,in,Winter,Premier League,2006,2006/2007
3206,Aston Villa,Ashley Young,21.0,Left Winger,Watford,£11.88m,21.455113879584005,in,Winter,Premier League,2006,2006/2007
3207,Aston Villa,Shaun Maloney,24.0,Attacking Midfield,Celtic,£1.35m,2.4380811226800003,in,Winter,Premier League,2006,2006/2007
3208,Charlton Athletic,Madjid Bougherra,24.0,Centre-Back,Sheff Wed,£3.41m,6.1584123172880005,in,Winter,Premier League,2006,2006/2007
3209,Charlton Athletic,Ben Thatcher,31.0,Left-Back,Man City,£675Th.,1.2190405613400002,in,Winter,Premier League,2006,2006/2007
3210,Charlton Athletic,Ismaël Fofana,18.0,Striker,ASEC Mimosas,£630Th.,1.1377711905840002,in,Winter,Premier League,2006,2006/2007
3211,Charlton Athletic,Alex Song,19.0,Defensive Midfield,Arsenal,Loan fee:£248Th.,0.4478845321664,in,Winter,Premier League,2006,2006/2007
3212,Charlton Athletic,Chris Dickson,22.0,Striker,Dulwich Hamlet FC,£54Th.,0.0975232449072,in,Winter,Premier League,2006,2006/2007
3213,Fulham FC,Clint Dempsey,23.0,Second Striker,Revolution,£2.70m,4.876162245360001,in,Winter,Premier League,2006,2006/2007
3214,Newcastle United,Oguchi Onyewu,24.0,Centre-Back,Standard Liège,Loan fee:£338Th.,0.6104232736784,in,Winter,Premier League,2006,2006/2007
3215,Blackburn Rovers,David Dunn,27.0,Attacking Midfield,Birmingham,£2.88m,5.2012397283839995,in,Winter,Premier League,2006,2006/2007
3216,Blackburn Rovers,Stephen Warnock,25.0,Left-Back,Liverpool,£2.03m,3.666151614104,in,Winter,Premier League,2006,2006/2007
3217,Blackburn Rovers,Christopher Samba,22.0,Centre-Back,Hertha BSC,£450Th.,0.81269370756,in,Winter,Premier League,2006,2006/2007
3218,Blackburn Rovers,Bruno Berner,29.0,Left-Back,FC Basel,£450Th.,0.81269370756,in,Winter,Premier League,2006,2006/2007
3219,Portsmouth FC,Djimi Traoré,26.0,Centre-Back,Charlton,£1.26m,2.2755423811680004,in,Winter,Premier League,2006,2006/2007
3220,Portsmouth FC,Laurén,29.0,Right-Back,Arsenal,£495Th.,0.8939630783160001,in,Winter,Premier League,2006,2006/2007
3221,Portsmouth FC,Arnold Mvuemba,21.0,Defensive Midfield,Stade Rennais,Loan fee:£180Th.,0.32507748302399997,in,Winter,Premier League,2006,2006/2007
3222,Wigan Athletic,Chris Kirkland,25.0,Goalkeeper,Liverpool,£3.35m,6.050053156280001,in,Winter,Premier League,2006,2006/2007
3223,Wigan Athletic,Caleb Folan,24.0,Striker,Chesterfield FC,£675Th.,1.2190405613400002,in,Winter,Premier League,2006,2006/2007
3224,Wigan Athletic,Carlo Nash,33.0,Goalkeeper,Preston NE,£405Th.,0.7314243368040001,in,Winter,Premier League,2006,2006/2007
3225,Wigan Athletic,Kristofer Haestad,23.0,Central Midfield,Start,Loan fee:£225Th.,0.40634685378,in,Winter,Premier League,2006,2006/2007
3226,Wigan Athletic,Andreas Granqvist,21.0,Centre-Back,Helsingborg,Loan fee:£180Th.,0.32507748302399997,in,Winter,Premier League,2006,2006/2007
3227,West Ham United,Matthew Upson,27.0,Centre-Back,Birmingham,£11.34m,20.479881430512002,in,Winter,Premier League,2006,2006/2007
3228,West Ham United,Luís Boa Morte,29.0,Left Winger,Fulham,£6.12m,11.052634422816,in,Winter,Premier League,2006,2006/2007
3229,West Ham United,Calum Davenport,24.0,Centre-Back,Spurs,£3.78m,6.826627143504,in,Winter,Premier League,2006,2006/2007
3230,West Ham United,Lucas Neill,28.0,Centre-Back,Blackburn,£2.07m,3.738391054776,in,Winter,Premier League,2006,2006/2007
3231,West Ham United,Nigel Quashie,28.0,Central Midfield,West Brom,£2.03m,3.666151614104,in,Winter,Premier League,2006,2006/2007
3232,Reading FC,Greg Halford,22.0,Centre-Back,Colchester Utd.,£4.05m,7.31424336804,in,Winter,Premier League,2006,2006/2007
3233,Reading FC,Michael Duberry,31.0,Centre-Back,Stoke City,£1.35m,2.4380811226800003,in,Winter,Premier League,2006,2006/2007
3234,Reading FC,Alan Bennett,25.0,Centre-Back,Cork City,£270Th.,0.48761622453600006,in,Winter,Premier League,2006,2006/2007
3235,Reading FC,Mikkel Andersen,18.0,Goalkeeper,Akademisk BK,£90Th.,0.16253874151199998,in,Winter,Premier League,2006,2006/2007
3236,Sheffield United,Matthew Kilgallon,22.0,Centre-Back,Leeds,£3.42m,6.1764721774560005,in,Winter,Premier League,2006,2006/2007
3237,Sheffield United,Luton Shelton,21.0,Left Winger,Helsingborg,£2.43m,4.388546020824001,in,Winter,Premier League,2006,2006/2007
3238,Sheffield United,Jon Stead,23.0,Striker,Sunderland,£1.01m,1.8240458769680001,in,Winter,Premier League,2006,2006/2007
3239,Sheffield United,Ahmed Fathi,22.0,Right-Back,Ismaily,£945Th.,1.706656785876,in,Winter,Premier League,2006,2006/2007
3240,Watford FC,Gareth Williams,25.0,Central Midfield,Leicester,£1.13m,2.0407641989839997,in,Winter,Premier League,2006,2006/2007
3241,Watford FC,Will Hoskins,20.0,Striker,Rotherham,£900Th.,1.62538741512,in,Winter,Premier League,2006,2006/2007
3242,Watford FC,Steve Kabba,25.0,Striker,Sheffield Utd.,£675Th.,1.2190405613400002,in,Winter,Premier League,2006,2006/2007
3243,Watford FC,Lee Williamson,24.0,Central Midfield,Rotherham,£450Th.,0.81269370756,in,Winter,Premier League,2006,2006/2007
3244,Watford FC,Moses Ashikodi,19.0,Striker,Rangers,£90Th.,0.16253874151199998,in,Winter,Premier League,2006,2006/2007
3245,Olympique Lyon,Kim Källström,23.0,Central Midfield,Stade Rennais,£7.20m,13.00309932096,in,Summer,Ligue 1,2006,2006/2007
3246,Olympique Lyon,Jérémy Toulalan,22.0,Defensive Midfield,FC Nantes,£6.30m,11.377711905840002,in,Summer,Ligue 1,2006,2006/2007
3247,Olympique Lyon,Alou Diarra,25.0,Defensive Midfield,Lens,£5.63m,10.167701274584001,in,Summer,Ligue 1,2006,2006/2007
3248,Olympique Lyon,Sébastien Squillaci,25.0,Centre-Back,Monaco,£4.05m,7.31424336804,in,Summer,Ligue 1,2006,2006/2007
3249,LOSC Lille,Michel Bastos,22.0,Left Winger,Atlético-PR,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3250,LOSC Lille,Souleymane Youla,24.0,Striker,Besiktas,£1.44m,2.6006198641919998,in,Summer,Ligue 1,2006,2006/2007
3251,AS Monaco,Yaya Touré,23.0,Central Midfield,Olympiacos,£4.95m,8.93963078316,in,Summer,Ligue 1,2006,2006/2007
3252,AS Monaco,Jérémy Ménez,19.0,Right Winger,FC Sochaux,£3.15m,5.688855952920001,in,Summer,Ligue 1,2006,2006/2007
3253,AS Monaco,Gonzalo Vargas,24.0,Striker,Gimnasia,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3254,AS Monaco,Bolívar,25.0,Centre-Back,Internacional,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3255,AS Monaco,Leandro Cufré,28.0,Left-Back,AS Roma,£1.89m,3.413313571752,in,Summer,Ligue 1,2006,2006/2007
3256,AS Monaco,Sylvain Monsoreau,25.0,Centre-Back,Olympique Lyon,£1.35m,2.4380811226800003,in,Summer,Ligue 1,2006,2006/2007
3257,Stade Rennais FC,Daniel Moreira,28.0,Second Striker,Toulouse,£4.05m,7.31424336804,in,Summer,Ligue 1,2006,2006/2007
3258,Stade Rennais FC,Bruno Cheyrou,28.0,Central Midfield,Liverpool,£900Th.,1.62538741512,in,Summer,Ligue 1,2006,2006/2007
3259,Olympique Marseille,Ronald Zubar,20.0,Centre-Back,SM Caen,£3.15m,5.688855952920001,in,Summer,Ligue 1,2006,2006/2007
3260,Olympique Marseille,Modeste M'Bami,23.0,Defensive Midfield,Paris SG,£2.25m,4.0634685378,in,Summer,Ligue 1,2006,2006/2007
3261,Olympique Marseille,Renato Civelli,22.0,Centre-Back,CA Banfield,£1.58m,2.8534579065440004,in,Summer,Ligue 1,2006,2006/2007
3262,Olympique Marseille,Djibril Cissé,24.0,Striker,Liverpool,Loan fee:£1.35m,2.4380811226800003,in,Summer,Ligue 1,2006,2006/2007
3263,Olympique Marseille,Toifilou Maoulida,27.0,Striker,Monaco,£900Th.,1.62538741512,in,Summer,Ligue 1,2006,2006/2007
3264,Olympique Marseille,Mathieu Valbuena,21.0,Attacking Midfield,Lib.-St.-Seurin,£720Th.,1.3003099320959999,in,Summer,Ligue 1,2006,2006/2007
3265,AS Saint-Étienne,Ilan,25.0,Striker,FC Sochaux,£5.40m,9.752324490720001,in,Summer,Ligue 1,2006,2006/2007
3266,AS Saint-Étienne,Yohan Hautcoeur,24.0,Central Midfield,Le Mans UC 72,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3267,AS Saint-Étienne,Daniel Bilos,25.0,Left Winger,Boca Juniors,£1.35m,2.4380811226800003,in,Summer,Ligue 1,2006,2006/2007
3268,AS Saint-Étienne,Moustapha Sall,20.0,Centre-Back,US Gorée,£99Th.,0.1787926156632,in,Summer,Ligue 1,2006,2006/2007
3269,AS Saint-Étienne,Fredy Guarín,20.0,Central Midfield,Boca Juniors,Loan fee:£90Th.,0.16253874151199998,in,Summer,Ligue 1,2006,2006/2007
3270,RC Lens,Sidi Keita,21.0,Defensive Midfield,R. Strasbourg,£5.40m,9.752324490720001,in,Summer,Ligue 1,2006,2006/2007
3271,RC Lens,Nenad Kovacevic,25.0,Defensive Midfield,Red Star,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3272,RC Lens,Razak Boukari,19.0,Right Winger,LB Châteauroux,£900Th.,1.62538741512,in,Summer,Ligue 1,2006,2006/2007
3273,RC Lens,Marco Ramos,23.0,Left-Back,LB Châteauroux,£450Th.,0.81269370756,in,Summer,Ligue 1,2006,2006/2007
3274,AJ Auxerre,Benoît Pedretti,25.0,Defensive Midfield,Olympique Lyon,£4.50m,8.1269370756,in,Summer,Ligue 1,2006,2006/2007
3275,AJ Auxerre,Frédéric Thomas,25.0,Central Midfield,Le Mans UC 72,£3.60m,6.50154966048,in,Summer,Ligue 1,2006,2006/2007
3276,AJ Auxerre,Daniel Niculae,23.0,Striker,Rapid Bucharest,£2.97m,5.363778469896001,in,Summer,Ligue 1,2006,2006/2007
3277,AJ Auxerre,Ireneusz Jelen,25.0,Striker,Wisla Plock,£810Th.,1.4628486736080002,in,Summer,Ligue 1,2006,2006/2007
3278,Paris Saint-Germain,Pierre-Alain Frau,26.0,Striker,Olympique Lyon,£4.50m,8.1269370756,in,Summer,Ligue 1,2006,2006/2007
3279,Paris Saint-Germain,Amara Diané,23.0,Right Winger,R. Strasbourg,£2.70m,4.876162245360001,in,Summer,Ligue 1,2006,2006/2007
3280,Paris Saint-Germain,Sammy Traoré,30.0,Centre-Back,OGC Nice,£1.35m,2.4380811226800003,in,Summer,Ligue 1,2006,2006/2007
3281,Paris Saint-Germain,Albert Baning,21.0,Defensive Midfield,FC Aarau,£1.08m,1.9504648981440003,in,Summer,Ligue 1,2006,2006/2007
3282,FC Sochaux-Montbéliard,Karim Ziani,23.0,Attacking Midfield,FC Lorient,£1.80m,3.25077483024,in,Summer,Ligue 1,2006,2006/2007
3283,FC Sochaux-Montbéliard,Álvaro Santos,26.0,Striker,FC Copenhagen,£1.80m,3.25077483024,in,Summer,Ligue 1,2006,2006/2007
3284,FC Sochaux-Montbéliard,Valter Birsa,19.0,Attacking Midfield,ND Gorica,£1.17m,2.113003639656,in,Summer,Ligue 1,2006,2006/2007
