,year,country,protesterdemand1,protesterdemand2,participants,freedom,counts
507,1994,Guatemala,police brutality,,1000.0,PF,1
511,1997,Guatemala,labor wage dispute,,1000.0,PF,1
512,1997,Guatemala,"political behavior, process",,2000.0,PF,1
514,1997,Guatemala,"price increases, tax policy","political behavior, process",15000.0,PF,1
516,2000,Guatemala,"price increases, tax policy",,1000.0,PF,1
529,2001,Guatemala,"price increases, tax policy",,1000.0,PF,1
530,2001,Guatemala,"political behavior, process",,1000.0,PF,1
532,2002,Guatemala,removal of politician,,1000.0,PF,1
535,2002,Guatemala,labor wage dispute,,8000.0,PF,1
536,2002,Guatemala,"political behavior, process",,3000.0,PF,1
537,2002,Guatemala,labor wage dispute,,35000.0,PF,1
538,2002,Guatemala,labor wage dispute,,1000.0,PF,1
539,2003,Guatemala,labor wage dispute,,1000.0,PF,1
540,2003,Guatemala,labor wage dispute,,1000.0,PF,1
541,2003,Guatemala,labor wage dispute,,1000.0,PF,1
542,2003,Guatemala,labor wage dispute,,2000.0,PF,1
543,2003,Guatemala,labor wage dispute,,3000.0,PF,1
544,2003,Guatemala,labor wage dispute,,3000.0,PF,1
546,2003,Guatemala,"political behavior, process",,3000.0,PF,1
547,2003,Guatemala,"political behavior, process",,1000.0,PF,1
549,2004,Guatemala,"price increases, tax policy",,10000.0,PF,1
550,2004,Guatemala,"political behavior, process",,10000.0,PF,1
553,2005,Guatemala,"political behavior, process",,8000.0,PF,1
554,2005,Guatemala,"political behavior, process",,1000.0,PF,1
556,2005,Guatemala,"political behavior, process",,1000.0,PF,1
559,2005,Guatemala,"political behavior, process",,1000.0,PF,1
561,2006,Guatemala,land farm issue,,2000.0,PF,1
562,2007,Guatemala,"political behavior, process",,1000.0,PF,1
565,2008,Guatemala,"price increases, tax policy",,1000.0,PF,1
566,2009,Guatemala,removal of politician,,1000.0,PF,1
567,2009,Guatemala,removal of politician,,1000.0,PF,1
570,2012,Guatemala,"price increases, tax policy","political behavior, process",1000.0,PF,1
571,2012,Guatemala,police brutality,,1000.0,PF,1
572,2013,Guatemala,"political behavior, process",,1000.0,PF,1
576,2013,Guatemala,"political behavior, process",,1000.0,PF,1
578,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
579,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
580,2015,Guatemala,removal of politician,"political behavior, process",10000.0,PF,1
581,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
582,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
583,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
584,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
585,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
586,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
587,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
588,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
589,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
590,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
591,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
592,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
593,2015,Guatemala,removal of politician,"political behavior, process",1000.0,PF,1
594,2015,Guatemala,removal of politician,"political behavior, process",10000.0,PF,1
597,2015,Guatemala,"political behavior, process",,10000.0,PF,1
599,2016,Guatemala,"political behavior, process",,10000.0,PF,1
603,2018,Guatemala,"political behavior, process",,1000.0,PF,1
606,2018,Guatemala,"political behavior, process",removal of politician,1000.0,PF,1
608,1990,Honduras,"political behavior, process",labor wage dispute,30000.0,F,1
609,1990,Honduras,"political behavior, process","price increases, tax policy",4000.0,F,1
613,1992,Honduras,"price increases, tax policy","political behavior, process",40000.0,F,1
615,1993,Honduras,"political behavior, process",,1000.0,PF,1
616,1993,Honduras,"political behavior, process",,2000.0,PF,1
617,1994,Honduras,"political behavior, process",,1000.0,PF,1
618,1994,Honduras,"political behavior, process",land farm issue,3000.0,PF,1
619,1994,Honduras,"political behavior, process",,3000.0,PF,1
621,1994,Honduras,"political behavior, process",land farm issue,10000.0,PF,1
623,1995,Honduras,"political behavior, process",,5000.0,PF,1
624,1995,Honduras,"political behavior, process",,2000.0,PF,1
625,1995,Honduras,"political behavior, process",,2000.0,PF,1
626,1996,Honduras,labor wage dispute,,1000.0,PF,1
627,1996,Honduras,labor wage dispute,,60000.0,PF,1
631,1997,Honduras,labor wage dispute,,23000.0,F,1
632,1997,Honduras,"price increases, tax policy",land farm issue,3000.0,F,1
634,1997,Honduras,labor wage dispute,,40000.0,F,1
635,1997,Honduras,"political behavior, process",,1000.0,F,1
636,1997,Honduras,"political behavior, process",,1000.0,F,1
638,1998,Honduras,"price increases, tax policy",,20000.0,F,1
639,1998,Honduras,labor wage dispute,,14000.0,F,1
640,1998,Honduras,"political behavior, process",,1000.0,F,1
641,1999,Honduras,"price increases, tax policy","political behavior, process",3000.0,PF,1
642,1999,Honduras,land farm issue,"political behavior, process",6000.0,PF,1
643,1999,Honduras,labor wage dispute,,8000.0,PF,1
644,1999,Honduras,labor wage dispute,,12000.0,PF,1
645,1999,Honduras,"political behavior, process",,4000.0,PF,1
646,2000,Honduras,"political behavior, process","price increases, tax policy",1000.0,PF,1
648,2001,Honduras,labor wage dispute,,6000.0,PF,1
649,2002,Honduras,"political behavior, process",,1000.0,PF,1
650,2002,Honduras,"political behavior, process",,1000.0,PF,1
651,2002,Honduras,land farm issue,,1200.0,PF,1
652,2002,Honduras,labor wage dispute,,1000.0,PF,1
653,2003,Honduras,"political behavior, process",,1000.0,PF,1
655,2004,Honduras,"political behavior, process",,1000.0,PF,1
659,2004,Honduras,"political behavior, process",,1700.0,PF,1
660,2005,Honduras,land farm issue,,1500.0,PF,1
661,2005,Honduras,"political behavior, process",,2000.0,PF,1
664,2007,Honduras,"political behavior, process",,1000.0,PF,1
666,2009,Honduras,,,1000.0,PF,1
667,2009,Honduras,"political behavior, process",,10000.0,PF,1
669,2009,Honduras,"political behavior, process",,1000.0,PF,1
670,2009,Honduras,"political behavior, process",,1000.0,PF,1
671,2009,Honduras,"political behavior, process",,1000.0,PF,1
674,2010,Honduras,labor wage dispute,,1000.0,PF,1
676,2011,Honduras,"political behavior, process",,1000.0,PF,1
677,2011,Honduras,"political behavior, process",,1000.0,PF,1
678,2011,Honduras,labor wage dispute,"political behavior, process",1000.0,PF,1
679,2011,Honduras,"political behavior, process",,2000.0,PF,1
687,2013,Honduras,"political behavior, process",,5000.0,PF,1
689,2015,Honduras,"political behavior, process",removal of politician,10000.0,PF,1
690,2015,Honduras,"political behavior, process",removal of politician,20000.0,PF,1
691,2015,Honduras,"political behavior, process",removal of politician,10000.0,PF,1
692,2015,Honduras,"political behavior, process",removal of politician,30000.0,PF,1
693,2015,Honduras,removal of politician,"political behavior, process",50000.0,PF,1
694,2015,Honduras,removal of politician,"political behavior, process",100000.0,PF,1
695,2015,Honduras,"political behavior, process",removal of politician,10000.0,PF,1
696,2015,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
697,2015,Honduras,removal of politician,"political behavior, process",1000.0,PF,1
698,2015,Honduras,removal of politician,"political behavior, process",1000.0,PF,1
699,2015,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
700,2015,Honduras,removal of politician,"political behavior, process",1000.0,PF,1
701,2015,Honduras,removal of politician,"political behavior, process",1000.0,PF,1
702,2015,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
706,2016,Honduras,"political behavior, process",,1000.0,PF,1
707,2017,Honduras,"political behavior, process",removal of politician,10000.0,PF,1
708,2017,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
709,2018,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
711,2018,Honduras,"political behavior, process",removal of politician,1000.0,PF,1
719,1995,El Salvador,"political behavior, process",,1000.0,PF,1
720,1995,El Salvador,"price increases, tax policy",,2000.0,PF,1
734,1998,El Salvador,"political behavior, process",,1000.0,F,1
737,1999,El Salvador,"political behavior, process",,1000.0,F,1
744,2001,El Salvador,"political behavior, process",,2000.0,F,1
746,2003,El Salvador,"political behavior, process",,1000.0,F,1
749,2004,El Salvador,"political behavior, process",,1000.0,F,1
751,2004,El Salvador,"political behavior, process",,1500.0,F,1
754,2006,El Salvador,"political behavior, process",,4000.0,F,1
755,2006,El Salvador,"political behavior, process",,3000.0,F,1
761,2013,El Salvador,"political behavior, process",,1000.0,F,1
762,2015,El Salvador,"political behavior, process",,3000.0,F,1
763,2015,El Salvador,labor wage dispute,"political behavior, process",2000.0,F,1
764,2016,El Salvador,"political behavior, process",,10000.0,F,1
765,1990,Nicaragua,"political behavior, process",labor wage dispute,60000.0,PF,1
767,1992,Nicaragua,"political behavior, process",,2400.0,PF,1
769,1992,Nicaragua,"political behavior, process",,2000.0,PF,1
772,1993,Nicaragua,"political behavior, process","price increases, tax policy",1500.0,PF,1
773,1993,Nicaragua,"political behavior, process",,30000.0,PF,1
774,1993,Nicaragua,"price increases, tax policy",,1000.0,PF,1
775,1994,Nicaragua,"price increases, tax policy","political behavior, process",1000.0,PF,1
776,1994,Nicaragua,"political behavior, process",,5000.0,PF,1
777,1994,Nicaragua,"political behavior, process",,1000.0,PF,1
779,1994,Nicaragua,labor wage dispute,"political behavior, process",2000.0,PF,1
781,1995,Nicaragua,"price increases, tax policy",,1000.0,PF,1
782,1995,Nicaragua,"political behavior, process",,1000.0,PF,1
783,1995,Nicaragua,"political behavior, process",,2000.0,PF,1
786,1997,Nicaragua,land farm issue,,20000.0,PF,1
788,1997,Nicaragua,"political behavior, process",,5000.0,PF,1
789,1997,Nicaragua,"political behavior, process",,4000.0,PF,1
793,1999,Nicaragua,"political behavior, process",,15000.0,PF,1
795,1999,Nicaragua,"political behavior, process",,1000.0,PF,1
796,1999,Nicaragua,"price increases, tax policy","political behavior, process",1000.0,PF,1
798,2000,Nicaragua,"price increases, tax policy",,1000.0,PF,1
801,2001,Nicaragua,"political behavior, process",,1000.0,PF,1
802,2002,Nicaragua,removal of politician,,2000.0,PF,1
803,2002,Nicaragua,removal of politician,,1000.0,PF,1
804,2003,Nicaragua,land farm issue,"price increases, tax policy",3000.0,PF,1
805,2003,Nicaragua,labor wage dispute,,1000.0,PF,1
808,2005,Nicaragua,"political behavior, process",,1000.0,PF,1
811,2005,Nicaragua,removal of politician,"price increases, tax policy",5000.0,PF,1
812,2005,Nicaragua,"political behavior, process",,1000.0,PF,1
814,2006,Nicaragua,"political behavior, process",,2000.0,PF,1
817,2008,Nicaragua,"price increases, tax policy",,15000.0,PF,1
818,2008,Nicaragua,"political behavior, process",,1000.0,PF,1
821,2011,Nicaragua,"political behavior, process",,1000.0,PF,1
822,2011,Nicaragua,"political behavior, process",,5000.0,PF,1
827,2015,Nicaragua,"political behavior, process",,15000.0,PF,1
835,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
836,2018,Nicaragua,"political behavior, process",removal of politician,10000.0,NF,1
838,2018,Nicaragua,"political behavior, process",removal of politician,10000.0,NF,1
839,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
840,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
841,2018,Nicaragua,"political behavior, process",removal of politician,100000.0,NF,1
842,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
843,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
844,2018,Nicaragua,"political behavior, process",removal of politician,1000.0,NF,1
855,1995,Costa Rica,"price increases, tax policy","political behavior, process",1000.0,F,1
856,1995,Costa Rica,"price increases, tax policy","political behavior, process",1000.0,F,1
857,1995,Costa Rica,labor wage dispute,,1000.0,F,1
859,1995,Costa Rica,"political behavior, process",labor wage dispute,50000.0,F,1
860,1995,Costa Rica,"political behavior, process",labor wage dispute,150000.0,F,1
863,1996,Costa Rica,"political behavior, process","price increases, tax policy",1000.0,F,1
867,2000,Costa Rica,"political behavior, process","price increases, tax policy",15000.0,F,1
869,2000,Costa Rica,"price increases, tax policy","political behavior, process",1000.0,F,1
870,2000,Costa Rica,"price increases, tax policy","political behavior, process",10000.0,F,1
871,2000,Costa Rica,"price increases, tax policy","political behavior, process",1000.0,F,1
874,2002,Costa Rica,labor wage dispute,,1000.0,F,1
875,2003,Costa Rica,labor wage dispute,"political behavior, process",80000.0,F,1
878,2004,Costa Rica,"political behavior, process",labor wage dispute,1000.0,F,1
879,2004,Costa Rica,"political behavior, process",,1000.0,F,1
880,2005,Costa Rica,"political behavior, process",,1000.0,F,1
881,2005,Costa Rica,"political behavior, process",,5000.0,F,1
882,2007,Costa Rica,"political behavior, process",,10000.0,F,1
883,2007,Costa Rica,"political behavior, process",,100000.0,F,1
887,2018,Costa Rica,"price increases, tax policy",labor wage dispute,1000.0,F,1
888,1990,Panama,removal of politician,,20000.0,PF,1
892,1992,Panama,"political behavior, process",,1000.0,PF,1
895,1993,Panama,"political behavior, process",land farm issue,1000.0,PF,1
896,1993,Panama,"political behavior, process",,1000.0,PF,1
902,1998,Panama,labor wage dispute,"political behavior, process",1000.0,F,1
907,2001,Panama,"price increases, tax policy",,10000.0,F,1
909,2003,Panama,labor wage dispute,"price increases, tax policy",3000.0,F,1
910,2003,Panama,"political behavior, process",,1000.0,F,1
912,2004,Panama,"political behavior, process",,1000.0,F,1
913,2005,Panama,"political behavior, process",,1000.0,F,1
914,2005,Panama,"political behavior, process",,10000.0,F,1
915,2005,Panama,"political behavior, process",,1000.0,F,1
920,2008,Panama,police brutality,,1000.0,F,1
922,2010,Panama,labor wage dispute,,7000.0,F,1
925,2011,Panama,"political behavior, process",land farm issue,3000.0,F,1
928,2012,Panama,"political behavior, process",land farm issue,1000.0,F,1
934,2014,Panama,"political behavior, process",,1000.0,F,1
937,1990,Colombia,"political behavior, process",,5000.0,PF,1
938,1990,Colombia,"political behavior, process",,1000.0,PF,1
939,1990,Colombia,"political behavior, process",,3000.0,PF,1
940,1990,Colombia,"political behavior, process",,15000.0,PF,1
941,1990,Colombia,"political behavior, process",,14000.0,PF,1
942,1990,Colombia,"price increases, tax policy","political behavior, process",10000.0,PF,1
943,1991,Colombia,police brutality,labor wage dispute,200000.0,PF,1
944,1991,Colombia,"political behavior, process",,30000.0,PF,1
945,1991,Colombia,"political behavior, process",,30000.0,PF,1
946,1991,Colombia,"political behavior, process",,400000.0,PF,1
947,1991,Colombia,"political behavior, process",,30000.0,PF,1
950,1992,Colombia,"political behavior, process",,14000.0,PF,1
953,1993,Colombia,"political behavior, process",,1000.0,PF,1
954,1993,Colombia,"political behavior, process",,25000.0,PF,1
955,1993,Colombia,"political behavior, process",,240000.0,PF,1
956,1993,Colombia,"political behavior, process",,50000.0,PF,1
957,1993,Colombia,"political behavior, process",,1000.0,PF,1
959,1994,Colombia,"political behavior, process",,5000.0,PF,1
960,1994,Colombia,"political behavior, process",labor wage dispute,1100.0,PF,1
961,1994,Colombia,"political behavior, process",,3000.0,PF,1
962,1994,Colombia,"political behavior, process",,1000.0,PF,1
963,1994,Colombia,"political behavior, process",,5000.0,PF,1
964,1995,Colombia,labor wage dispute,,1000.0,PF,1
965,1995,Colombia,"political behavior, process",,4500.0,PF,1
966,1996,Colombia,"political behavior, process",,75000.0,PF,1
967,1996,Colombia,"political behavior, process",,250000.0,PF,1
968,1996,Colombia,labor wage dispute,,500000.0,PF,1
969,1996,Colombia,police brutality,,5000.0,PF,1
971,1997,Colombia,labor wage dispute,,300000.0,PF,1
972,1997,Colombia,"political behavior, process",,1200.0,PF,1
973,1997,Colombia,labor wage dispute,,120000.0,PF,1
974,1997,Colombia,"political behavior, process",,1000.0,PF,1
976,1997,Colombia,"price increases, tax policy",,2000.0,PF,1
977,1997,Colombia,"political behavior, process",,50000.0,PF,1
978,1997,Colombia,"political behavior, process",,8000.0,PF,1
979,1997,Colombia,"political behavior, process",,13800.0,PF,1
980,1997,Colombia,labor wage dispute,,40000.0,PF,1
982,1998,Colombia,"political behavior, process",,1100.0,PF,1
