country,year,counts,participants
Armenia,2002,5,5000.0
Armenia,2003,2,13000.0
Armenia,2004,3,3667.0
Armenia,2005,3,4667.0
Armenia,2007,3,4667.0
Armenia,2008,4,27750.0
Armenia,2009,1,25000.0
Armenia,2010,3,1667.0
Armenia,2011,1,9000.0
Armenia,2013,3,6667.0
Armenia,2015,2,4500.0
Armenia,2016,4,1125.0
Armenia,2018,16,12812.0
Armenia,2019,1,10000.0
Austria,1999,1,10000.0
Austria,2000,6,31167.0
Austria,2002,1,1000.0
Austria,2003,1,1000.0
Austria,2007,1,5000.0
Austria,2013,1,10000.0
Azerbaijan,1991,3,40000.0
Azerbaijan,1992,2,17500.0
Azerbaijan,1993,4,20500.0
Azerbaijan,1998,4,14000.0
Azerbaijan,2000,3,11000.0
Azerbaijan,2002,14,3107.0
Azerbaijan,2003,6,17000.0
Azerbaijan,2005,7,12157.0
Azerbaijan,2006,1,1000.0
Azerbaijan,2011,1,1000.0
Azerbaijan,2012,1,1000.0
Azerbaijan,2013,3,4667.0
Azerbaijan,2016,1,2500.0
Bahrain,2003,1,2000.0
Bahrain,2005,1,10000.0
Bahrain,2011,6,2500.0
Bahrain,2012,3,7000.0
Bahrain,2013,2,1000.0
Bahrain,2014,1,10000.0
Bangladesh,1990,4,26500.0
Bangladesh,1992,3,7333.0
Bangladesh,1994,10,23500.0
Bangladesh,1995,2,30000.0
Bangladesh,1996,4,10750.0
Bangladesh,1997,3,29000.0
Bangladesh,1998,3,2667.0
Bangladesh,1999,4,13250.0
Bangladesh,2000,5,25800.0
Bangladesh,2002,1,1000.0
Bangladesh,2003,2,3500500.0
Bangladesh,2004,4,5750.0
Bangladesh,2005,3,4000.0
Bangladesh,2006,2,1000.0
Bangladesh,2007,1,1000.0
Bangladesh,2008,3,5333.0
Bangladesh,2010,1,1000.0
Bangladesh,2011,15,3600.0
Bangladesh,2012,4,5500.0
Bangladesh,2013,5,70200.0
Bangladesh,2014,6,5833.0
Bangladesh,2015,1,1000.0
Bangladesh,2018,10,1900.0
Belarus,1994,2,1000.0
Belarus,1995,3,22333.0
Belarus,1996,7,16857.0
Belarus,1997,4,6750.0
Belarus,1998,1,10000.0
Belarus,1999,4,7750.0
Belarus,2000,5,6600.0
Belarus,2001,1,1000.0
Belarus,2002,1,1000.0
Belarus,2004,1,1000.0
Belarus,2005,1,1000.0
Belarus,2006,2,8000.0
Belarus,2007,1,10000.0
Belarus,2008,2,2500.0
Belarus,2009,1,4000.0
Belarus,2010,1,10000.0
Belarus,2011,2,1000.0
Belarus,2017,2,2000.0
Belgium,1993,1,10000.0
Belgium,1995,1,50000.0
Belgium,1996,6,61000.0
Belgium,1997,1,50000.0
Belgium,2007,1,1000.0
Belgium,2008,1,1000.0
Belgium,2011,1,34000.0
Belgium,2015,1,1000.0
Belgium,2016,2,27500.0
Belgium,2018,3,2500.0
Belgium,2019,5,22600.0
Benin,1994,1,2000.0
Benin,2002,1,1000.0
Benin,2010,1,100000.0
Benin,2011,1,1000.0
Benin,2014,2,20000.0
Benin,2019,1,20000.0
Bolivia,1990,1,10000.0
Bolivia,1991,2,30500.0
Bolivia,1992,3,4000.0
Bolivia,1994,5,4600.0
Bolivia,1995,3,1167.0
Bolivia,1996,5,43200.0
Bolivia,1997,2,5000.0
Bolivia,1998,2,1000.0
Bolivia,1999,3,1833.0
Bolivia,2000,3,3333.0
Bolivia,2001,1,5000.0
Bolivia,2002,1,3000.0
Bolivia,2003,2,4000.0
Bolivia,2004,2,12000.0
Bolivia,2005,3,2333.0
Bolivia,2006,1,100000.0
Bolivia,2007,3,37000.0
Bolivia,2009,1,1000.0
Bolivia,2010,2,3500.0
Bolivia,2011,3,34000.0
Bolivia,2012,2,1500.0
Bolivia,2014,1,2000.0
Bolivia,2016,2,3000.0
Bolivia,2018,2,3000.0
Bolivia,2019,1,1000.0
Bosnia,1992,2,5500.0
Bosnia,1995,2,1000.0
Bosnia,2013,3,3667.0
Bosnia,2014,3,1000.0
Bosnia,2015,1,1000.0
Bosnia,2018,7,1000.0
Botswana,1991,1,55000.0
Botswana,1995,1,1000.0
Botswana,2002,1,1000.0
Botswana,2004,1,2000.0
Botswana,2006,1,1000.0
Botswana,2009,1,1000.0
Botswana,2011,3,1667.0
Brazil,1990,5,59000.0
Brazil,1991,5,33300.0
Brazil,1992,3,286667.0
Brazil,1993,2,25500.0
Brazil,1994,2,5500.0
Brazil,1995,5,8460.0
Brazil,1996,3,4500.0
Brazil,1997,4,1000.0
Brazil,1998,8,11975.0
Brazil,1999,4,25750.0
Brazil,2000,6,154833.0
Brazil,2001,4,4500.0
Brazil,2002,1,1000.0
Brazil,2003,5,91600.0
Brazil,2005,3,4667.0
Brazil,2006,1,2000.0
Brazil,2007,3,9333.0
Brazil,2010,2,5500.0
Brazil,2011,2,10500.0
Brazil,2012,1,10000.0
Brazil,2013,18,92333.0
Brazil,2014,3,1000.0
Brazil,2015,5,566400.0
Brazil,2016,11,9273.0
Brazil,2017,3,15333.0
Brazil,2018,3,4333.0
Bulgaria,1990,30,14640.0
Bulgaria,1991,5,21600.0
Bulgaria,1992,1,1000.0
Bulgaria,1993,1,10000.0
Bulgaria,1995,2,20000.0
Bulgaria,1996,1,1000.0
Bulgaria,1997,11,22545.0
Bulgaria,1999,1,10000.0
Bulgaria,2000,1,6000.0
Bulgaria,2001,1,3000.0
Bulgaria,2004,1,15000.0
Bulgaria,2005,1,2000.0
Bulgaria,2007,1,1000.0
Bulgaria,2008,2,1500.0
Bulgaria,2009,2,3500.0
Bulgaria,2011,2,1000.0
Bulgaria,2012,3,3667.0
Bulgaria,2013,5,9000.0
Bulgaria,2014,1,6000.0
Bulgaria,2018,3,1333.0
Burkina Faso,1991,2,6500.0
Burkina Faso,1998,2,1000.0
Burkina Faso,1999,1,3000.0
Burkina Faso,2000,1,5000.0
Burkina Faso,2002,3,2000.0
Burkina Faso,2006,1,10000.0
Burkina Faso,2007,1,3000.0
Burkina Faso,2008,2,10000.0
Burkina Faso,2010,1,1000.0
Burkina Faso,2011,7,3571.0
Burkina Faso,2012,1,3000.0
Burkina Faso,2013,2,1000.0
Burkina Faso,2014,3,4000.0
Burkina Faso,2018,2,1000.0
Burundi,1993,7,5571.0
Burundi,1994,2,1500.0
Burundi,1995,2,2500.0
Burundi,1996,3,4500.0
Burundi,2000,1,1000.0
Burundi,2002,1,5000.0
Burundi,2004,1,5000.0
Burundi,2008,1,2500.0
Burundi,2009,1,20000.0
Burundi,2013,1,1000.0
Burundi,2014,2,1000.0
Burundi,2015,1,1000.0
Cambodia,1991,3,4000.0
Cambodia,1994,1,1000.0
Cambodia,1996,1,3000.0
Cambodia,1997,1,2000.0
Cambodia,1998,2,5500.0
Cambodia,2003,2,1000.0
Cambodia,2004,2,1000.0
Cambodia,2012,1,6000.0
Cambodia,2013,5,12200.0
Cambodia,2014,1,1000.0
Cambodia,2015,2,15500.0
Cambodia,2018,2,1500.0
Cameroon,1990,1,20000.0
Cameroon,1991,7,10143.0
Cameroon,1992,1,1000.0
Cameroon,1993,2,1750.0
Cameroon,1994,1,1000.0
Cameroon,2004,1,8000.0
Cameroon,2008,1,1000.0
Cameroon,2011,1,1000.0
Canada,1990,2,1000.0
Canada,1991,2,110000.0
Canada,1992,1,1000.0
Canada,1993,1,10000.0
Canada,1994,2,8000.0
Canada,1995,1,3000.0
Canada,1996,1,1000.0
Canada,1997,2,85500.0
Canada,2000,1,2000.0
Canada,2005,1,170000.0
Canada,2007,1,1000.0
Canada,2009,1,12000.0
Canada,2010,1,1500.0
Canada,2012,1,1000.0
Canada,2018,1,1000.0
Central African Republic,1991,1,1000.0
Central African Republic,1992,2,50500.0
Central African Republic,1996,4,2750.0
Central African Republic,2000,3,6333.0
Central African Republic,2006,2,2000.0
Central African Republic,2013,3,2333.0
Central African Republic,2014,1,1000.0
Central African Republic,2015,1,1000.0
Chad,1992,1,10000.0
Chile,1991,1,3000.0
Chile,1994,5,26600.0
Chile,1995,2,1000.0
Chile,1996,5,5300.0
Chile,1997,6,11058.0
Chile,2000,2,3000.0
Chile,2001,7,6714.0
Chile,2002,4,9750.0
Chile,2003,4,2000.0
Chile,2006,10,45300.0
Chile,2007,3,2833.0
Chile,2008,7,3143.0
Chile,2009,3,27333.0
Chile,2010,4,3550.0
Chile,2011,6,19167.0
Chile,2012,3,7000.0
Chile,2016,3,42333.0
Chile,2018,6,7500.0
China,1990,1,2000.0
China,1992,1,50000.0
China,1993,1,1000.0
China,1994,1,3000.0
China,1997,3,4000.0
China,1998,3,14667.0
China,1999,5,16600.0
China,2000,9,10000.0
China,2001,3,17667.0
China,2002,2,35000.0
China,2003,5,122000.0
China,2004,9,74733.0
China,2005,6,52500.0
China,2006,5,6000.0
China,2007,4,22500.0
China,2008,7,5500.0
China,2009,4,4000.0
China,2010,3,1000.0
China,2011,8,3250.0
China,2012,15,12233.0
China,2013,4,11125.0
China,2014,16,52762.0
China,2015,6,6517.0
China,2016,5,1000.0
China,2017,3,4000.0
China,2018,3,17333.0
China,2019,1,1000.0
Colombia,1990,6,8000.0
Colombia,1991,5,138000.0
Colombia,1992,1,14000.0
Colombia,1993,5,63400.0
Colombia,1994,5,3020.0
Colombia,1995,2,2750.0
Colombia,1996,4,207500.0
Colombia,1997,9,59556.0
Colombia,1998,4,350525.0
Colombia,1999,4,425250.0
Colombia,2000,6,287867.0
Colombia,2001,4,92000.0
Colombia,2002,5,252400.0
Colombia,2003,2,5500.0
Colombia,2004,5,70800.0
Colombia,2005,4,5000.0
Colombia,2006,4,6000.0
Colombia,2007,5,180600.0
Colombia,2008,5,33000.0
Colombia,2009,1,7000.0
Colombia,2010,2,1000.0
Colombia,2011,2,7500.0
Colombia,2012,1,1000.0
Colombia,2013,3,30000.0
Colombia,2016,1,30000.0
Colombia,2017,1,1000.0
Colombia,2018,2,1000.0
Comoros,1997,2,5000.0
Comoros,1998,1,1000.0
Comoros,2003,2,6000.0
Comoros,2010,2,1250.0
Congo Brazzaville,2009,1,2000.0
Congo Brazzaville,2015,3,4000.0
Congo Kinshasa,1991,1,1000.0
Congo Kinshasa,1992,1,1000.0
Congo Kinshasa,1994,1,5000.0
Congo Kinshasa,1995,1,2000.0
Congo Kinshasa,1996,1,1000.0
Congo Kinshasa,1997,2,1000.0
Congo Kinshasa,1999,2,3000.0
Congo Kinshasa,2000,1,5000.0
Congo Kinshasa,2004,1,10000.0
Congo Kinshasa,2005,2,1000.0
Congo Kinshasa,2006,1,4000.0
Congo Kinshasa,2016,1,1000.0
Congo Kinshasa,2017,1,1000.0
Congo Kinshasa,2018,2,1000.0
Costa Rica,1995,5,40600.0
Costa Rica,1996,1,1000.0
Costa Rica,2000,4,6750.0
Costa Rica,2002,1,1000.0
Costa Rica,2003,1,80000.0
Costa Rica,2004,2,1000.0
Costa Rica,2005,2,3000.0
Costa Rica,2007,2,55000.0
Costa Rica,2018,1,1000.0
Croatia,1996,2,53000.0
Croatia,1998,1,10000.0
Croatia,2001,1,1000.0
Croatia,2002,1,5000.0
Croatia,2005,1,70000.0
Croatia,2010,1,3000.0
Croatia,2011,1,15000.0
Croatia,2012,1,1000.0
Croatia,2013,1,20000.0
Croatia,2018,4,6750.0
Cuba,1994,1,1000.0
Cyprus,1990,1,25000.0
Cyprus,1993,2,1500.0
Cyprus,1996,1,1000.0
Cyprus,1997,1,1000.0
Cyprus,2002,3,19333.0
Cyprus,2003,2,70000.0
Cyprus,2004,3,29000.0
Cyprus,2009,1,1000.0
Cyprus,2010,4,1250.0
Cyprus,2011,5,9000.0
Cyprus,2012,2,1100.0
Cyprus,2013,4,1375.0
Cyprus,2014,1,1000.0
Cyprus,2018,1,1000.0
Czech Republic,1994,1,20000.0
Czech Republic,1995,1,8000.0
Czech Republic,1997,1,60000.0
Czech Republic,2000,1,100000.0
Czech Republic,2010,1,30000.0
Czech Republic,2012,1,90000.0
Czech Republic,2014,1,1000.0
Czech Republic,2015,1,5750.0
Czech Republic,2018,4,1750.0
Czechoslovakia,1990,3,13667.0
Denmark,2009,1,12000.0
Denmark,2014,1,4000.0
Djibouti,1993,1,3000.0
Dominican Republic,1990,1,1000.0
Dominican Republic,2012,1,1000.0
Dominican Republic,2017,24,10000.0
Dominican Republic,2018,4,7750.0
Ecuador,1992,2,3750.0
Ecuador,1993,2,60500.0
Ecuador,1994,1,250000.0
Ecuador,1996,1,1000.0
Ecuador,1997,2,1000.0
Ecuador,1998,1,1000.0
Ecuador,1999,7,47000.0
Ecuador,2000,7,21143.0
Ecuador,2001,4,2000.0
Ecuador,2002,5,12000.0
Ecuador,2003,8,23188.0
Ecuador,2004,5,1420.0
Ecuador,2005,8,6000.0
Ecuador,2006,2,1000.0
Ecuador,2008,2,8000.0
Ecuador,2009,1,1000.0
Ecuador,2010,2,1000.0
Ecuador,2011,1,1000.0
Ecuador,2015,4,3250.0
Ecuador,2017,2,5500.0
Ecuador,2018,1,1000.0
Egypt,1991,1,1000.0
Egypt,1993,1,2000.0
Egypt,1994,2,2000.0
Egypt,2000,1,2000.0
Egypt,2002,3,7333.0
Egypt,2004,3,3000.0
Egypt,2005,4,1250.0
Egypt,2006,1,1000.0
Egypt,2008,3,1000.0
Egypt,2010,2,5500.0
Egypt,2011,15,20167.0
Egypt,2012,13,15923.0
Egypt,2013,11,29727.0
Egypt,2014,5,1000.0
Egypt,2016,3,4333.0
El Salvador,1995,2,1500.0
El Salvador,1998,1,1000.0
El Salvador,1999,1,1000.0
El Salvador,2001,1,2000.0
El Salvador,2003,1,1000.0
El Salvador,2004,2,1250.0
El Salvador,2006,2,3500.0
El Salvador,2013,1,1000.0
El Salvador,2015,2,2500.0
El Salvador,2016,1,10000.0
Estonia,1993,1,10000.0
Estonia,1999,1,8000.0
Estonia,2000,6,2583.0
Estonia,2001,2,2500.0
Estonia,2003,1,2500.0
Estonia,2005,1,2000.0
Estonia,2007,1,1000.0
Estonia,2018,1,1000.0
Ethiopia,1992,1,1000.0
Ethiopia,1994,2,200000.0
Ethiopia,1996,2,51500.0
Ethiopia,2001,2,2500.0
Ethiopia,2002,2,6500.0
Ethiopia,2004,1,6000.0
Ethiopia,2013,1,5000.0
Ethiopia,2018,2,13000.0
Finland,1992,1,2000.0
Finland,2000,1,1000.0
Finland,2015,1,30000.0
Finland,2016,1,10000.0
Finland,2018,1,2000.0
France,1990,12,63667.0
France,1991,7,111714.0
France,1992,9,12644.0
France,1993,7,6571.0
France,1994,12,136575.0
France,1995,22,170227.0
France,1996,13,16692.0
France,1997,10,17900.0
France,1998,18,63761.0
France,1999,4,6500.0
France,2000,6,17583.0
France,2001,2,6850.0
France,2002,3,63667.0
France,2003,9,182222.0
France,2004,3,5833.0
France,2005,5,176400.0
France,2006,9,394667.0
France,2007,3,8667.0
France,2008,2,196500.0
France,2009,4,669250.0
France,2010,9,475333.0
France,2011,1,1000.0
France,2012,4,1000.0
France,2013,12,87083.0
France,2014,5,9000.0
France,2015,4,2341.0
France,2016,16,141250.0
France,2017,5,73400.0
France,2018,17,60235.0
France,2019,12,52000.0
Gabon,1990,1,1000.0
Gabon,1993,2,2000.0
Gabon,2009,2,5500.0
Gabon,2016,1,1000.0
Georgia,1990,1,100000.0
Georgia,1991,5,5400.0
Georgia,1992,5,2100.0
Georgia,1994,2,3000.0
Georgia,1995,1,2000.0
Georgia,1996,2,6500.0
Georgia,1997,1,2000.0
Georgia,2001,1,5000.0
Georgia,2003,3,10333.0
Georgia,2004,1,1000.0
Georgia,2007,3,8667.0
Georgia,2008,1,1000.0
Georgia,2009,2,6500.0
Georgia,2011,2,6000.0
Georgia,2012,1,1000.0
Georgia,2014,1,1000.0
Georgia,2016,3,1000.0
Georgia,2018,2,1000.0
Germany,1990,2,3500.0
Germany,1991,10,55600.0
Germany,1992,8,181375.0
Germany,1993,10,58500.0
Germany,1994,1,150000.0
Germany,1995,3,4000.0
Germany,1996,5,100600.0
Germany,1997,9,17222.0
Germany,1998,5,9400.0
Germany,1999,3,4000.0
Germany,2000,3,7000.0
Germany,2001,5,6400.0
Germany,2002,1,40000.0
Germany,2003,3,40000.0
Germany,2004,7,94000.0
Germany,2005,1,1000.0
Germany,2006,1,25000.0
Germany,2007,3,6667.0
Germany,2008,1,6600.0
Germany,2009,3,166667.0
Germany,2010,10,18600.0
Germany,2011,5,106200.0
Germany,2012,3,150000.0
Germany,2013,3,1000.0
Germany,2014,4,13000.0
Germany,2015,56,6971.0
Germany,2016,45,1122.0
Germany,2017,3,4500.0
Germany,2018,10,34000.0
Germany,2019,2,6600.0
Germany East,1990,10,58500.0
Germany West,1990,1,5000.0
Ghana,1993,1,1000.0
Ghana,1995,4,9750.0
Ghana,1999,2,1500.0
Ghana,2003,2,5000.0
Ghana,2005,1,1000.0
Ghana,2011,1,2500.0
Ghana,2013,1,1000.0
Ghana,2015,4,1000.0
Ghana,2016,2,1000.0
Greece,1990,4,13250.0
Greece,1991,4,34000.0
Greece,1992,4,4750.0
Greece,1993,1,1000.0
Greece,1994,1,1000.0
Greece,1995,2,1150.0
Greece,1996,4,2250.0
Greece,1997,2,8000.0
Greece,1998,4,1000.0
Greece,1999,2,15500.0
Greece,2000,2,105000.0
Greece,2001,3,37000.0
Greece,2003,3,20667.0
Greece,2005,1,1000.0
Greece,2006,8,5125.0
Greece,2007,14,9286.0
Greece,2008,4,8250.0
Greece,2009,4,3250.0
Greece,2010,14,17071.0
Greece,2011,13,27923.0
Greece,2012,10,137200.0
Greece,2013,13,6462.0
Greece,2014,5,4800.0
Greece,2015,20,3800.0
Greece,2016,7,12714.0
Greece,2017,5,5000.0
Greece,2018,4,31500.0
Greece,2019,2,100500.0
Guatemala,1990,1,1000.0
Guatemala,1991,1,2000.0
Guatemala,1993,2,5500.0
Guatemala,1994,2,1000.0
Guatemala,1997,3,6000.0
Guatemala,2000,1,1000.0
Guatemala,2001,2,1000.0
Guatemala,2002,5,9600.0
Guatemala,2003,8,1875.0
Guatemala,2004,2,10000.0
Guatemala,2005,4,2750.0
Guatemala,2006,1,2000.0
Guatemala,2007,1,1000.0
Guatemala,2008,1,1000.0
Guatemala,2009,2,1000.0
Guatemala,2012,2,1000.0
Guatemala,2013,2,1000.0
Guatemala,2015,18,2500.0
Guatemala,2016,1,10000.0
Guatemala,2018,2,1000.0
Guinea,2007,4,2000.0
Guinea,2009,2,35000.0
Guinea,2010,1,3000.0
Guinea,2012,4,1000.0
Guinea,2013,3,4000.0
Guinea,2015,1,1000.0
Guinea,2016,1,700000.0
Guinea,2018,1,1000.0
Guinea-Bissau,1994,1,1000.0
Guinea-Bissau,2001,2,7500.0
Guinea-Bissau,2004,1,2000.0
Guinea-Bissau,2005,3,2333.0
Guinea-Bissau,2011,3,1000.0
Guyana,1997,1,3000.0
Guyana,1998,3,3000.0
Guyana,1999,1,10000.0
Guyana,2008,2,2000.0
Haiti,1990,2,1000.0
Haiti,1991,1,1000.0
Haiti,1993,1,2500.0
Haiti,1994,6,2833.0
Haiti,1997,1,1000.0
Haiti,2001,1,1000.0
Haiti,2002,4,2750.0
Haiti,2003,2,1000.0
Haiti,2004,7,6000.0
Haiti,2005,2,1500.0
Haiti,2006,2,5500.0
Haiti,2007,1,2000.0
Haiti,2008,1,10000.0
Haiti,2010,2,1000.0
Haiti,2012,2,1000.0
Haiti,2013,5,1000.0
Haiti,2014,7,1214.0
Haiti,2015,4,1875.0
Haiti,2016,1,2000.0
Haiti,2017,1,1000.0
Haiti,2018,3,4000.0
Haiti,2019,2,1000.0
Honduras,1990,2,17000.0
Honduras,1992,1,40000.0
Honduras,1993,2,1500.0
Honduras,1994,4,4250.0
Honduras,1995,3,3000.0
Honduras,1996,2,30500.0
Honduras,1997,5,13600.0
Honduras,1998,3,11667.0
Honduras,1999,5,6600.0
Honduras,2000,1,1000.0
Honduras,2001,1,6000.0
Honduras,2002,4,1050.0
Honduras,2003,1,1000.0
Honduras,2004,2,1350.0
Honduras,2005,2,1750.0
Honduras,2007,1,1000.0
Honduras,2009,5,2800.0
Honduras,2010,1,1000.0
Honduras,2011,4,1250.0
Honduras,2013,1,5000.0
Honduras,2015,14,16929.0
Honduras,2016,1,1000.0
Honduras,2017,2,5500.0
Honduras,2018,2,1000.0
Hungary,1990,4,14000.0
Hungary,1992,2,35000.0
Hungary,1993,1,10000.0
Hungary,1994,2,15500.0
Hungary,1995,1,1000.0
Hungary,1998,1,10000.0
Hungary,1999,2,3000.0
Hungary,2000,1,2000.0
Hungary,2001,1,30000.0
Hungary,2002,1,100000.0
Hungary,2006,7,20286.0
Hungary,2007,5,42600.0
Hungary,2008,1,10000.0
Hungary,2009,2,1000.0
Hungary,2011,3,7000.0
Hungary,2012,1,30000.0
Hungary,2013,1,1000.0
Hungary,2014,3,70000.0
Hungary,2015,1,1000.0
Hungary,2017,4,20500.0
Hungary,2018,6,22000.0
Hungary,2019,1,1000.0
India,1990,6,86500.0
India,1991,1,2000.0
India,1992,2,500500.0
India,1993,2,1000.0
India,1994,4,40250.0
India,1996,2,1150.0
India,1997,3,5667.0
India,1998,5,7800.0
India,2000,3,1000.0
India,2001,5,13200.0
India,2002,3,1000.0
India,2004,3,5333.0
India,2005,1,1000.0
India,2006,7,3286.0
India,2007,8,9250.0
India,2008,9,4000.0
India,2009,2,5500.0
India,2010,4,1000.0
India,2011,6,14500.0
India,2012,7,289000.0
India,2013,2,500500.0
India,2014,1,3000.0
India,2015,3,170333.0
India,2016,1,1000.0
India,2017,3,4000.0
India,2018,8,14750.0
India,2019,2,1500500.0
Indonesia,1991,2,2000.0
Indonesia,1994,4,200750.0
Indonesia,1995,1,12000.0
Indonesia,1996,7,3286.0
Indonesia,1997,4,6500.0
Indonesia,1998,17,18471.0
Indonesia,1999,11,95773.0
Indonesia,2000,5,2800.0
Indonesia,2001,5,6000.0
Indonesia,2002,3,1000.0
Indonesia,2003,2,5500.0
Indonesia,2004,1,3000.0
Indonesia,2005,2,1000.0
Indonesia,2006,4,7250.0
Indonesia,2007,1,1000.0
Indonesia,2008,2,1500.0
Indonesia,2009,1,1000.0
Indonesia,2010,3,10333.0
Indonesia,2011,1,1000.0
Indonesia,2012,1,80000.0
Indonesia,2013,4,4000.0
Indonesia,2014,1,2000.0
Indonesia,2016,2,5500.0
Indonesia,2017,1,1000.0
Indonesia,2018,2,5500.0
Iran,1991,1,100000.0
Iran,1992,2,1500.0
Iran,1994,1,10000.0
Iran,1998,4,5000.0
Iran,1999,1,10000.0
Iran,2000,1,1000.0
Iran,2001,1,1000.0
Iran,2002,8,2000.0
Iran,2003,2,1000.0
Iran,2006,3,1667.0
Iran,2007,2,2750.0
Iran,2009,17,14882.0
Iran,2010,1,1000.0
Iran,2011,3,4000.0
Iran,2013,1,10000.0
Iran,2014,1,2000.0
Iran,2015,1,1000.0
Iran,2016,2,1000.0
Iran,2017,3,670333.0
Iran,2018,3,4000.0
Iraq,1994,1,1600.0
Iraq,1995,1,1000.0
Iraq,2003,6,2667.0
Iraq,2004,5,22620.0
Iraq,2005,9,2278.0
Iraq,2006,1,1000.0
Iraq,2007,2,5500.0
Iraq,2008,3,4000.0
Iraq,2009,2,7500.0
Iraq,2010,2,1000.0
Iraq,2011,5,1600.0
Iraq,2012,2,5500.0
Iraq,2013,5,7400.0
Iraq,2015,5,4600.0
Iraq,2016,3,4000.0
Iraq,2018,1,1000.0
Ireland,1992,7,2143.0
Ireland,1993,1,8000.0
Ireland,1994,6,2667.0
Ireland,1996,1,8000.0
Ireland,1997,1,2000.0
Ireland,2003,15,10133.0
Ireland,2004,7,5214.0
Ireland,2005,9,9167.0
Ireland,2006,3,3667.0
Ireland,2007,10,2700.0
Ireland,2009,2,8500.0
Ireland,2010,3,37000.0
Ireland,2012,2,5500.0
Ireland,2013,11,9864.0
Ireland,2014,14,17643.0
Ireland,2015,12,7800.0
Ireland,2016,5,10200.0
Ireland,2017,3,12000.0
Ireland,2018,4,3750.0
Ireland,2019,1,10000.0
Italy,1991,1,1000.0
Italy,1992,5,229000.0
Italy,1993,6,30333.0
Italy,1994,2,550000.0
Italy,1996,1,100000.0
Italy,1997,2,150500.0
Italy,2000,2,1500.0
Italy,2001,3,7000.0
Italy,2002,10,667200.0
Italy,2003,1,1500000.0
Italy,2004,5,4600.0
Italy,2005,5,40440.0
Italy,2006,4,1250.0
Italy,2007,4,295000.0
Italy,2008,5,5200.0
Italy,2009,2,650000.0
Italy,2010,3,70000.0
Italy,2011,5,50200.0
Italy,2012,4,5750.0
Italy,2014,3,337000.0
Italy,2016,4,28000.0
Italy,2017,2,3750.0
Italy,2018,3,3333.0
Italy,2019,2,100500.0
Ivory Coast,1990,1,1000.0
Ivory Coast,1991,5,6600.0
Ivory Coast,1992,3,1000.0
Ivory Coast,1995,2,6500.0
Ivory Coast,1997,1,4000.0
Ivory Coast,1998,2,5500.0
Ivory Coast,1999,2,3000.0
Ivory Coast,2000,1,100000.0
Ivory Coast,2001,1,3000.0
Ivory Coast,2002,1,1000.0
Ivory Coast,2003,3,37000.0
Ivory Coast,2005,1,4000.0
Ivory Coast,2010,1,1000.0
Ivory Coast,2011,1,15000.0
Ivory Coast,2016,1,1000.0
Jamaica,2001,1,1000.0
Jamaica,2002,1,1000.0
Jamaica,2003,2,2500.0
Jamaica,2006,1,3000.0
Japan,1990,3,17833.0
Japan,1991,2,25650.0
Japan,1992,2,5500.0
Japan,1993,1,5000.0
Japan,1997,2,25500.0
Japan,1999,1,3000.0
