,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
68,2018,Jordan,Partly free,Tax law protests,"Government corruption, lack of political rights, and a stagnant economy.",">10,000"
69,2019,Kazakhstan,Not free,Election protests,Undemocratic elections and lack of meaningful political choice and change.,">1,000"
70,2019,Lebanon,Partly free,WhatsApp tax protests,"High youth unemployment and a currency crisis, income inequality, poor service delivery, and political nepotism and corruption due to sectarianism.","1,000,000"
71,2020,Lebanon,Partly free,Prison protest,Overcrowding in Lebanese prisons.,Unknown
72,2019,Liberia,Partly free,Economic protests,"Stagnant economy, high levels of poverty and inflation, and corruption.",">1,000"
73,2018,Madagascar,Partly free,Electoral law protests,Obstacles to opposition candidates’ participation.,">1,000"
74,2019,Malawi,Partly free,Election fraud protests,Election fraud and bribery.,"100,000"
75,2018,Maldives,Partly free,Maldives protests,Imprisonment of political opponents and attacks on judicial independence.,">1,000"
76,2019,Mali,Partly free,Ethnic violence protest,Failure of government to quell/respond to interethnic violence.,"12,500"
77,2020,Mali,Partly free,Movement of June 5,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",Tens of thousands
78,2019,Malta,Free,“Mafia state” protests,"Then prime minister Joseph Muscat’s influence over law enforcement and judicial systems, and corruption among political leaders.","4,000"
79,2020,Mexico,Partly free,Femicide protests,"Violence against women, and lack of a government focus on addressing gender-based violence.",">10,000"
80,2018,Moldova,Partly free,Corruption protests,Lack of judicial independence.,"20,000"
81,2018,Mongolia,Free,Corruption protests,"Corruption allegations against political elites, falling foreign investment and currency values, and democratic backslide.","20,000"
82,2019,Montenegro,Partly free,Corruption protests,Democratic backslide and corruption.,"10,000"
83,2019,Montenegro,Partly free,“Religion law” protests,Concerns among supporters of the Serbian Orthodox Church that the government is attempting to seize the church’s assets and distance Montenegro from Serbia.,"60,000"
84,2019,Morocco,Partly free,Teacher protests,Inadequate compensation and benefits for teachers.,"15,000"
85,2019,Nepal,Partly free,“Guthi bill” protests,Concerns for Sanatan Hindu traditions.,"50,000"
86,2020,New Zealand,Free,Racial equality protests,Systemic racism and police violence against indigenous people.,">10,000"
87,2018,Nicaragua,Partly free,Social security reform protests,Violent repression of initial protests and broader democratic backslide.,">100,000"
88,2019,Pakistan,Partly free,Islamabad sit-in protests,"Economic crisis, rising inflation, and suspicion that the 2018 election was rigged.","20,000"
89,2017,Peru,Free,Fujimori pardon protests,"Controversy over Fujimori’s authoritarian legacy, and concerns that Kuczynski had pardoned him as part of a deal to survive an impeachment effort over Kuczynski’s connections to the Brazilian construction company Odebrecht.",60000
90,2018,Poland,Free,Judicial reform protests,Erosion of judicial independence and democratic backslide.,">10,000"
91,2019,Poland,Free,“Muzzle law” protests,Erosion of judicial independence.,"30,000"
92,2020,Portugal,Free,Police brutality protest,"Police brutality, systemic racism, and lack of government recognition of systemic racism.",">10,000"
93,2017,Romania,Free,Corruption protests,"Government corruption, subversion of democratic processes, and erosion of judicial independence.","500,000"
94,2017,Russia,Not free,Corruption protest,Economic downturn and corruption.,"60,000"
95,2019,Russia,Not free,Moscow election protests,Growing authoritarianism under President Vladimir Putin.,"50,000"
96,2020,Russia,Not free,Constitutional changes protests,"Opposition to constitutional changes, falling popularity of Putin","22,000"
97,2020,Russia,Not free,Coronavirus restrictions protests,"Concern over the economic effects of the shutdown, particularly in poorer areas that have lower infection rates.","2,000"
98,2018,Serbia,Free,“1 Out of 5 Million” protests,"Corruption, nepotism, government incompetence, state control of media, and rising authoritarianism.","37,500"
99,2018,Slovakia,Free,“For a Decent Slovakia” protests,Continued government corruption and popular distrust in the current government.,"65,000"
100,2017,South Africa,Free,Anti-Zuma protest,"Economic challenges, inequality, corruption, political cronyism, and growing disapproval of then president Jacob Zuma.","30,000"
101,2019,South Africa,Free,Violence against women protests,Violence against women and lack of institutional protections for women.,4000
102,2016,South Korea,Free,Candlelight demonstrations,"Improper influence of outside individuals, including friends of politicians as well as business elites and family-run conglomerates; increasing class divisions and inequality and lack of social mobility and economic opportunity, especially for younger citizens; and patriarchy and sexism in South Korea.",1.5 million
103,2019,South Korea,Free,Justice minister protests,Government corruption and public distrust of prosecutors.,">100,000"
104,2019,Spain,Free,Catalan independence protests,"Catalan independence, dissatisfaction with the government response to the independence movement, and belief that Catalonia should retain more of its own tax revenues.","600,000"
105,2020,Spain,Free,Coronavirus protests,"Economic effects of the lockdown, and concerns of government overreach.",Thousands
106,2018,Sri Lanka,Partly free,Constitutional crisis protests,Fears of majoritarianism and return of minority repression.,"62,500"
107,2018,Sudan,Not free,Sudanese revolution,"Discontent with the ruling party and political and economic elites, economic downturn, and the heavy-handed response to initial protests.",">100,000"
108,2017,Taiwan,Free,Pension reform protest,"Discontent with the government, slowing economic growth, and concerns over the pension system's solvency with a rapidly aging population.","12,000"
109,2018,Taiwan,Free,Taiwan “Yellow Vest” protests,An unfair and confusing taxation system.,"20,000"
110,2017,Togo,Partly free,Term limit protests,"Concerns over dynastic politics, poor living conditions, and high youth unemployment.","800,000"
111,2017,Turkey,Not free,“March for Justice” protest,Government crackdown against critics and civil servants and the expansion of executive power.,">100,000"
112,2018,Turkey,Not free,Economic protest,"Rising inflation, slowing economic growth, and high cost of living.",">1,000"
113,2019,Ukraine,Partly free,Peace plan protests,Opposition to policy changes regarding Russia.,"20,000"
114,2018,United Kingdom,Free,People’s Vote protests,Concern over Brexit and its implications.,1 million
115,2020,United Kingdom,Free,Black Lives Matter protests,Systemic racism in the UK and the country’s imperial legacy.,Tens of thousands
116,2017,United States,Free,Immigration ban protests,Concerns over discrimination against Muslims.,">10,000"
117,2018,United States,Free,“Keep Families Together” protest,Government immigration policy.,">10,000"
118,2019,United States,Free,“Lights for Liberty” protest,Opposition to President Donald Trump’s migration policies.,">100,000"
119,2019,United States,Free,“Telegramgate” protests,"Continued economic challenges, government mismanagement, and corruption.","500,000"
120,2020,United States,Free,Coronavirus lockdown protests,Economic impacts of statewide shutdowns.,">10,000"
121,2020,United States,Free,Prison protest,Risk of the coronavirus spreading within prisons or other detention facilities.,>700
122,2020,United States,Free,Police brutality protests,"Ongoing police brutality toward communities of Black people, and broader issues of systemic racism.",">100,000"
123,2018,Uruguay,Free,Farmer protest,Lack of government support for farmers and increasing agriculture costs.,">10,000"
124,2017,Venezuela,Not free,“Mother of All Marches” protests,"Growing authoritarianism, economic crisis, and ensuing food and medicine shortages.","200,000"
125,2019,Venezuela,Not free,January 2019 protests,"Economic collapse, corruption, food shortages, brutal government repression of dissidents, and political authoritarianism.",">100,000"
126,2018,Vietnam,Not free,Cybersecurity/special economic zone protests,"Fear of growing Chinese influence through special economic zones, concerns over citizens’ privacy and limited freedoms of speech, and the effects of the cybersecurity law on the digital economy’s growth.","50,000"
127,2017,Zimbabwe,Partly free,Mugabe protest,Desire for political reforms and repression under Mugabe.,">10,000"
0,1990,Canada,Free,"political behavior, process",labor wage dispute,1000s
1,1990,Canada,Free,"political behavior, process",,1000
2,1990,Canada,Free,"political behavior, process",,500
3,1990,Canada,Free,land farm issue,,100s
4,1990,Canada,Free,"political behavior, process",,950
5,1990,Canada,Free,police brutality,,200
6,1991,Canada,Free,labor wage dispute,,110000
7,1991,Canada,Free,labor wage dispute,,110000
8,1992,Canada,Free,police brutality,,1000
9,1993,Canada,Free,"political behavior, process",,10000s
10,1993,Canada,Free,"political behavior, process",,100s
11,1994,Canada,Free,"political behavior, process",,10000
12,1994,Canada,Free,"price increases, tax policy",,6000
13,1995,Canada,Free,"price increases, tax policy",,3000
14,1995,Canada,Free,land farm issue,,100s
15,1996,Canada,Free,"price increases, tax policy",,1000s
16,1997,Canada,Free,"political behavior, process",labor wage dispute,126000
17,1997,Canada,Free,labor wage dispute,,45000
18,2000,Canada,Free,"political behavior, process",,2000
19,2000,Canada,Free,police brutality,,400
20,2000,Canada,Free,"political behavior, process",,500
21,2000,Canada,Free,"political behavior, process",,10s
22,2003,Canada,Free,"political behavior, process",,250
23,2005,Canada,Free,"political behavior, process",,170000
24,2005,Canada,Free,"political behavior, process",,300
25,2006,Canada,Free,police brutality,"political behavior, process",200
26,2007,Canada,Free,"political behavior, process",,1000s
27,2008,Canada,Free,police brutality,,100s
28,2009,Canada,Free,"political behavior, process",,12000
29,2009,Canada,Free,"political behavior, process",,200
30,2010,Canada,Free,"political behavior, process",,1500
31,2011,Canada,Free,"political behavior, process",,300
32,2012,Canada,Free,"price increases, tax policy",,1000s
33,2015,Canada,Free,"political behavior, process",,50+
34,2016,Canada,Free,labor wage dispute,,250-300
35,2016,Canada,Free,labor wage dispute,,hundreds
36,2016,Canada,Free,labor wage dispute,,more than 200
37,2016,Canada,Free,police brutality,,hundreds
38,2016,Canada,Free,"political behavior, process",,dozens
39,2016,Canada,Free,"political behavior, process",,more than 200
40,2016,Canada,Free,"political behavior, process",,a group
41,2016,Canada,Free,"political behavior, process",,about 300
42,2016,Canada,Free,police brutality,,more than 500
43,2016,Canada,Free,"political behavior, process",,busloads
45,2018,Canada,Free,"political behavior, process",,widespread
46,2018,Canada,Free,social restrictions,,thousands
47,2019,Canada,Free,land farm issue,,100
48,2019,Canada,Free,land farm issue,,50
49,2019,Canada,Free,land farm issue,,50
50,1994,Cuba,Not free,"political behavior, process",,1000
51,1999,Cuba,Not free,"political behavior, process",,50
52,2012,Cuba,Not free,"political behavior, process",,50
53,2014,Cuba,Not free,labor wage dispute,,100+
54,2014,Cuba,Not free,"political behavior, process",,50+
55,2015,Cuba,Not free,"political behavior, process",,100+
56,2015,Cuba,Not free,"political behavior, process",,100+
57,2015,Cuba,Not free,"political behavior, process",,100+
58,2015,Cuba,Not free,"political behavior, process",,100+
59,2015,Cuba,Not free,"political behavior, process",,100+
60,2015,Cuba,Not free,"political behavior, process",,100+
61,2015,Cuba,Not free,"political behavior, process",,100+
62,2015,Cuba,Not free,"political behavior, process",,100+
63,2015,Cuba,Not free,"political behavior, process",,100+
64,2015,Cuba,Not free,"political behavior, process",,100+
65,2015,Cuba,Not free,"political behavior, process",,100+
66,2015,Cuba,Not free,"political behavior, process",,100+
67,2015,Cuba,Not free,"political behavior, process",,100+
68,2015,Cuba,Not free,"political behavior, process",,100+
69,2015,Cuba,Not free,"political behavior, process",,100+
70,2015,Cuba,Not free,"political behavior, process",,100+
71,2015,Cuba,Not free,"political behavior, process",,100+
72,2015,Cuba,Not free,"political behavior, process",,100+
73,2015,Cuba,Not free,"political behavior, process",,100+
74,2015,Cuba,Not free,"political behavior, process",,100+
75,2015,Cuba,Not free,"political behavior, process",,100+
76,2015,Cuba,Not free,"political behavior, process",,100+
77,2015,Cuba,Not free,"political behavior, process",,100+
78,2015,Cuba,Not free,"political behavior, process",,100+
79,2015,Cuba,Not free,"political behavior, process",,100+
80,2015,Cuba,Not free,"political behavior, process",,100+
81,2015,Cuba,Not free,"political behavior, process",,100+
82,2015,Cuba,Not free,"political behavior, process",,100+
83,2015,Cuba,Not free,"political behavior, process",,100+
84,2015,Cuba,Not free,"political behavior, process",,100+
85,2015,Cuba,Not free,"political behavior, process",,100+
86,2015,Cuba,Not free,"political behavior, process",,100+
87,2015,Cuba,Not free,"political behavior, process",,100+
88,2015,Cuba,Not free,"political behavior, process",,100+
89,2015,Cuba,Not free,"political behavior, process",,100+
90,2015,Cuba,Not free,"political behavior, process",,100+
91,2015,Cuba,Not free,"political behavior, process",,50+
92,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
93,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
94,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
95,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
96,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
97,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
98,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
99,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
100,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
101,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
102,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
103,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
104,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
105,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
106,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
107,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
108,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
109,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
110,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
111,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
112,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
113,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
114,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
115,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
116,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
117,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
118,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
119,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
120,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
121,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
122,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
123,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
124,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
125,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
126,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
127,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
128,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
129,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
130,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
131,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
132,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
133,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
134,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
135,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
136,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
137,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
138,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
139,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
140,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
141,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
142,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
143,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
144,2016,Cuba,Not free,"political behavior, process",removal of politician,dozens
147,1990,Haiti,Partly free,police brutality,removal of politician,1000s
148,1990,Haiti,Partly free,"political behavior, process",,1000s
149,1991,Haiti,Not free,"political behavior, process",,1000s
150,1991,Haiti,Not free,"political behavior, process",,300
151,1991,Haiti,Not free,"political behavior, process",,80
152,1992,Haiti,Not free,"political behavior, process",,200
153,1992,Haiti,Not free,"political behavior, process",police brutality,200
154,1993,Haiti,Not free,"political behavior, process",,2500
155,1993,Haiti,Not free,"political behavior, process",,300
156,1993,Haiti,Not free,"political behavior, process",,150
157,1993,Haiti,Not free,"political behavior, process",,500
158,1993,Haiti,Not free,"political behavior, process",,200
159,1994,Haiti,Partly free,"political behavior, process",,2000
160,1994,Haiti,Partly free,"political behavior, process",,1000s
161,1994,Haiti,Partly free,"political behavior, process",,1000s
162,1994,Haiti,Partly free,"political behavior, process",,10000
163,1994,Haiti,Partly free,police brutality,"political behavior, process",100s
164,1994,Haiti,Partly free,"political behavior, process",,1000s
165,1994,Haiti,Partly free,"political behavior, process",police brutality,100s
166,1994,Haiti,Partly free,"political behavior, process",,100s
167,1994,Haiti,Partly free,"political behavior, process",,2000
168,1994,Haiti,Partly free,labor wage dispute,,80
169,1995,Haiti,Partly free,"political behavior, process",,100s
170,1995,Haiti,Partly free,police brutality,,50
171,1996,Haiti,Partly free,"political behavior, process",,100s
172,1997,Haiti,Partly free,"price increases, tax policy",,100s-1000s
173,1997,Haiti,Partly free,police brutality,,50
174,1997,Haiti,Partly free,"political behavior, process",,100s
175,1997,Haiti,Partly free,"political behavior, process",,100s
176,1998,Haiti,Partly free,police brutality,,300
177,1998,Haiti,Partly free,police brutality,,50
178,1998,Haiti,Partly free,"political behavior, process",,400
179,1999,Haiti,Partly free,"political behavior, process",,100s
180,1999,Haiti,Partly free,"political behavior, process",,100s
181,1999,Haiti,Partly free,police brutality,,100s
182,1999,Haiti,Partly free,police brutality,,500
183,1999,Haiti,Partly free,police brutality,,100s
184,1999,Haiti,Partly free,"political behavior, process",,100s
185,2000,Haiti,Not free,"political behavior, process",,50
186,2000,Haiti,Not free,"political behavior, process",,100s
187,2000,Haiti,Not free,"political behavior, process",,100
188,2000,Haiti,Not free,"political behavior, process",,100s
189,2001,Haiti,Not free,"political behavior, process",,1000
190,2002,Haiti,Not free,removal of politician,,1000s
191,2002,Haiti,Not free,removal of politician,,8000
192,2002,Haiti,Not free,removal of politician,,1000s
193,2002,Haiti,Not free,removal of politician,"political behavior, process",1000s
194,2003,Haiti,Not free,removal of politician,,100s-1000
195,2003,Haiti,Not free,removal of politician,,300-1000s
196,2004,Haiti,Not free,removal of politician,,1000s
197,2004,Haiti,Not free,removal of politician,,4000
198,2004,Haiti,Not free,removal of politician,,15000
199,2004,Haiti,Not free,removal of politician,,10000s
200,2004,Haiti,Not free,"political behavior, process",,1000s
201,2004,Haiti,Not free,"political behavior, process",,100s
202,2004,Haiti,Not free,"political behavior, process",,10000
203,2004,Haiti,Not free,"political behavior, process",,1000s
204,2005,Haiti,Not free,"political behavior, process",,2000
205,2005,Haiti,Not free,"political behavior, process",,1000s
206,2006,Haiti,Partly free,police brutality,,100s
207,2006,Haiti,Partly free,"political behavior, process",,10000s
208,2006,Haiti,Partly free,"political behavior, process",,1000s
209,2006,Haiti,Partly free,"political behavior, process",,150
210,2007,Haiti,Partly free,"political behavior, process",,2000
211,2008,Haiti,Partly free,"price increases, tax policy",,50
212,2008,Haiti,Partly free,"price increases, tax policy",,10000s
213,2008,Haiti,Partly free,"price increases, tax policy",,100s
214,2010,Haiti,Partly free,"political behavior, process",,100s
215,2010,Haiti,Partly free,"political behavior, process",,1000s
216,2010,Haiti,Partly free,"political behavior, process",,100s
217,2010,Haiti,Partly free,"political behavior, process",,1000s
218,2011,Haiti,Partly free,removal of politician,,200
219,2011,Haiti,Partly free,"political behavior, process",,300
220,2012,Haiti,Partly free,"political behavior, process",,1000s
221,2012,Haiti,Partly free,"political behavior, process",,100s
222,2012,Haiti,Partly free,land farm issue,,1000
223,2013,Haiti,Partly free,"political behavior, process",,1000
224,2013,Haiti,Partly free,"political behavior, process",,1000s
225,2013,Haiti,Partly free,"price increases, tax policy",,1000s
226,2013,Haiti,Partly free,"political behavior, process",,100
227,2013,Haiti,Partly free,"price increases, tax policy","political behavior, process",1000s
228,2013,Haiti,Partly free,"political behavior, process",,1000s
229,2013,Haiti,Partly free,"political behavior, process","price increases, tax policy",600
230,2014,Haiti,Partly free,"political behavior, process",,100s
231,2014,Haiti,Partly free,"political behavior, process",,2000
232,2014,Haiti,Partly free,removal of politician,,1000s
233,2014,Haiti,Partly free,"political behavior, process",,1500+
234,2014,Haiti,Partly free,"political behavior, process",,1000s
235,2014,Haiti,Partly free,"political behavior, process",removal of politician,1000s
236,2014,Haiti,Partly free,"political behavior, process",removal of politician,1000s
237,2014,Haiti,Partly free,removal of politician,,50+
238,2014,Haiti,Partly free,removal of politician,,1000s
239,2015,Haiti,Partly free,"political behavior, process",removal of politician,1500
240,2015,Haiti,Partly free,"political behavior, process",,4000
241,2015,Haiti,Partly free,removal of politician,"price increases, tax policy",1000s
242,2015,Haiti,Partly free,"political behavior, process",,1000s
