Country,Protest Name,Start Date,Freedom Rating (Status) at Start Date,Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,
Bolivia,2019 election protests,Oct-19,Partly free,"Electoral irregularities in the 2019 presidential election, in which then president Evo Morales narrowly avoided a runoff contest in suspicious circumstances. After Morales resigned, his supporters led additional protests, alleging he was the victim of a coup.",Fears over electoral fraud and growing authoritarian tendencies.,">10,000","Opposition parties, labor groups, middle-class citizens, some indigenous groups, and (later) Morales’s supporters.",1 month,Morales resigned and was replaced by an interim government. Elections are scheduled to be held in May 2020.,
Bosnia and Herzegovina,“Justice for David” protests,Mar-18,Partly free,"Suspicious death of a young man named David Dragičević, triggering suspicions that the authorities in the Serb region of Bosnia are obstructing the investigation and protecting his killers.","Impunity, weak rule of law, and corruption.",">10,000",Bosnian Serbs.,9 months,No policy/leadership change in response to the protests.,
Brazil,Education cuts protests,May-19,Free,Cuts in education spending and postgraduate scholarships.,Economic challenges and government attacks on public education.,">100,000","Students, teachers, teachers’ unions.",3 months,No policy/leadership change in response to the protests.,
Brazil,Coronavirus protests,Mar-20,Free,"President Jair Bolsonaro’s poor and slow response to the coronavirus outbreak; and the death of George Floyd in the United States, sparking protests against local police brutality and racism.","Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",Thousands,General public.,Active,No policy/leadership change in response to the protests.,
Chile,Subway fare protests,Oct-19,Free,Increased price of metro fares.,"Severe inequality, low wages and pensions, poor service delivery, discontent with government, militarized response to the protests, and government leaders' corruption.",">1,000,000","Students, young people, professionals, civil society groups.",Active,"Subway fare hike was reversed, and legislators agreed to a 2020 referendum over whether to write a new constitution.",
Colombia,National strikes,Nov-19,Partly free,"Rumored pensions cuts, implementation challenges of the country's peace deal, and rising violence.","Disapproval of President Iván Duque Márquez's government, rising economic inequality, corruption, and militarized response to protests.",">1,000,000","Students, unions, leftist groups, and indigenous groups.",4 months,No policy/leadership change in response to the protests.,
Colombia,Coronavirus protests,Mar-20,Partly free,"President Ivan Duque’s undermining of local and regional authorities, citizens’ claims that they were not receiving the aid the government promised, and rising number of deaths among doctors and nurses.",Lack of an effective government response to the spread of the coronavirus.,Hundreds,General public.,Active,No policy/leadership change in response to the protests.,
Colombia,Prison protest,Mar-20,Partly free,"Unsanitary conditions in prisons, which could accelerate the spread of the coronavirus among inmates.","Unsanitary conditions in prisons, including overcrowding and lack of access to water.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,
Costa Rica,Tax reform protests,Sep-18,Free,Proposed tax reforms and salary cuts for government workers.,Impact of austerity measures on lower- and middle-class workers and growing inequality.,">1,000","Trade unions, public sector workers.",1 month,No policy/leadership change in response to the protests.,
Croatia,Teachers’ strike,Nov-19,Free,Government rejection of teachers’ unions’ salary demands.,Low compensation of education workers.,"20,000","Members of teachers’ unions, teachers, children.",1 month,Government reached a wage agreement with teachers.,
Czech Republic,“Million Moments for Democracy” protests,Apr-19,Free,"Corruption allegations against Prime Minister Andrej Babiš, and his appointment of a close ally as justice minister.","Government corruption, threats to judicial independence, and democratic backslide.","250,000",General public.,8 months,No policy/leadership change in response to the protests.,
Democratic Republic of the Congo,Election delay protests,Dec-17,Not free,Continued attempts by then president Joseph Kabila to stay in power beyond his term limit by delaying elections.,"Lack of transition of power, rising authoritarianism, and violent government response to protests.",">1,000","Religious leaders, civil society organizations.",6 months,"Kabila agreed to step down as president and hold new elections, which were suspected of being rigged. Despite leaving office, Kabila is seen as retaining significant influence in the new government led by President Félix Tshisekedi.",
Dominican Republic,Corruption protests,Jul-17,Partly free,Indictment of leading political officials and businessmen in a bribery scandal.,Bribery of politicians.,">10,000",Young people.,"1 year, 6 months",No policy/leadership change in response to the protests.,
Ecuador,Fuel subsidy protests,Oct-19,Partly free,Proposal of an austerity package that would increase fuel costs and cut salaries for public sector jobs.,Economic inequality and indigenous land rights.,">10,000","Indigenous groups, transportation unions, student groups, labor unions.",2 weeks,Government agreed to cancel austerity package.,
Ecuador,Coronavirus protests,May-20,Partly free,Announcement of the closure of some state-owned companies and cuts to salaries of public sector workers.,Economic impacts of the coronavirus pandemic response.,4000,"Trade unions, social welfare organizations.",1 day,No policy/leadership change in response to the protests.,
Egypt,Corruption protests,Sep-19,Not free,Revelations that President Abdel Fattah el-Sisi and his inner circle used public funds for personal gain.,Corruption and rising levels of poverty despite economic growth.,">1,000",Young people.,1 week,No policy/leadership change in response to the protests.,
Ethiopia,Political prisoner protests,Feb-18,Not free,"Citizens’ demands for the release of senior opposition leader Bekele Gerba from prison, after then prime minister Hailemariam Desalegn had reneged on his promise to release all political prisoners. Prior protests had begun in 2015, led by the Oromo and Amhara ethnic groups over ethnic discrimination.","Demands for increased political freedom, reforms, and ethnic representation in federal structures.",">1,000",Oromo and Amhara ethnic groups.,3 days,"Opposition figures were freed, Desalegn stepped down, and the government declared a state of emergency.",
France,Labor reform protests,Sep-17,Free,Changes to private sector labor laws that would reduce damages for fired workers and favor companies in negotiations with workers.,Perceptions of President Emmanuel Macron's administration as overly favorable to businesses.,"200,000","Trade unions, general public.",2 weeks,No policy/leadership change in response to the protests.,
France,Rail unions’ protests,Mar-18,Free,"Announcement of plans to reduce retirement benefits, reform unemployment insurance, and permit competition to the national rail service.",Threats to public services and public sector employees.,"200,000","Public sector workers, trade unions, students.",2 months,No policy/leadership change in response to the protests.,
France,“Yellow Vest” protests,Nov-18,Free,Proposal of a new fuel tax.,"Economically regressive policies, declining standard of living, growing inequality, and perception of government as overly favorable to the rich.","300,000","Initially mostly rural citizens, then later some urban working- and middle-class participants; some support from and participation by controversial far-right political groups.","1 year, 6 months","The government canceled the fuel tax increase, increased minimum wage and public spending, promised tax cuts, and initiated the Grand Débat to try to rebuild public trust in the government.",
France,Pension reform protests,Dec-19,Free,Government plans for pension reform.,Pension reform.,"800,000","Unions, public sector employees, Yellow Vest protesters, students, lawyers, rail workers.",4 months,"The government scrapped plans to raise the retirement age but maintained its plans to install other pension reforms, such as reducing the pension categories and redistributing benefits toward citizens with lower incomes.",
France,Black Lives Matter protests,Jun-20,Free,"Deaths of George Floyd in 2020 in the United States and Adama Traore in 2016 in France, both at the hands of the police.","Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.","20,000",General public.,Active,No policy/leadership change in response to the protests.,X
Gambia,“Three Years Is Enough” protests,Dec-19,Partly free,Concerns that President Adama Barrow would renege on his promise to rule for only three years in a provisional government before calling elections and not running.,"Lack of political reforms, democratic backslide, and lack of government transparency.","10,000",General public.,1 month,No policy/leadership change in response to the protests.,
Gaza Strip,“Great March of Return” protests,Mar-18,Not free,"Israeli economic blockade of the Gaza Strip, and Palestinian demand for the right to return to land in what is currently considered Israel.","Economic crisis caused by the blockade (including high unemployment along with electricity and food shortages), and Palestinians’ demand for the right to return.","40,000",Palestinians.,"1 year, 9 months",No policy/leadership change in response to the protests.,
Georgia,Russian interference protests,Jun-19,Partly free,"Russian lawmaker’s entry into the Georgian Parliament, during which he took the speaker’s seat.",Concerns that the ruling party is too friendly to Russia.,"10,000",General public.,1 week,"Then parliament speaker Irakli Kobakhidze resigned, and a proposal was made to change to an electoral system based on proportional representation.",
Georgia,Electoral reform protests,Oct-19,Partly free,Parliament's failure to pass electoral reform that would change the system to proportional representation.,"Democratic backslide, crackdown on political opponents, and discontent with the electoral system that advantages the ruling party.","20,000",General public.,1 week,No policy/leadership change in response to the protests.,
Germany,Far-right pact protests,Feb-20,Free,"Cooperation between the state branches of far-right party Alternative for Germany (AfD) and the center-right Christian Democratic Union and left-leaning Free Democratic Party (FDP) to oust the state premier of Thuringia, Bodo Ramelow, and replace him with Thomas Kemmerich, a member of the FDP. The pact was a visible violation of mainstream political norms that opposed cooperating with far-right parties.",State-level mainstream parties’ cooperation with far-right parties.,"18,000","Unions, antifascist groups, young people.",1 week,"The manner of Ramelow’s dismissal prompted outrage that led to the resignation of the ruling Christian Democratic Union’s chair, Annegret Kramp-Karrenbauer, Chancellor Angela Merkel’s handpicked successor. Kemmerich eventually stepped down from his position as state premier, after which Ramelow reclaimed the post.",
Germany,Coronavirus lockdown protests,Apr-20,Free,Perception that government measures to combat the coronavirus violate citizens’ rights and liberties.,View of government measures as overly restrictive.,Thousands,"Right- and left-wing extremists, conspiracy theorists, antivaccine groups.",1 month,No policy/leadership change in response to the protests.,
Germany,Police brutality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Germany.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000",General public.,Active,No policy/leadership change in response to the protests.,
Greece,Pension reform strike,Feb-20,Free,Twenty-four-hour strike in response to proposed pension reform.,"Citizens' fears of pension cuts, which could require them to retire later.","10,000",Public sector trade unions.,1 day,No policy/leadership change in response to the protests.,
Guinea,Term limit protests,Oct-19,Partly free,Suspicions that President Alpha Condé would seek a third term by amending the constitution.,Rising authoritarianism and repression of dissent and protests.,">100,000","Coalition of politicians, activists.",5 months,No policy/leadership change in response to the protests.,
Haiti,PetroCaribe protests,Jul-18,Partly free,"Revocation of fuel subsidies, and revelations of President Jovenel Moïse’s direct involvement in a corruption scandal.","Poverty, corruption, lack of economic development despite economic aid, and inadequate public services and infrastructure.",">10,000","Political opposition, young people, union workers, university professors, business associations, middle-class participants.","1 year, 5 months","In July 2018, the fuel hike was reversed, and then prime minister Jack Guy Lafontant resigned.",
Honduras,2017 election protests,Dec-17,Partly free,"Significant irregularities in the reporting of the results of the December 2017 presidential election, which President Juan Orlando Hernández won narrowly.","Electoral fraud and broader democratic erosion (in other words, subversion of term limits).",">10,000","Political opposition, religious institutions.",2 weeks,No policy/leadership change in response to the protests.,
Honduras,Privatization reform protests,Apr-19,Partly free,"Proposed reforms to the education and healthcare sectors, and revelations that President Juan Orlando Hernández received contributions from drug traffickers.","Government corruption, falling spending on public services, and widespread poverty despite economic growth.",">10,000","Teachers, medical professionals, unions, trade groups, farmers, taxi and truck drivers, police officers.",6 months,Hernández withdrew the proposed legislation.,
Hong Kong,Sentencing protest,Aug-17,Partly free,Sentencing of three leaders of the 2014 Umbrella Movement to six to eight months in prison on the charge of unlawful assembly.,"Restriction of civil liberties, autonomy from China, and questions over judicial independence.","22,000",General public.,1 day,No policy/leadership change in response to the protests.,
Hong Kong,Extradition bill protests,Apr-19,Partly free,Introduction of a bill that would permit extradition of criminal suspects from Hong Kong to China.,"Erosion of Hong Kong’s one country, two systems autonomy from China, and restriction of civil liberties.","2,000,000","General public, especially younger citizens and students.",Active,"The Hong Kong government retracted the extradition bill. It also stepped back from postponing local council elections, which pro-democracy groups won.",
Hungary,“Slave law” protests,Dec-18,Free,"Legislation that would increase the amount of overtime employers could demand from employees, and the creation of a parallel court system.",Democratic backslide under Prime Minister Viktor Orbán and structural economic challenges (such as support for the country’s aging population).,"100,000","Trade unions, civil society groups, opposition parties.",10 months,No policy/leadership change in response to the protests.,
India,Farmer protests,Apr-17,Free,"Challenges facing Indian farmers in different regions, including low crop prices, droughts, and mounting debt owed to banks or money lenders.","Discontent with government policies on farming, lack of government assistance, and stagnating incomes for farmers.","100,000",Farmers’ organizations.,"1 year, 8 months (sporadic)","There were a series of farmer protests in different states; in Maharashtra, the government promised to settle tribal farmers’ disputes over land ownership and to expand the loan-waiver scheme.",
India,Reservations protests,Aug-17,Free,"Demands by the Maratha community, which has been historically reliant on farming, for reserved quotas for government jobs and college admissions.","Rural economic downturn, rising unemployment, and view of reservations as critical for broadening economic opportunity by attaining higher education or securing better jobs.","800,000","Members of the Maratha community, young people, senior citizens.",1 year (sporadic),"In November 2018, Maharashtra’s state legislature passed a bill giving Marathas a 16 percent share of reserved slots for university admissions and government jobs under their status as a socially and economically backward class. After the reservation decision was challenged in the courts, the Bombay High Court ruled in June 2019 that the reservation quota should be lowered to 12 percent for university admissions and 13 percent for government jobs.",
India,SC/ST Act protests,Apr-18,Free,"Recent Supreme Court decision stating that the Scheduled Caste and Scheduled Tribe Act (SC/ST Act), which had served to protect lower castes and Dalits from discrimination and violence, had been “rampantly misused.”","History of caste-based discrimination and violence against Dalits despite constitutional and legal protections, and impunity for those who commit crimes against Dalits.",">10,000","Members of the lower castes, Dalits.",1 week,"After the protests began, the government asked the Supreme Court to review the case. In October 2019, the Supreme Court reversed its previous ruling.",
India,Citizenship law protests,Dec-19,Free,"Passage of a bill, the Citizen Amendment Act, amending India’s citizenship law. It offers conditional amnesty and a path to citizenship for non-Muslim religious minorities from three neighboring countries (Afghanistan, Bangladesh, and Pakistan) who did not migrate to the country legally. The bill contains no such exemptions for Muslim migrants, fueling criticism that it discriminates against Muslims.","Concern over rising Hindu nationalism under Prime Minister Narendra Modi, marginalization of Muslims, and opposition to migration (among citizens in northeastern India­).",">100,000","Students, young people (protesting discrimination against Muslims), citizens in northeastern India (protesting migration).",Active,No policy/leadership change in response to the protests.,
India,24-hour strike,Jan-20,Free,Publication of government statistics predicting slowing economic growth.,Opposition to Modi’s economic policies (including privatization).,">10,000","Trade unions, students.",1 day,No policy/leadership change in response to the protests.,
India,Migrant worker protest,Apr-20,Free,Migrant workers’ demand to receive back wages and to be permitted to return home to local villages.,Extension of existing lockdown restrictions to combat coronavirus.,Thousands,Migrant workers.,1 day,No policy/leadership change in response to the protests.,
Indonesia,West Papua protests,Aug-19,Partly free,Racist remarks made by military officers and nationalist militia directed against Papuan citizens.,"Discrimination against and marginalization of Papuan citizens, tensions between Papuans and the central government, desires for Papuan independence, and the effects of extractive industries in West Papua.",">10,000",Papuan citizens.,1 month,No policy/leadership change in response to the protests.,
Indonesia,Criminal code protests,Sep-19,Partly free,"Consideration of a new criminal code that could violate the rights of women, religious minorities, and LGBT groups, and passage of a bill to weaken the country’s anticorruption commission.",Weakening of anticorruption body and growing skepticism of President Joko Widodo’s commitment to reforms.,">10,000",University students.,1 week,The vote on a new criminal code was delayed.,
Iran,Budget protests,Dec-17,Not free,"Concerns over a weak economy and the high prices of basic goods, as well as the publication of a government budget that would slash cash subsidies and increase fuel prices.","Slow economic growth, lack of political freedoms and openness, and corruption.",">10,000","Younger, working-class citizens, some of whom are from towns and rural cities.",2 months,No policy/leadership change in response to the protests.,
Iran,Fuel hike protests,Nov-19,Not free,Increase in gasoline prices due to the growing budget deficit.,Economic challenges (growing budget deficit and high inflation) and discontent toward political leaders.,"200,000",Low-income and working-class families.,1 month,No policy/leadership change in response to the protests.,
Iran,Downed plane protests,Jan-20,Not free,"Admission by a military commander that Iran’s military had shot down a Ukraine International Airlines jet, after the government had denied doing so for days.",Lack of government transparency and accountability and popular discontent with political leadership.,">1,000",University students.,3 days,No policy/leadership change in response to the protests.,
Iraq,Iraq protests,Oct-19,Not free,"Demotion of a popular counterterrorism leader who was fighting government corruption, as well as the violent response to antigovernment protests in early October 2019.","Inadequate public services, government corruption, unemployment, discontent with the country’s sectarian political system, Iranian influence in Iraq, and government repression of protests.",">10,000","Young people (especially young men), university students.",Active,"Adel Abdul-Mahdi resigned as prime minister but remained as a caretaker until February 2020, when Mohammed Allawi was appointed prime minister. Allawi failed to assemble a government, however, and consequently never took office. He was replaced by Adnan al-Zurfi.",
Israel,Recommendations bill protests,Dec-17,Free,"Draft law that would end the existing practice of having police recommend to prosecutors whether to indict suspects, while also preventing police recommendations from being made public and penalizing leaks from investigations. Suspicions that the law's implications could affect an ongoing investigation into Prime Minister Benjamin Netanyahu.",Government corruption and lack of transparency.,"20,000",General public.,3 weeks,Netanyahu called for reforms to the draft bill to exclude him from its purview.,
Israel,Nation-state law protests,Aug-18,Free,Passage of a nation-state law that would affirm Israel’s Jewish character and potentially marginalize non-Jewish citizens.,Anti-Arab discrimination.,"30,000","Jews, Palestinians.",3 weeks,"No policy/leadership change in response to the protests. The High Court agreed to hear cases against the law, but hearings have been repeatedly postponed.",
Israel,Israel coronavirus protests,Mar-20,Free,"Prime Minister Benjamin Netanyahu’s expansion of authority during the coronavirus outbreak, such as using phone surveillance technology, shutting down the court system, adjourning parliament, and planning to annex parts of the West Bank.",Perceptions of Netanyahu’s actions as antidemocratic or authoritarian.,2000,General public.,Active,No policy/leadership change in response to the protests.,
Italy,Union-led economic protests,Feb-19,Free,Announced investment and pension reform that unions viewed as inadequate to combat economic stagnation and high unemployment.,"Economic stagnation, lack of employment opportunities, and government's failure to address challenges such as corruption, climate change, and sexism.",">100,000",Trade unions.,2 months,No policy/leadership change in response to the protests.,
Italy,Prison protest,Mar-20,Free,"Overcrowding in prisons during the coronavirus outbreak. Government decision to suspend or limit family visits to more than two dozen prisons for the next two weeks, due to coronavirus concerns.","Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,
Japan,Police brutality protests,June-20,Free,"The death of George Floyd in the United States, sparking protests against local police brutality and racism in Japan, most recently manifesting in police violence against a Kurdish man.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000",General public.,Active,No policy/leadership change in response to the protests.,
Jordan,Tax law protests,May-18,Partly free,Tax hikes and price increases for electricity and fuel.,"Government corruption, lack of political rights, and a stagnant economy.",">10,000","Youth movement, civil society groups, professional associations, labor unions.",1 week,"Then prime minister Hani Mulki stepped down, and his successor, Omar Razzaz, rescinded the proposed changes.",
Kazakhstan,Election protests,Jun-19,Not free,Recent presidential election results that were seen as undemocratic/illegitimate.,Undemocratic elections and lack of meaningful political choice and change.,">1,000",General public.,5 days,No policy/leadership change in response to the protests.,
Lebanon,WhatsApp tax protests,Oct-19,Partly free,"Introduction of taxes on tobacco, petrol, and WhatsApp voice calls.","High youth unemployment and a currency crisis, income inequality, poor service delivery, and political nepotism and corruption due to sectarianism.","1,000,000",Different religious sects.,Active,"Then prime minister Saad Hariri and his entire government resigned. Protests have continued despite the formation of a new government led by his successor, Hassan Diab, as demonstrators believe the new government does not represent a significant change.",
Lebanon,Prison protest,Mar-20,Partly free,Overcrowding in prisons during the coronavirus outbreak.,Overcrowding in Lebanese prisons.,Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,
Liberia,Economic protests,Jun-19,Partly free,Protest organized by the opposition to highlight rising prices and allegations of corruption.,"Stagnant economy, high levels of poverty and inflation, and corruption.",">1,000","Opposition parties, civil society activists.",7 months (sporadic),The government called for a roundtable to discuss how to revive the economy.,
Madagascar,Electoral law protests,Apr-18,Partly free,"Passage of new electoral laws that opposition candidates saw as preventing them from running for elections, with additional unfavorable provisions on campaign financing and media access.",Obstacles to opposition candidates’ participation.,">1,000",Opposition candidates.,1 month,"In May 2018, the court ruled part of the electoral law to be unconstitutional, specifically provisions on the revision of electoral lists and the duration of campaigns. Demonstrations continued after this initial ruling, and weeks after the first decision, the court ordered the dissolution of the government and appointment of a new prime minister.",
Malawi,Election fraud protests,May-19,Partly free,"Suspicions that the May 2019 election, which President Peter Mutharika won by only 159,000 votes, was rigged.",Election fraud and bribery.,"100,000",Opposition party leaders and their supporters.,Active,"No policy/leadership change in response to the protests. The opposition challenged the election results in the court for the first time in Malawi’s history. Despite attempts by Mutharika’s supporters to bribe judges on the Constitutional Court, the court nullified the results of the presidential elections, citing irregularities. Electoral commissioners have refused to step down.",
Maldives,Maldives protests,Feb-18,Partly free,"Order by the Supreme Court for the government to release opposition leaders from prison, which the government disobeyed. Security forces later arrested two out of five Supreme Court justices, blocked off parliament, and arrested several opposition leaders.",Imprisonment of political opponents and attacks on judicial independence.,">1,000",General public.,1 month,No policy/leadership change in response to the protests.,
Mali,Ethnic violence protest,Apr-19,Partly free,Killing of 160 villagers in an interethnic conflict.,Failure of government to quell/respond to interethnic violence.,"12,500","Muslim religious leaders, representatives of the Fulani herding community, opposition parties, civil society groups.",1 day,Then prime minister Soumeylou Boubèye Maïga and his entire government stepped down.,
Mali,Movement of June 5,Jun-20,Partly free,Worsening of the security situation in Mali’s northern and central regions.,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",Tens of thousands,General public.,Active,No policy or leadership change in response to the protests.,
Malta,“Mafia state” protests,Nov-19,Free,Developments in the investigation of the 2017 death of a journalist.,"Then prime minister Joseph Muscat’s influence over law enforcement and judicial systems, and corruption among political leaders.","4,000",Civil society.,2 months,Muscat resigned.,
Mexico,Femicide protests,Mar-20,Partly free,"Recent murder of a twenty-five-year-old woman and sevent-year-old girl. Overall increase in gender violence and femicide, and lack of an effective government response.","Violence against women, and lack of a government focus on addressing gender-based violence.",">10,000","Women, feminist organizations.",3 weeks,No policy or leadership change in response to the protests.,
Moldova,Corruption protests,Jun-18,Partly free,Supreme Court's decision to annul the results of the mayoral election in the capital.,Lack of judicial independence.,"20,000",Opposition parties and their supporters.,2 months,No policy/leadership change in response to the protests.,
Mongolia,Corruption protests,Dec-18,Free,Corruption allegations against the speaker of parliament and other political figures.,"Corruption allegations against political elites, falling foreign investment and currency values, and democratic backslide.","20,000",General public.,6 months,"The speaker of parliament, Enkhbold Miyegombo, was removed from office.",
Montenegro,Corruption protests,Mar-19,Partly free,Allegations of corruption against President Milo Đukanović.,Democratic backslide and corruption.,"10,000","Civic activists, students, academics, journalists.",2 months,No policy/leadership change in response to the protests.,
Montenegro,“Religion law” protests,Dec-19,Partly free,"Passage of a law that would mandate the creation of a register for all religious buildings and sites owned by the independent kingdom of Montenegro before 1918, when Montenegro became part of the Kingdom of Serbs, Croats and Slovenes, which was later renamed Yugoslavia. Any faith group that could not provide evidence that they owned the property could lose rights to the property.",Concerns among supporters of the Serbian Orthodox Church that the government is attempting to seize the church’s assets and distance Montenegro from Serbia.,"60,000","Serbian Orthodox Church clergy and their supporters, pro-Russian and pro-Serbian political movements.",4 months,No policy/leadership change in response to the protests.,
Morocco,Teacher protests,Feb-19,Partly free,"Anniversary of the Arab Spring uprising. Discontent over fixed-term contracts for teachers, limited opportunities for low-ranking teachers, and temporary government contracts that provide limited healthcare or pension benefits.",Inadequate compensation and benefits for teachers.,"15,000","Teachers, teachers’ unions.",2 months,"The Moroccan government and public unions made a deal to increase salaries for public sector employees and establish a new minimum wage for national education sector employees. However, contracted teachers did not receive benefits.",
Nepal,“Guthi bill” protests,Jun-19,Partly free,"Proposal of a bill that would affect a historical trust system (the guthi system) that helps maintain temples and other traditional public spaces, while helping organize public events. The bill would have established an authority governing all guthis and would have ended the current system of ownership by communities or families.",Concerns for Sanatan Hindu traditions.,"50,000","Trustees, cultural experts, activists, civil society, members of the Newar community.",10 days,The government withdrew the guthi bill.,
New Zealand,Racial equality protests,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in New Zealand.",Systemic racism and police violence against indigenous people.,">10,000",General public.,1 week,The police commissioner announced that the New Zealand Police would do away with its armed response teams.,
Nicaragua,Social security reform protests,Apr-18,Partly free,Proposal of reforms to the social security system.,Violent repression of initial protests and broader democratic backslide.,">100,000","University students, business sector, general public.",4 months,"President Daniel Ortega revoked the changes, but protests did not stop. Police violently repressed the protests.",
Pakistan,Islamabad sit-in protests,Oct-19,Partly free,Antigovernment march from Karachi to Islamabad to hold a sit-in on the capital’s main highway.,"Economic crisis, rising inflation, and suspicion that the 2018 election was rigged.","20,000","Conservative Islamist party, teachers and students from religious schools.",2 weeks,No policy/leadership change in response to the protests.,
Peru,Fujimori pardon protests,Dec-17,Free,"Then president Pedro Pablo Kuczynski’s pardon of former president Alberto Fujimori, who was convicted for corruption and human rights violations.","Controversy over Fujimori’s authoritarian legacy, and concerns that Kuczynski had pardoned him as part of a deal to survive an impeachment effort over Kuczynski’s connections to the Brazilian construction company Odebrecht.",60000,General public.,3 days,No policy/leadership change in response to the protests.,
Poland,Judicial reform protests,Jul-18,Free,Signing of a law that forced many Supreme Court justices into early retirement and created a judicial disciplinary chamber.,Erosion of judicial independence and democratic backslide.,">10,000",General public.,3 weeks,No policy/leadership change in response to the protests.,
Poland,“Muzzle law” protests,Dec-19,Free,Draft law that would permit government sanctions against judges who question the legitimacy of the ruling party’s judicial reforms and that would prohibit judges from engaging in any political activity.,Erosion of judicial independence.,"30,000","Polish judges and lawyers, judges from across Europe.",1 month,No policy/leadership change in response to the protests.,
Portugal,Police brutality protest,Jun-20,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Portugal.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">10,000",General public.,1 day,No policy/leadership change in response to the protests.,
