Movie_Id,Year,Name,time,type,rate,votes
104,1965.0,The Great Race,160 min,movie,7.2,"15,425"
105,2002.0,Obsessed,90 min,movie,5.6,799
106,2004.0,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,160 min,movie,9.0,110
107,2000.0,Magnolia: Bonus Material,,,,
108,2004.0,Spartan,106 min,movie,6.5,"28,734"
109,1996.0,No Way Back,,,,
110,1989.0,Scandal,106 min,movie,6.5,"4,473"
111,2003.0,Duplex (Widescreen),,,,
112,1993.0,The Eye of Vichy,,,,
113,2000.0,Bruce Lee: A Warrior's Journey,100 min,movie,8.1,"2,681"
114,1989.0,Dominion Tank Police Part 1 & 2,,,,
115,1973.0,Lord Peter Wimsey: Murder Must Advertise,,,,
116,2004.0,Bear Cub,99 min,movie,7.0,"3,457"
117,1957.0,Silk Stockings,117 min,movie,6.8,"3,370"
118,1985.0,Rambo: First Blood Part II,96 min,movie,6.5,"147,640"
119,1999.0,Travel the World by Train: Africa,60 min,movie,,
120,2004.0,Plain Dirty,,,,
121,2003.0,Beyonce: Live at Wembley,,,,
122,2002.0,Cube 2: Hypercube,,,,
123,2000.0,Chain of Fools,98 min,movie,6.1,"3,819"
124,2000.0,Cold Blooded,,,,
125,1981.0,Nighthawks,99 min,movie,6.4,"16,220"
126,2003.0,Vampire Effect (aka Twins Effect),,,,
127,1987.0,Fatal Beauty,104 min,movie,5.4,"3,114"
128,1985.0,Mr. Vampire,96 min,movie,7.5,"3,193"
129,2003.0,Darkwolf,94 min,movie,2.8,"1,520"
130,1999.0,Drowning on Dry Land,88 min,movie,5.4,145
131,2002.0,Arachnid,,,,
132,1981.0,Lucio Fulci: The Beyond,,,,
133,2003.0,Viva La Bam: Season 1,,,,
134,1996.0,Spirit Lost,90 min,movie,4.7,112
135,1998.0,GTO: Great Teacher Onizuka: Set 2,,,,
136,1927.0,Cat and the Canary,108 min,movie,7.2,"2,235"
137,1998.0,Naked Lies,93 min,movie,3.2,301
138,1995.0,Star Trek: Voyager: Season 1,,,,
139,2001.0,Allergies: A Natural Approach,,,,
140,1993.0,Lost in the Wild,,,,
141,2004.0,Goddess of Mercy,,,,
142,2000.0,The Tricky Master,,,,
143,1997.0,The Game,129 min,movie,7.8,"330,089"
144,2000.0,Deepak Chopra: The Way of the Wizard & Alchemy,,,,
145,1978.0,Get Out Your Handkerchiefs,108 min,movie,6.9,"3,275"
146,1988.0,Cannibal Women in the Avocado Jungle of Death,,,,
147,1992.0,Where Sleeping Dogs Lie,,,,
148,2001.0,Sweet November,119 min,movie,6.7,"82,857"
149,2005.0,The Edward R. Murrow Collection,,,,
150,2001.0,Firetrap,97 min,movie,5.2,696
151,2005.0,Sleepover Nightmare,81 min,movie,3.5,282
152,1995.0,A Little Princess,97 min,movie,7.7,"30,926"
153,2002.0,MTV Yoga,,,,
154,2000.0,Demon Warrior Koji,,,,
155,1975.0,The Strongest Man in the World,92 min,movie,6.1,"2,531"
156,1992.0,Husbands and Wives,108 min,movie,7.5,"26,134"
157,2004.0,Laird: White Knuckle Extreme,,,,
158,2004.0,A Killer Within,110 min,movie,5.0,695
159,1971.0,Gentlemen of Fortune,88 min,movie,8.5,"9,944"
160,2000.0,Gormenghast,232 min,series,7.4,"2,763"
161,1939.0,Ninotchka,110 min,movie,7.9,"17,730"
162,1968.0,John Cleese on How to Irritate People,,,,
163,2002.0,MTV: Making the Band 2: Best of Season 1,,,,
164,2003.0,One Last Dance,101 min,movie,5.5,"1,348"
165,1982.0,Richard Pryor: Live on the Sunset Strip,82 min,movie,7.7,"3,592"
166,1980.0,Fame,134 min,movie,6.6,"19,268"
167,2004.0,The Chorus,97 min,movie,7.9,"55,075"
168,1983.0,Smokey and the Bandit Part 3,85 min,movie,3.5,"7,765"
169,2004.0,Cartoon Network Halloween: 9 Creepy Cartoon Capers,,,,
170,1972.0,Tomorrow,103 min,movie,7.5,"1,033"
171,1957.0,Funny Face,103 min,movie,7.0,"25,242"
172,2003.0,Jack,120 min,movie,5.7,15
173,1968.0,The Devil's Brigade,130 min,movie,6.8,"4,719"
174,1968.0,Adam-12: Season 1,,,,
175,1992.0,Reservoir Dogs,99 min,movie,8.3,"878,211"
176,2004.0,The History Channel Presents: Troy: Unearthing the Legend,,,,
177,2002.0,Pressure,90 min,movie,5.9,913
178,1996.0,Regular Guys,102 min,movie,6.8,"1,367"
179,2003.0,Bollywood Bound,,,,
180,2002.0,Scratch,5 min,movie,,
181,2004.0,The Last Shot,93 min,movie,5.6,"4,042"
182,2001.0,Moby: Play,166 min,movie,8.1,240
183,2005.0,IFilm: Deranged,,,,
184,2004.0,Billy Blanks: Tae Bo: Cardio Circuit 1,,,,
185,1985.0,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,,,,
186,1950.0,Panic in the Streets,96 min,movie,7.3,"6,675"
187,2002.0,Death to Smoochy,109 min,movie,6.4,"37,944"
188,2005.0,Dead Birds,27 min,movie,6.5,21
189,1982.0,Airplane II: The Sequel,85 min,movie,6.2,"46,946"
190,1989.0,Blood and Sand,113 min,movie,4.7,916
191,2003.0,X2: X-Men United,134 min,movie,7.4,"498,172"
192,2003.0,The SoulTaker,,,,
193,2005.0,Marilyn Manson: Fear of a Satanic Planet,86 min,movie,6.2,9
194,1996.0,Arliss: The Best of Arliss,,,,
195,2004.0,Chasing Freedom,120 min,movie,6.7,362
196,1992.0,Peter Tosh: Stepping Razor: Red X,,,,
197,2004.0,Taking Lives,103 min,movie,6.2,"77,511"
198,1997.0,Gupt,173 min,movie,7.4,"4,076"
199,1978.0,The Deer Hunter,183 min,movie,8.1,"296,382"
200,1964.0,The Fall of the Roman Empire,188 min,movie,6.7,"7,768"
201,2001.0,Home Movie,66 min,movie,7.1,697
202,2001.0,Ruby's Bucket of Blood,95 min,movie,5.7,276
203,1997.0,Sports Illustrated Swimsuit Edition: 1997,,,,
204,2002.0,Venus Boyz,102 min,movie,4.9,398
205,2004.0,Troy: Bonus Material,,,,
206,2004.0,Unconstitutional: The War on Our Civil Liberties,,,,
207,2001.0,Denise Austin: Ultimate Fat Burner,,,,
208,1947.0,The Three Stooges: Sing a Song of Six Pants,,,,
209,1996.0,Star Trek: Deep Space Nine: Season 5,,,,
210,2001.0,Onmyoji,112 min,movie,6.3,"1,215"
211,2004.0,The Agronomist,,,,
212,1982.0,Querelle,108 min,movie,6.8,"5,357"
213,2001.0,Dinner Rush,,,,
214,2002.0,Read-Along: Beauty and the Beast,,,,
215,1998.0,That '70s Show: Season 1,,,,
216,2000.0,Impostor,,,,
217,1988.0,Cherry 2000,,,,
218,1983.0,Triumph: Live at the US Festival,,,,
219,1995.0,Neon Bible,91 min,movie,6.2,718
220,1983.0,Winston Churchill: The Wilderness Years,,,,
221,2005.0,Voyage to the Planets and Beyond,,,,
222,1998.0,Yellow,13 min,movie,6.5,33
223,2003.0,Chappelle's Show: Season 1,,,,
224,1999.0,Midsomer Murders: Blood Will Out,,,,
225,2004.0,The Cookout,97 min,movie,3.7,"2,661"
226,1996.0,Henry: Portrait of a Serial Killer 2,,,,
227,2001.0,The Carol Burnett Show: Show Stoppers,,,,
228,1979.0,Butch and Sundance: The Early Days,115 min,movie,5.7,"1,187"
229,2003.0,Peter Gabriel: Growing Up Live,133 min,movie,8.7,343
230,1987.0,Unsolved Mysteries: Psychics,,,,
231,2002.0,Marooned in Iraq,108 min,movie,7.4,"1,182"
232,1989.0,Gross Anatomy,109 min,movie,6.2,"3,424"
233,1971.0,Chato's Land,,,,
234,1921.0,Animation Legend: Winsor McCay,,,,
235,1996.0,Unhook the Stars,103 min,movie,6.5,"1,990"
236,1998.0,Cartoon Crazys Sci-Fi,,,,
237,1918.0,Broken Blossoms,,,,
238,1976.0,Led Zeppelin: The Song Remains the Same,,,,
239,2004.0,Winnie the Pooh: Springtime with Roo,,,,
240,1942.0,Woman of the Year,114 min,movie,7.2,"8,611"
241,1959.0,North by Northwest,136 min,movie,8.3,"284,137"
242,1995.0,Neon Genesis Evangelion: The End of Evangelion,,,,
243,1962.0,Pressure Point,91 min,movie,7.1,"1,156"
244,2004.0,Stellvia,,,,
245,2002.0,Road Dogz,91 min,movie,5.7,235
246,1968.0,The Boston Strangler,116 min,movie,7.1,"7,802"
247,1994.0,Oleanna,89 min,movie,6.7,"2,823"
248,2001.0,Michael Moore's The Awful Truth: Season 2,,,,
249,1958.0,The Hunters,108 min,movie,6.5,"1,216"
250,1966.0,Cast a Giant Shadow,146 min,movie,6.3,"2,634"
251,2000.0,Midsomer Murders: Strangler's Wood,,,,
252,2002.0,Stuart Little 2,77 min,movie,5.4,"47,854"
253,1935.0,A Night at the Opera,96 min,movie,7.9,"29,530"
254,2003.0,Westender,105 min,movie,4.6,282
255,2001.0,The Hunchback of Notre Dame II,,,,
256,2000.0,Ghost Dog: The Way of the Samurai,,,,
257,1973.0,Charlotte's Web,94 min,movie,6.9,"16,136"
258,1999.0,Mann,160 min,movie,6.2,"4,554"
259,2004.0,Animal,90 min,movie,6.4,8
260,1967.0,Marat / Sade,116 min,movie,7.6,"2,107"
261,1948.0,The Big Clock,95 min,movie,7.7,"7,235"
262,1974.0,Herbie Rides Again,88 min,movie,5.7,"7,035"
263,2001.0,Dragon Ball: Tournament Saga,,,,
264,2002.0,Angelina Ballerina: Lights,,,,
265,2002.0,The Jeff Corwin Experience: Costa Rica and the Amazon,,,,
266,2000.0,Saudade Do Futuro,92 min,movie,6.6,38
267,1994.0,Touched by an Angel: Season 1,,,,
268,1980.0,The Final Countdown,103 min,movie,6.7,"20,293"
269,1989.0,Parenthood,124 min,movie,7.0,"42,884"
270,2001.0,Sex and the City: Season 4,,,,
271,1943.0,Saludos Amigos,,,,
272,1973.0,Female Yakuza Tale,,,,
273,2004.0,Taxi,97 min,movie,4.5,"39,019"
274,2002.0,Crazy as Hell,113 min,movie,5.9,942
275,2002.0,Evelyn,94 min,movie,7.0,"6,165"
276,1998.0,Cold Harvest,,,,
277,2003.0,Enigma: MCMXC A.D,,,,
278,1990.0,100 Days Before the Command,,,,
279,1984.0,Micki and Maude,,,,
280,1998.0,Sarah Brightman: In Concert,75 min,movie,7.9,85
281,1993.0,The Legend,100 min,movie,7.2,"7,137"
282,2003.0,Blue Seed: Beyond,,,,
283,1996.0,If These Walls Could Talk,97 min,movie,7.0,"3,850"
284,2005.0,Sasquatch Hunters,88 min,movie,3.4,427
285,1997.0,The Devil's Own,111 min,movie,6.2,"56,342"
286,1966.0,Thunderbirds Are Go,93 min,movie,6.5,"1,931"
287,1994.0,Luther Vandross: Always and Forever: An Evening of Songs,,,,
288,2004.0,Saturday Night Live: The Best of Chris Kattan,,,,
289,1998.0,The Avengers,89 min,movie,3.8,"39,906"
290,2004.0,Harold and Kumar Go to White Castle,,,,
291,2000.0,Chained Heat 3: Hell Mountain,,,,
292,2005.0,Saturday Night Live: The Best of Gilda Radner,92 min,movie,7.5,97
293,2003.0,Lennon Legend: The Very Best of John Lennon,100 min,movie,7.9,136
294,2002.0,Oasis,133 min,movie,7.9,"7,612"
295,1995.0,Ace Ventura: When Nature Calls,90 min,movie,6.4,"195,499"
296,2000.0,In His Life: The John Lennon Story,85 min,movie,6.0,550
297,2003.0,The Hebrew Hammer,85 min,movie,6.1,"4,554"
298,2002.0,Crunch: Pick Your Spot Pilates,,,,
299,2001.0,Bridget Jones's Diary,97 min,movie,6.7,"216,856"
300,1997.0,Option Zero,,,,
301,2003.0,Hard Ground,93 min,movie,5.8,365
302,2001.0,The Isle,,,,
303,1959.0,Les Liaisons Dangereuses,106 min,movie,6.9,"1,123"
304,1997.0,King of the Hill: Season 1,,,,
305,1996.0,Jack,113 min,movie,5.8,"54,474"
306,2005.0,Sesame Street: Sing Yourself Silly!,,,,
307,2002.0,Godsmack: Smack This!,75 min,movie,6.2,12
308,1974.0,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,,,,
309,1975.0,The Day of the Locust,144 min,movie,7.1,"4,823"
310,2000.0,Leila,,,,
311,1994.0,Ed Wood,127 min,movie,7.8,"160,637"
312,2000.0,High Fidelity,113 min,movie,7.5,"163,542"
313,2000.0,Pay It Forward,123 min,movie,7.2,"109,812"
314,1985.0,Saturday Night Live: The Best of Jon Lovitz,,,,
315,1964.0,Combat! Season 3: Operation 2,,,,
316,1999.0,Futurama: Monster Robot Maniac Fun Collection,,,,
317,1997.0,Mandela and de Klerk,114 min,movie,7.1,506
318,1994.0,Beyond Suspicion,98 min,movie,6.0,89
319,1987.0,Straight to Hell,86 min,movie,5.8,"2,096"
320,1997.0,Eat Your Heart Out,94 min,movie,5.7,282
321,2004.0,Ju-Rei: The Uncanny,76 min,movie,5.3,396
322,1974.0,Flesh Gordon,78 min,movie,4.7,"3,742"
323,1999.0,Modern Vampires,,,,
324,1994.0,Mother's Boys,,,,
325,2004.0,Ghosts of Rwanda: Frontline,,,,
326,1937.0,The Plainsman,,,,
327,1997.0,Storefront Hitchcock,,,,
328,2002.0,Deftones: Live in Hawaii,,,,
329,1999.0,Dogma,130 min,movie,7.3,"203,453"
330,1998.0,Wild Things,108 min,movie,6.5,"103,976"
331,1997.0,Chasing Amy,113 min,movie,7.2,"129,304"
332,2002.0,They Crawl,,,,
333,2003.0,Mail Call: The Best of Season 2,,,,
334,2005.0,The Pacifier,95 min,movie,5.6,"84,551"
335,1981.0,Fear No Evil,99 min,movie,4.5,"1,063"
336,1978.0,The Driver,91 min,movie,7.2,"13,202"
337,1983.0,Star 80,103 min,movie,6.7,"5,520"
338,1942.0,The Three Stooges: Three Smart Saps,,,,
339,1968.0,Rolling Stones: Rock and Roll Circus,,,,
340,1998.0,Midnight: 2000 Seen By...,,,,
341,2004.0,Tremors 4: The Legend Begins,101 min,movie,5.3,"11,123"
342,2001.0,Noir,25 min,series,7.2,"1,790"
343,2000.0,French and Saunders: Live,,,,
344,1967.0,The Taming of the Shrew,122 min,movie,7.2,"7,014"
345,1998.0,Star Trek: Voyager: Season 5,,,,
346,2005.0,Up and Down,,,,
347,1989.0,Iceman Cometh,114 min,movie,6.6,669
348,1988.0,The Last Temptation of Christ,164 min,movie,7.6,"49,143"
349,1978.0,The Swarm,116 min,movie,4.5,"6,457"
350,1993.0,Dr. Quinn,60 min,series,6.7,"9,535"
351,1969.0,Guns of the Magnificent Seven,105 min,movie,5.7,"2,239"
352,1997.0,Pick a Card,,,,
353,2002.0,Life or Something Like It,103 min,movie,5.8,"22,541"
354,1981.0,Sadomania,,,,
355,1973.0,Sinful Nuns of St. Valentine,,,,
356,2005.0,Look at Me,,movie,6.7,6
357,2003.0,House of Sand and Fog,126 min,movie,7.5,"63,402"
358,1979.0,The Onion Field,122 min,movie,6.8,"4,335"
359,2003.0,Absolutely Fabulous: Series 5,,,,
360,1999.0,Lies,112 min,movie,5.6,"1,274"
361,2004.0,The Phantom of the Opera: Special Edition,,,,
362,2000.0,The Flintstones in Viva Rock Vegas,90 min,movie,3.6,"20,546"
363,2002.0,Stark Raving Mad,101 min,movie,6.4,"4,678"
364,2004.0,Billy Blanks: Tae Bo: Contact 2,,,,
365,1989.0,R.E.M.: Tourfilm,,,,
366,2004.0,Still,110 min,movie,7.3,311
367,2003.0,Spun,,,,
368,1986.0,The Best of Designing Women,,,,
369,2000.0,Playing Mona Lisa,97 min,movie,5.9,766
370,1918.0,Chaplin,,,,
371,1966.0,The Trouble with Angels,112 min,movie,7.4,"4,141"
372,1998.0,Jeans,175 min,movie,6.4,"2,901"
373,2000.0,Third World Cop,,,,
374,1976.0,The Little Girl Who Lives Down the Lane,91 min,movie,7.1,"11,926"
375,2003.0,Nine Dead Gay Guys,,,,
376,2001.0,Genesis: The Way We Walk: Live in Concert,,,,
377,1979.0,Dick Francis: The Racing Game,,,,
378,2003.0,Party Monster,98 min,movie,6.3,"14,588"
379,1996.0,Crash Dive,90 min,movie,4.3,763
380,1992.0,Live Wire,85 min,movie,5.6,"3,106"
381,1991.0,Out for Justice,91 min,movie,6.1,"20,520"
382,2004.0,Buried in the Sand: The Deception of America,90 min,movie,5.1,56
383,2001.0,Hit Team,94 min,movie,5.7,209
384,1986.0,Crossroads,99 min,movie,7.1,"13,561"
385,2002.0,The Santa Clause 2,104 min,movie,5.6,"47,866"
386,1994.0,Princess Caraboo,97 min,movie,6.0,"2,331"
387,1984.0,Bizet's Carmen,,,,
388,1990.0,Body Chemistry,84 min,movie,4.3,363
389,2002.0,Steal,83 min,movie,5.5,"5,649"
390,1981.0,The Fan,95 min,movie,5.7,"1,783"
391,1967.0,The Monkees: Season 2,,,,
392,1993.0,Danielle Steel's Heartbeat,,,,
393,1998.0,The Replacement Killers,87 min,movie,6.2,"26,184"
394,1916.0,20,,movie,,
395,1935.0,Captain Blood,119 min,movie,7.7,"12,210"
396,2001.0,Arjuna: Complete Collection,,,,
397,1946.0,A Night in Casablanca,85 min,movie,7.0,"5,680"
398,1976.0,In the Realm of the Senses,109 min,movie,6.6,"17,167"
399,2001.0,Fangs,,movie,5.4,42
400,1970.0,Rio Lobo,114 min,movie,6.8,"9,904"
401,1989.0,Halloween 5: The Revenge of Michael Myers,96 min,movie,5.2,"32,866"
402,1999.0,Pan Tadeusz,147 min,movie,6.0,"2,839"
403,2000.0,Substitute 4: Failure is Not an Option,,,,
404,2001.0,The Shaft,111 min,movie,4.5,"3,941"
405,1987.0,Wings of Desire,128 min,movie,8.0,"60,903"
406,2005.0,Hostage,113 min,movie,6.6,"104,690"
407,1972.0,The Abductors,90 min,movie,5.0,369
408,1990.0,Nightbreed,102 min,movie,6.6,"18,634"
409,1966.0,Godzilla vs. The Sea Monster,,,,
410,1998.0,Frank Lloyd Wright,146 min,movie,7.8,597
411,1999.0,Vendetta,117 min,movie,6.1,949
412,1999.0,Jay Jay the Jet Plane: Adventures in Learning,,,,
413,2002.0,Igby Goes Down,98 min,movie,6.9,"31,449"
414,1999.0,Girl,127 min,movie,7.3,"156,317"
415,2002.0,Reign in Darkness,90 min,movie,2.5,357
416,2003.0,Elephant,81 min,movie,7.2,"83,195"
417,1986.0,Transformers: Season 3: Part 1,,,,
418,2004.0,The Deal,10 min,movie,4.7,6
419,2005.0,George Lopez: Why You Crying?,,,,
420,1999.0,Saturday Night Live: The Best of Dana Carvey,,,,
421,2003.0,Agatha Christie's Poirot: Sad Cypress,,,,
422,1964.0,The Unsinkable Molly Brown,128 min,movie,6.8,"3,243"
423,1963.0,My Favorite Martian #1,,,,
424,1998.0,Happiness,134 min,movie,7.7,"64,414"
425,2000.0,The 10th Kingdom,417 min,series,8.3,"17,071"
426,2001.0,Recess: School's Out,82 min,movie,6.6,"9,032"
427,1990.0,Graveyard Shift,89 min,movie,4.9,"9,352"
428,2004.0,Barney: Barney's Colorful World: Live,,,,
429,1997.0,Zeus and Roxanne,98 min,movie,5.3,"2,766"
430,2002.0,Chobits,30 min,series,7.4,"3,983"
431,2002.0,Millennium Actress,,,,
432,1996.0,Les Miserables in Concert,,,,
433,1993.0,Untamed Heart,102 min,movie,6.8,"12,280"
434,2004.0,Extreme Engineering: Tokyo's Sky City,,,,
435,1996.0,Love Can Seriously Damage Your Health,117 min,movie,6.7,"1,493"
436,1985.0,Girls Just Want to Have Fun,90 min,movie,6.0,"9,370"
437,2005.0,Beyblade: Fierce Battle,,,,
438,1997.0,Bean: The Movie,,,,
439,1961.0,Town Without Pity,105 min,movie,7.2,"1,530"
440,2003.0,Just 4 Kicks,,,,
441,1968.0,Dark Shadows: Vol. 9,,,,
442,1988.0,Mississippi Burning,128 min,movie,7.8,"82,884"
443,2002.0,Rabbit-Proof Fence,94 min,movie,7.4,"26,640"
444,2001.0,The Inner Tour,97 min,movie,7.6,110
445,1996.0,Michael Collins,133 min,movie,7.2,"28,503"
446,1995.0,The Underneath,99 min,movie,6.1,"3,029"
447,1986.0,The Making of Fanny and Alexander,,,,
448,2001.0,Oswald: Welcome to the Big City!,,,,
449,2003.0,Jimmy Buffett: MiniMatinee #1,,,,
450,2000.0,Isaac Stern: Life's Virtuoso,,,,
451,1993.0,Batman the Animated Series: Vol. 3,,,,
452,2002.0,Scorched,,,,
453,1992.0,Simple Men,105 min,movie,7.2,"3,802"
454,1995.0,Xena: Warrior Princess: Season 3,,,,
455,1999.0,Cardcaptor Sakura: The Movie,80 min,movie,7.4,"1,336"
456,1996.0,Emma (Miniseries),,,,
457,2004.0,Kill Bill: Vol. 2,137 min,movie,8.0,"650,899"
458,2001.0,Blast,,movie,,
459,1996.0,Basquiat,107 min,movie,6.9,"18,783"
460,1971.0,Pink Narcissus,65 min,movie,6.7,"1,020"
461,2000.0,Nightwalker #1: Midnight Detective,,,,
462,2005.0,Classic Cartoon Favorites: Starring Donald,,,,
463,1962.0,The Twilight Zone: Vol. 12,,,,
464,1987.0,The Return of Ruben Blades,,,,
465,1995.0,Coolie No.1,143 min,movie,6.2,"2,227"
466,1990.0,Doogie Howser,,,,
467,1941.0,Topper Returns,88 min,movie,6.9,"2,471"
468,2003.0,The Matrix: Revolutions,129 min,movie,6.8,"432,603"
469,1998.0,First Night of My Life: 2000 Seen By...,,,,
470,2001.0,Beneath Loch Ness,96 min,movie,3.2,"1,095"
471,1931.0,City Lights,87 min,movie,8.5,"157,742"
472,1998.0,Mr. Jealousy,,,,
473,1997.0,Princess Mononoke,134 min,movie,8.4,"319,539"
474,1998.0,Legend of 1900,169 min,movie,8.1,"55,231"
475,1993.0,Surf Ninjas,87 min,movie,5.1,"7,388"
476,2004.0,VeggieTales Classics: Where's God When I'm Scared?,,,,
477,1990.0,George Carlin: Personal Favorites,,,,
478,1962.0,The Beverly Hillbillies,25 min,series,7.1,"7,299"
479,1988.0,George Carlin: What Am I Doing in New Jersey?,61 min,movie,8.2,"1,771"
480,1997.0,Flypaper,,,,
481,2002.0,Building the Great Pyramid,58 min,movie,7.2,148
482,2002.0,Frida,123 min,movie,7.4,"77,825"
483,2001.0,Rush Hour 2,90 min,movie,6.6,"193,437"
