Movie_Id,Year,Name,time,type,rate,votes,mean,med,mod
105,2002.0,Obsessed,90 min,movie,5.6,799,3.1302083333333335,3.0,3.0
106,2004.0,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,160 min,movie,9.0,110,4.097872340425532,4.0,5.0
107,2000.0,Magnolia: Bonus Material,,,,,3.3522316043425815,4.0,4.0
108,2004.0,Spartan,106 min,movie,6.5,"28,734",3.167315175097276,3.0,3.0
109,1996.0,No Way Back,,,,,2.677064220183486,3.0,3.0
110,1989.0,Scandal,106 min,movie,6.5,"4,473",3.0338119499768412,3.0,3.0
111,2003.0,Duplex (Widescreen),,,,,3.0828824642347397,3.0,3.0
112,1993.0,The Eye of Vichy,,,,,3.00418410041841,3.0,3.0
113,2000.0,Bruce Lee: A Warrior's Journey,100 min,movie,8.1,"2,681",3.8851399856424984,4.0,4.0
114,1989.0,Dominion Tank Police Part 1 & 2,,,,,3.366822429906542,3.0,3.0
115,1973.0,Lord Peter Wimsey: Murder Must Advertise,,,,,3.539039039039039,4.0,4.0
116,2004.0,Bear Cub,99 min,movie,7.0,"3,457",3.539076376554174,4.0,4.0
117,1957.0,Silk Stockings,117 min,movie,6.8,"3,370",3.46177370030581,3.0,3.0
118,1985.0,Rambo: First Blood Part II,96 min,movie,6.5,"147,640",3.432952182952183,3.0,3.0
119,1999.0,Travel the World by Train: Africa,60 min,movie,,,2.6979166666666665,3.0,3.0
120,2004.0,Plain Dirty,,,,,2.424778761061947,2.0,2.0
121,2003.0,Beyonce: Live at Wembley,,,,,3.6161616161616164,4.0,4.0
122,2002.0,Cube 2: Hypercube,,,,,2.911886457717327,3.0,3.0
123,2000.0,Chain of Fools,98 min,movie,6.1,"3,819",2.8333333333333335,3.0,3.0
124,2000.0,Cold Blooded,,,,,2.2662721893491122,2.0,2.0
125,1981.0,Nighthawks,99 min,movie,6.4,"16,220",3.3707345286292654,3.0,3.0
126,2003.0,Vampire Effect (aka Twins Effect),,,,,3.201858108108108,3.0,3.0
127,1987.0,Fatal Beauty,104 min,movie,5.4,"3,114",2.630391506303915,3.0,3.0
128,1985.0,Mr. Vampire,96 min,movie,7.5,"3,193",3.2158273381294964,3.0,4.0
129,2003.0,Darkwolf,94 min,movie,2.8,"1,520",2.1481481481481484,2.0,2.0
130,1999.0,Drowning on Dry Land,88 min,movie,5.4,145,2.2325581395348837,2.0,2.0
131,2002.0,Arachnid,,,,,2.6950354609929077,3.0,3.0
132,1981.0,Lucio Fulci: The Beyond,,,,,3.0746987951807228,3.0,3.0
133,2003.0,Viva La Bam: Season 1,,,,,3.737807257120562,4.0,5.0
134,1996.0,Spirit Lost,90 min,movie,4.7,112,2.1313131313131315,2.0,1.0
135,1998.0,GTO: Great Teacher Onizuka: Set 2,,,,,4.138020833333333,5.0,5.0
136,1927.0,Cat and the Canary,108 min,movie,7.2,"2,235",2.975,3.0,3.0
137,1998.0,Naked Lies,93 min,movie,3.2,301,2.392156862745098,2.0,2.0
138,1995.0,Star Trek: Voyager: Season 1,,,,,3.9422340602630266,4.0,5.0
139,2001.0,Allergies: A Natural Approach,,,,,2.5104166666666665,2.0,2.0
140,1993.0,Lost in the Wild,,,,,2.5294117647058822,3.0,3.0
141,2004.0,Goddess of Mercy,,,,,2.9761904761904763,3.0,3.0
142,2000.0,The Tricky Master,,,,,2.8098159509202456,3.0,3.0
143,1997.0,The Game,129 min,movie,7.8,"330,089",3.853031645899588,4.0,4.0
144,2000.0,Deepak Chopra: The Way of the Wizard & Alchemy,,,,,3.2006920415224913,3.0,3.0
145,1978.0,Get Out Your Handkerchiefs,108 min,movie,6.9,"3,275",3.074725274725275,3.0,3.0
146,1988.0,Cannibal Women in the Avocado Jungle of Death,,,,,2.420765027322404,2.0,2.0
147,1992.0,Where Sleeping Dogs Lie,,,,,2.16793893129771,2.0,2.0
148,2001.0,Sweet November,119 min,movie,6.7,"82,857",3.304947283049473,3.0,3.0
149,2005.0,The Edward R. Murrow Collection,,,,,3.0161290322580645,3.0,1.0
150,2001.0,Firetrap,97 min,movie,5.2,696,2.883018867924528,3.0,3.0
151,2005.0,Sleepover Nightmare,81 min,movie,3.5,282,1.9545454545454546,2.0,1.0
152,1995.0,A Little Princess,97 min,movie,7.7,"30,926",3.9340755293604017,4.0,4.0
153,2002.0,MTV Yoga,,,,,2.7476635514018692,3.0,3.0
154,2000.0,Demon Warrior Koji,,,,,2.9430379746835444,3.0,3.0
155,1975.0,The Strongest Man in the World,92 min,movie,6.1,"2,531",3.5969387755102042,4.0,4.0
156,1992.0,Husbands and Wives,108 min,movie,7.5,"26,134",3.495170558748013,4.0,4.0
157,2004.0,Laird: White Knuckle Extreme,,,,,3.3787234042553194,3.0,4.0
158,2004.0,A Killer Within,110 min,movie,5.0,695,2.657754010695187,3.0,3.0
159,1971.0,Gentlemen of Fortune,88 min,movie,8.5,"9,944",3.932926829268293,4.0,5.0
160,2000.0,Gormenghast,232 min,series,7.4,"2,763",3.007786429365962,3.0,3.0
161,1939.0,Ninotchka,110 min,movie,7.9,"17,730",3.8536209553158707,4.0,4.0
162,1968.0,John Cleese on How to Irritate People,,,,,2.959915611814346,3.0,3.0
163,2002.0,MTV: Making the Band 2: Best of Season 1,,,,,2.378238341968912,2.0,1.0
164,2003.0,One Last Dance,101 min,movie,5.5,"1,348",2.6273006134969323,3.0,3.0
165,1982.0,Richard Pryor: Live on the Sunset Strip,82 min,movie,7.7,"3,592",3.9169572798605055,4.0,4.0
166,1980.0,Fame,134 min,movie,6.6,"19,268",3.556332803391627,4.0,4.0
167,2004.0,The Chorus,97 min,movie,7.9,"55,075",4.0922303573379954,4.0,4.0
168,1983.0,Smokey and the Bandit Part 3,85 min,movie,3.5,"7,765",3.242424242424242,3.0,3.0
169,2004.0,Cartoon Network Halloween: 9 Creepy Cartoon Capers,,,,,3.388059701492537,3.0,3.0
170,1972.0,Tomorrow,103 min,movie,7.5,"1,033",3.181395348837209,3.0,3.0
171,1957.0,Funny Face,103 min,movie,7.0,"25,242",3.7424878836833604,4.0,4.0
172,2003.0,Jack,120 min,movie,5.7,15,3.127329192546584,3.0,3.0
173,1968.0,The Devil's Brigade,130 min,movie,6.8,"4,719",3.538908765652952,4.0,4.0
174,1968.0,Adam-12: Season 1,,,,,3.319371727748691,3.0,3.0
175,1992.0,Reservoir Dogs,99 min,movie,8.3,"878,211",4.003847429519071,4.0,5.0
176,2004.0,The History Channel Presents: Troy: Unearthing the Legend,,,,,3.2666666666666666,3.0,3.0
177,2002.0,Pressure,90 min,movie,5.9,913,2.680497925311203,3.0,3.0
178,1996.0,Regular Guys,102 min,movie,6.8,"1,367",3.372863801139306,3.0,4.0
179,2003.0,Bollywood Bound,,,,,2.458041958041958,2.0,3.0
180,2002.0,Scratch,5 min,movie,,,3.833746898263027,4.0,4.0
181,2004.0,The Last Shot,93 min,movie,5.6,"4,042",2.6000562113546937,3.0,3.0
182,2001.0,Moby: Play,166 min,movie,8.1,240,3.0811965811965814,3.0,3.0
183,2005.0,IFilm: Deranged,,,,,3.0122699386503067,3.0,3.0
184,2004.0,Billy Blanks: Tae Bo: Cardio Circuit 1,,,,,3.338345864661654,3.0,3.0
185,1985.0,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,,,,,3.0574662603395732,3.0,3.0
186,1950.0,Panic in the Streets,96 min,movie,7.3,"6,675",3.3780068728522337,3.0,3.0
187,2002.0,Death to Smoochy,109 min,movie,6.4,"37,944",3.012170183051524,3.0,3.0
188,2005.0,Dead Birds,27 min,movie,6.5,21,2.7618673989799922,3.0,3.0
189,1982.0,Airplane II: The Sequel,85 min,movie,6.2,"46,946",3.346466718540001,3.0,3.0
190,1989.0,Blood and Sand,113 min,movie,4.7,916,2.0961538461538463,2.0,2.0
191,2003.0,X2: X-Men United,134 min,movie,7.4,"498,172",3.932202188006483,4.0,4.0
192,2003.0,The SoulTaker,,,,,3.2,3.0,4.0
193,2005.0,Marilyn Manson: Fear of a Satanic Planet,86 min,movie,6.2,9,2.975206611570248,3.0,3.0
194,1996.0,Arliss: The Best of Arliss,,,,,3.134674922600619,3.0,3.0
195,2004.0,Chasing Freedom,120 min,movie,6.7,362,3.2972972972972974,3.0,3.0
196,1992.0,Peter Tosh: Stepping Razor: Red X,,,,,3.4675324675324677,4.0,4.0
197,2004.0,Taking Lives,103 min,movie,6.2,"77,511",3.478931823775535,4.0,4.0
198,1997.0,Gupt,173 min,movie,7.4,"4,076",3.082474226804124,3.0,3.0
199,1978.0,The Deer Hunter,183 min,movie,8.1,"296,382",3.8931820101945984,4.0,4.0
200,1964.0,The Fall of the Roman Empire,188 min,movie,6.7,"7,768",3.007751937984496,3.0,3.0
201,2001.0,Home Movie,66 min,movie,7.1,697,3.4174008810572687,3.0,3.0
202,2001.0,Ruby's Bucket of Blood,95 min,movie,5.7,276,3.1047120418848166,3.0,3.0
203,1997.0,Sports Illustrated Swimsuit Edition: 1997,,,,,3.15625,3.0,3.0
204,2002.0,Venus Boyz,102 min,movie,4.9,398,2.708695652173913,3.0,2.0
205,2004.0,Troy: Bonus Material,,,,,3.3021442495126707,3.0,3.0
206,2004.0,Unconstitutional: The War on Our Civil Liberties,,,,,3.8585766423357666,4.0,5.0
207,2001.0,Denise Austin: Ultimate Fat Burner,,,,,2.86046511627907,3.0,3.0
208,1947.0,The Three Stooges: Sing a Song of Six Pants,,,,,3.3588342440801457,4.0,5.0
209,1996.0,Star Trek: Deep Space Nine: Season 5,,,,,4.160759204207638,4.0,5.0
210,2001.0,Onmyoji,112 min,movie,6.3,"1,215",3.151382823871907,3.0,3.0
211,2004.0,The Agronomist,,,,,3.555045871559633,4.0,4.0
212,1982.0,Querelle,108 min,movie,6.8,"5,357",2.7786516853932586,3.0,3.0
213,2001.0,Dinner Rush,,,,,3.4709936817920735,4.0,4.0
214,2002.0,Read-Along: Beauty and the Beast,,,,,2.9193548387096775,3.0,3.0
215,1998.0,That '70s Show: Season 1,,,,,4.062575210589651,4.0,5.0
216,2000.0,Impostor,,,,,3.218212478920742,3.0,3.0
217,1988.0,Cherry 2000,,,,,2.9529411764705884,3.0,3.0
218,1983.0,Triumph: Live at the US Festival,,,,,3.226086956521739,3.0,3.0
219,1995.0,Neon Bible,91 min,movie,6.2,718,2.6036036036036037,3.0,3.0
220,1983.0,Winston Churchill: The Wilderness Years,,,,,3.257918552036199,3.0,4.0
221,2005.0,Voyage to the Planets and Beyond,,,,,3.4347826086956523,4.0,4.0
222,1998.0,Yellow,13 min,movie,6.5,33,2.606060606060606,2.0,2.0
223,2003.0,Chappelle's Show: Season 1,,,,,4.2111917098445595,5.0,5.0
224,1999.0,Midsomer Murders: Blood Will Out,,,,,3.8314917127071824,4.0,4.0
225,2004.0,The Cookout,97 min,movie,3.7,"2,661",2.733739012846518,3.0,3.0
226,1996.0,Henry: Portrait of a Serial Killer 2,,,,,2.4444444444444446,2.0,2.0
227,2001.0,The Carol Burnett Show: Show Stoppers,,,,,3.417293233082707,3.0,3.0
228,1979.0,Butch and Sundance: The Early Days,115 min,movie,5.7,"1,187",2.831578947368421,3.0,3.0
229,2003.0,Peter Gabriel: Growing Up Live,133 min,movie,8.7,343,3.831288343558282,4.0,5.0
230,1987.0,Unsolved Mysteries: Psychics,,,,,3.0952380952380953,3.0,3.0
231,2002.0,Marooned in Iraq,108 min,movie,7.4,"1,182",2.9427083333333335,3.0,3.0
232,1989.0,Gross Anatomy,109 min,movie,6.2,"3,424",3.182676848874598,3.0,3.0
233,1971.0,Chato's Land,,,,,3.2416267942583734,3.0,3.0
234,1921.0,Animation Legend: Winsor McCay,,,,,2.9690721649484537,3.0,3.0
235,1996.0,Unhook the Stars,103 min,movie,6.5,"1,990",3.024886877828054,3.0,3.0
236,1998.0,Cartoon Crazys Sci-Fi,,,,,2.32,2.0,3.0
237,1918.0,Broken Blossoms,,,,,3.3994252873563218,3.0,3.0
238,1976.0,Led Zeppelin: The Song Remains the Same,,,,,3.6783725910064238,4.0,4.0
239,2004.0,Winnie the Pooh: Springtime with Roo,,,,,3.7680365296803653,4.0,4.0
240,1942.0,Woman of the Year,114 min,movie,7.2,"8,611",3.9484953703703702,4.0,4.0
241,1959.0,North by Northwest,136 min,movie,8.3,"284,137",4.157900839478688,4.0,4.0
242,1995.0,Neon Genesis Evangelion: The End of Evangelion,,,,,3.911157894736842,4.0,5.0
243,1962.0,Pressure Point,91 min,movie,7.1,"1,156",3.0252100840336134,3.0,3.0
244,2004.0,Stellvia,,,,,3.8666666666666667,4.0,5.0
245,2002.0,Road Dogz,91 min,movie,5.7,235,2.78021978021978,3.0,3.0
246,1968.0,The Boston Strangler,116 min,movie,7.1,"7,802",3.1160092807424595,3.0,3.0
247,1994.0,Oleanna,89 min,movie,6.7,"2,823",3.0321592649310873,3.0,3.0
248,2001.0,Michael Moore's The Awful Truth: Season 2,,,,,3.6333387437104365,4.0,5.0
249,1958.0,The Hunters,108 min,movie,6.5,"1,216",3.182741116751269,3.0,3.0
250,1966.0,Cast a Giant Shadow,146 min,movie,6.3,"2,634",3.4385510996119018,3.0,3.0
251,2000.0,Midsomer Murders: Strangler's Wood,,,,,3.8803986710963456,4.0,4.0
252,2002.0,Stuart Little 2,77 min,movie,5.4,"47,854",3.3904539303727397,3.0,3.0
253,1935.0,A Night at the Opera,96 min,movie,7.9,"29,530",4.0679207920792075,4.0,5.0
254,2003.0,Westender,105 min,movie,4.6,282,2.042105263157895,2.0,1.0
255,2001.0,The Hunchback of Notre Dame II,,,,,3.142389882250327,3.0,3.0
256,2000.0,Ghost Dog: The Way of the Samurai,,,,,3.440720808871494,4.0,4.0
257,1973.0,Charlotte's Web,94 min,movie,6.9,"16,136",3.9115765617575025,4.0,4.0
258,1999.0,Mann,160 min,movie,6.2,"4,554",2.951219512195122,3.0,3.0
259,2004.0,Animal,90 min,movie,6.4,8,3.220319634703196,3.0,3.0
260,1967.0,Marat / Sade,116 min,movie,7.6,"2,107",3.15609756097561,3.0,3.0
261,1948.0,The Big Clock,95 min,movie,7.7,"7,235",3.6901140684410647,4.0,4.0
262,1974.0,Herbie Rides Again,88 min,movie,5.7,"7,035",3.7103700319780724,4.0,4.0
263,2001.0,Dragon Ball: Tournament Saga,,,,,3.9844444444444442,5.0,5.0
264,2002.0,Angelina Ballerina: Lights,,,,,2.888059701492537,3.0,3.0
265,2002.0,The Jeff Corwin Experience: Costa Rica and the Amazon,,,,,3.25,3.0,3.0
266,2000.0,Saudade Do Futuro,92 min,movie,6.6,38,3.0555555555555554,3.0,3.0
267,1994.0,Touched by an Angel: Season 1,,,,,3.6867469879518073,4.0,5.0
268,1980.0,The Final Countdown,103 min,movie,6.7,"20,293",3.7114517583408477,4.0,4.0
269,1989.0,Parenthood,124 min,movie,7.0,"42,884",3.7562770764429123,4.0,4.0
270,2001.0,Sex and the City: Season 4,,,,,4.289368944031183,5.0,5.0
271,1943.0,Saludos Amigos,,,,,3.1046025104602513,3.0,3.0
272,1973.0,Female Yakuza Tale,,,,,2.9193548387096775,3.0,3.0
273,2004.0,Taxi,97 min,movie,4.5,"39,019",3.3624754113716553,3.0,3.0
274,2002.0,Crazy as Hell,113 min,movie,5.9,942,2.7674418604651163,3.0,3.0
275,2002.0,Evelyn,94 min,movie,7.0,"6,165",3.633405639913232,4.0,4.0
276,1998.0,Cold Harvest,,,,,2.0782608695652174,2.0,2.0
277,2003.0,Enigma: MCMXC A.D,,,,,3.445859872611465,4.0,4.0
278,1990.0,100 Days Before the Command,,,,,2.144578313253012,2.0,2.0
279,1984.0,Micki and Maude,,,,,3.1696065128900948,3.0,3.0
280,1998.0,Sarah Brightman: In Concert,75 min,movie,7.9,85,3.352504638218924,3.0,3.0
281,1993.0,The Legend,100 min,movie,7.2,"7,137",3.7550512900217594,4.0,4.0
282,2003.0,Blue Seed: Beyond,,,,,3.6666666666666665,4.0,4.0
283,1996.0,If These Walls Could Talk,97 min,movie,7.0,"3,850",3.706555834378921,4.0,4.0
284,2005.0,Sasquatch Hunters,88 min,movie,3.4,427,2.2577319587628866,2.0,1.0
285,1997.0,The Devil's Own,111 min,movie,6.2,"56,342",3.3265990862364365,3.0,3.0
286,1966.0,Thunderbirds Are Go,93 min,movie,6.5,"1,931",2.9162303664921465,3.0,3.0
287,1994.0,Luther Vandross: Always and Forever: An Evening of Songs,,,,,3.572,4.0,3.0
288,2004.0,Saturday Night Live: The Best of Chris Kattan,,,,,3.5470383275261326,4.0,4.0
289,1998.0,The Avengers,89 min,movie,3.8,"39,906",2.334768812330009,2.0,2.0
290,2004.0,Harold and Kumar Go to White Castle,,,,,3.584499800633775,4.0,4.0
291,2000.0,Chained Heat 3: Hell Mountain,,,,,2.2222222222222223,2.0,2.0
292,2005.0,Saturday Night Live: The Best of Gilda Radner,92 min,movie,7.5,97,3.857677902621723,4.0,4.0
293,2003.0,Lennon Legend: The Very Best of John Lennon,100 min,movie,7.9,136,3.7598039215686274,4.0,5.0
294,2002.0,Oasis,133 min,movie,7.9,"7,612",3.1515151515151514,3.0,3.0
295,1995.0,Ace Ventura: When Nature Calls,90 min,movie,6.4,"195,499",3.314671547972646,3.0,3.0
296,2000.0,In His Life: The John Lennon Story,85 min,movie,6.0,550,2.913793103448276,3.0,3.0
297,2003.0,The Hebrew Hammer,85 min,movie,6.1,"4,554",2.878834355828221,3.0,3.0
298,2002.0,Crunch: Pick Your Spot Pilates,,,,,3.101098901098901,3.0,3.0
299,2001.0,Bridget Jones's Diary,97 min,movie,6.7,"216,856",3.7066437928883342,4.0,4.0
300,1997.0,Option Zero,,,,,2.455357142857143,3.0,3.0
301,2003.0,Hard Ground,93 min,movie,5.8,365,2.605714285714286,3.0,3.0
302,2001.0,The Isle,,,,,2.817974971558589,3.0,3.0
303,1959.0,Les Liaisons Dangereuses,106 min,movie,6.9,"1,123",3.088888888888889,3.0,3.0
304,1997.0,King of the Hill: Season 1,,,,,3.768310475634666,4.0,4.0
305,1996.0,Jack,113 min,movie,5.8,"54,474",3.624414976599064,4.0,4.0
306,2005.0,Sesame Street: Sing Yourself Silly!,,,,,3.0558375634517767,3.0,3.0
307,2002.0,Godsmack: Smack This!,75 min,movie,6.2,12,3.4754098360655736,4.0,5.0
308,1974.0,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,,,,,2.78,3.0,3.0
309,1975.0,The Day of the Locust,144 min,movie,7.1,"4,823",3.075055187637969,3.0,3.0
310,2000.0,Leila,,,,,3.3617977528089886,3.0,4.0
