"COUNTRY","Country","AGE","Age","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","SEX","Sex","INTENSITY","Intensity","YEAR","Year","Value","Flag Codes","Flags"
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2016","2016",57.065,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2017","2017",58.985,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2013","2013",82.53,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2014","2014",81.844,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2015","2015",82.998,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2016","2016",85.886,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2017","2017",88.353,,
"SAU","Saudi Arabia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2013","2013",,"x","Data included in another category"
"SAU","Saudi Arabia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2014","2014",,"x","Data included in another category"
"SAU","Saudi Arabia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2015","2015",,"x","Data included in another category"
"SAU","Saudi Arabia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2016","2016",,"x","Data included in another category"
"ESP","Spain","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2013","2013",74.179,,
"ESP","Spain","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2014","2014",74.534,,
"ESP","Spain","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2015","2015",74.765,,
"ESP","Spain","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2016","2016",75.057,,
"ESP","Spain","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2017","2017",75.912,,
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2013","2013",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2014","2014",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2015","2015",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2017","2017",,"M","Missing value; data cannot exist"
"ITA","Italy","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",0,,
"ITA","Italy","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",0,,
"ITA","Italy","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",0,,
"ITA","Italy","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",0,,
"ITA","Italy","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2017","2017",0,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",43.802,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",43.14,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",41.803,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",38.687,,
"FIN","Finland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2017","2017",36.875,,
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2013","2013",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2014","2014",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2015","2015",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2016","2016",,"x","Data included in another category"
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",14.803,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",15.157,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",14.54,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",11.871,,
"EST","Estonia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2017","2017",9.767,,
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2013","2013",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2014","2014",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2015","2015",,"x","Data included in another category"
"ARG","Argentina","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2016","2016",,"M","Missing value; data cannot exist"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2013","2013",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2014","2014",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2015","2015",,"x","Data included in another category"
"CHN","China (People's Republic of)","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2016","2016",,"x","Data included in another category"
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",15.443,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",15.543,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",15.752,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",16.464,,
"IRL","Ireland","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2017","2017",17.101,,
"SWE","Sweden","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2013","2013",49.442,,
"SWE","Sweden","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2014","2014",48.223,,
"SWE","Sweden","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2015","2015",47.643,,
"SWE","Sweden","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2016","2016",47.58,,
"SWE","Sweden","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2017","2017",47.594,,
"CAN","Canada","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2013","2013",19.905,,
"CAN","Canada","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2014","2014",19.019,,
"CAN","Canada","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2015","2015",18.078,,
"CAN","Canada","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2016","2016",17.932,,
"CAN","Canada","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","PT","Part-time","2017","2017",17.909,,
"DNK","Denmark","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2013","2013",89.074,,
"DNK","Denmark","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2014","2014",92.257,,
"DNK","Denmark","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2015","2015",91.522,,
"DNK","Denmark","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2016","2016",90.412,,
"DNK","Denmark","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2017","2017",89.514,,
"JPN","Japan","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2013","2013",93.61,,
"JPN","Japan","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2014","2014",93.511,,
"JPN","Japan","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2015","2015",93.465,,
"JPN","Japan","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2016","2016",93.477,,
"JPN","Japan","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","FT","Full-time","2017","2017",93.487,,
"LUX","Luxembourg","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2013","2013",14.96,,
"LUX","Luxembourg","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2014","2014",21.744,,
"LUX","Luxembourg","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2015","2015",15.643,,
"LUX","Luxembourg","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2016","2016",17.123,,
"LUX","Luxembourg","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2017","2017",17.521,,
"COL","Colombia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2013","2013",,"M","Missing value; data cannot exist"
"COL","Colombia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2014","2014",,"M","Missing value; data cannot exist"
"COL","Colombia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2015","2015",,"M","Missing value; data cannot exist"
"COL","Colombia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2016","2016",,"z","Not applicable"
"COL","Colombia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2017","2017",,"z","Not applicable"
"MEX","Mexico","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2013","2013",0,,
"MEX","Mexico","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2014","2014",0,,
"MEX","Mexico","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2015","2015",0,,
"MEX","Mexico","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2016","2016",0,,
"MEX","Mexico","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","PT","Part-time","2017","2017",0,,
"SVN","Slovenia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2013","2013",23.01,,
"SVN","Slovenia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2014","2014",20.994,,
"SVN","Slovenia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2015","2015",18.953,,
"SVN","Slovenia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2016","2016",19.798,,
"SVN","Slovenia","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2017","2017",21.688,,
"CZE","Czech Republic","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2013","2013",97.278,,
"CZE","Czech Republic","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2014","2014",95.919,,
"CZE","Czech Republic","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2015","2015",95.88,,
"CZE","Czech Republic","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2016","2016",95.735,,
"CZE","Czech Republic","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","T","Total","FT","Full-time","2017","2017",95.902,,
"LTU","Lithuania","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2013","2013",72.164,,
"LTU","Lithuania","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2014","2014",74.31,,
"LTU","Lithuania","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2015","2015",76.362,,
"LTU","Lithuania","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2016","2016",77.986,,
"LTU","Lithuania","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","F","Women","FT","Full-time","2017","2017",79.588,,
"CHL","Chile","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2013","2013",0,,
"CHL","Chile","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2014","2014",0,,
"CHL","Chile","T","Total: All age groups","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","ENRL_SHARE_GENDER-INTENSITY","Share of students by gender and intensity ","M","Men","PT","Part-time","2015","2015",0,,
