"TIME","GEO","SEX","CATEGORY","NACE_R2","AGE","UNIT","Value"
"2019","European Union - 15 countries (1995-2004)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","46,659.0"
"2010","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","29,489.5"
"2011","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","29,688.4"
"2012","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","30,509.0"
"2013","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","30,964.9"
"2014","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","31,927.2"
"2015","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","32,817.5"
"2016","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","33,806.1"
"2017","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","34,757.2"
"2018","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","35,766.2"
"2019","Euro area - 19 countries  (from 2015)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","36,934.4"
"2010","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,107.3"
"2011","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,091.8"
"2012","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,129.2"
"2013","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,129.6"
"2014","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,184.0"
"2015","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,183.7"
"2016","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,204.6"
"2017","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,274.5"
"2018","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,317.7"
"2019","Belgium","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,339.7"
"2010","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","586.0"
"2011","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","575.4"
"2012","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","573.4"
"2013","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","599.7"
"2014","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","634.4"
"2015","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","656.1"
"2016","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","653.9"
"2017","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","662.0"
"2018","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","664.1"
"2019","Bulgaria","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","663.8"
"2010","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","938.6"
"2011","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","837.3"
"2012","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","865.8"
"2013","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","885.8"
"2014","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","914.1"
"2015","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","927.6"
"2016","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","950.4"
"2017","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","984.4"
"2018","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","1,001.3"
"2019","Czechia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","988.7"
"2010","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","636.8"
"2011","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","651.1"
"2012","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","672.8"
"2013","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","676.3"
"2014","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","670.2"
"2015","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","682.9"
"2016","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","705.7"
"2017","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","738.7"
"2018","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","753.8"
"2019","Denmark","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","765.5"
"2010","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,425.2"
"2011","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,323.2"
"2012","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,794.4"
"2013","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","8,999.0"
"2014","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","9,147.1"
"2015","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","9,387.8"
"2016","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","9,721.1"
"2017","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","9,911.5"
"2018","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","10,118.2"
"2019","Germany (until 1990 former territory of the FRG)","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","10,482.8"
"2010","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","171.2"
"2011","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","172.5"
"2012","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","179.5"
"2013","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","178.4"
"2014","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","179.2"
"2015","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","185.7"
"2016","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","186.0"
"2017","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","192.1"
"2018","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","197.5"
"2019","Estonia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","204.3"
"2010","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","477.5"
"2011","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","498.0"
"2012","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","513.6"
"2013","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","529.1"
"2014","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","540.2"
"2015","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","565.5"
"2016","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","586.8"
"2017","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","609.8"
"2018","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","628.4"
"2019","Ireland","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","650.4"
"2010","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","683.8"
"2011","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","668.2"
"2012","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","650.4"
"2013","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","636.9"
"2014","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","652.3"
"2015","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","668.5"
"2016","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","712.0"
"2017","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","739.0"
"2018","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","752.0"
"2019","Greece","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","784.8"
"2010","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,915.8"
"2011","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,879.7"
"2012","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,841.8"
"2013","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,847.5"
"2014","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,964.8"
"2015","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,129.0"
"2016","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,297.0"
"2017","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,424.9"
"2018","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,588.0"
"2019","Spain","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,811.2"
"2010","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","5,688.8"
"2011","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","5,946.9"
"2012","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,123.1"
"2013","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,286.3"
"2014","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,596.6"
"2015","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,784.2"
"2016","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,906.1"
"2017","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","6,995.0"
"2018","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,255.7"
"2019","France","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","7,468.5"
"2010","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","266.5"
"2011","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","246.0"
"2012","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","254.7"
"2013","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","285.8"
"2014","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","306.7"
"2015","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","320.9"
"2016","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","320.8"
"2017","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","328.1"
"2018","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","343.1"
"2019","Croatia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","351.8"
"2010","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,730.0"
"2011","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,769.9"
"2012","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,821.6"
"2013","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,772.8"
"2014","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,830.4"
"2015","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,888.6"
"2016","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","3,978.1"
"2017","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,177.7"
"2018","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,262.8"
"2019","Italy","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","4,324.3"
"2010","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","87.5"
"2011","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","96.0"
"2012","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","94.0"
"2013","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","91.9"
"2014","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","97.3"
"2015","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","94.4"
"2016","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","98.8"
"2017","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","102.1"
"2018","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","108.2"
"2019","Cyprus","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","113.5"
"2010","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","222.2"
"2011","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","227.7"
"2012","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","235.0"
"2013","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","235.5"
"2014","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","233.3"
"2015","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","249.0"
"2016","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","253.2"
"2017","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","253.2"
"2018","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","256.7"
"2019","Latvia","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","262.4"
"2010","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","367.2"
"2011","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","362.9"
"2012","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","370.5"
"2013","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","375.2"
"2014","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","382.8"
"2015","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","401.3"
"2016","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","415.2"
"2017","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","410.8"
"2018","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","414.2"
"2019","Lithuania","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","422.0"
"2010","Luxembourg","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","54.1"
"2011","Luxembourg","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","57.6"
"2012","Luxembourg","Females","Persons with tertiary education (ISCED) and/or employed in science and technology","Total - all NACE activities","From 15 to 74 years","Thousand","62.8"
