"SEX","GEO","TIME","CATEGORY","NACE_R2","AGE","UNIT","Value","Flag and Footnotes"
"Total","Bulgaria","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","19.2",""
"Total","Bulgaria","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","198.3",""
"Total","Bulgaria","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","40.7",""
"Total","Bulgaria","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","18.1",""
"Total","Bulgaria","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.1",""
"Total","Bulgaria","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","163.0",""
"Total","Bulgaria","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","146.7",""
"Total","Bulgaria","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","17.3",""
"Total","Bulgaria","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","207.9",""
"Total","Bulgaria","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","48.4",""
"Total","Bulgaria","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","21.2",""
"Total","Bulgaria","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.4",""
"Total","Bulgaria","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","168.7",""
"Total","Bulgaria","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","153.0",""
"Total","Bulgaria","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","18.0",""
"Total","Bulgaria","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","210.4",""
"Total","Bulgaria","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","50.6",""
"Total","Bulgaria","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","18.7",""
"Total","Bulgaria","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.4",""
"Total","Bulgaria","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","172.1",""
"Total","Bulgaria","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","156.4",""
"Total","Bulgaria","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","19.6",""
"Total","Czechia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","331.5",""
"Total","Czechia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","66.7",""
"Total","Czechia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","44.9",""
"Total","Czechia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","31.2",""
"Total","Czechia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","258.1",""
"Total","Czechia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","240.1",""
"Total","Czechia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","28.6",""
"Total","Czechia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","333.9",""
"Total","Czechia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","71.1",""
"Total","Czechia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","52.2",""
"Total","Czechia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","36.4",""
"Total","Czechia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","256.9",""
"Total","Czechia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","240.1",""
"Total","Czechia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","24.8",""
"Total","Czechia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","347.9",""
"Total","Czechia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","77.7",""
"Total","Czechia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","56.1",""
"Total","Czechia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","40.2",""
"Total","Czechia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","267.9",""
"Total","Czechia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","247.8",""
"Total","Czechia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","23.9",""
"Total","Czechia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","362.6",""
"Total","Czechia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","80.9",""
"Total","Czechia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","56.0",""
"Total","Czechia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","35.9",""
"Total","Czechia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","282.6",""
"Total","Czechia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","259.5",""
"Total","Czechia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","24.0",""
"Total","Denmark","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","278.3","b"
"Total","Denmark","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","54.3","b"
"Total","Denmark","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","30.1","b"
"Total","Denmark","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","23.2","b"
"Total","Denmark","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","240.6","b"
"Total","Denmark","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","224.6","b"
"Total","Denmark","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","7.7","b"
"Total","Denmark","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","287.4","b"
"Total","Denmark","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","53.5","b"
"Total","Denmark","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","32.3","b"
"Total","Denmark","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","25.4","b"
"Total","Denmark","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","245.7","b"
"Total","Denmark","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","226.7","b"
"Total","Denmark","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.5","b"
"Total","Denmark","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","300.8",""
"Total","Denmark","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","57.0",""
"Total","Denmark","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","33.4",""
"Total","Denmark","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","25.2",""
"Total","Denmark","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","258.2",""
"Total","Denmark","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","236.5",""
"Total","Denmark","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.3",""
"Total","Denmark","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","313.8",""
"Total","Denmark","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","61.3",""
"Total","Denmark","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","31.6",""
"Total","Denmark","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","23.7",""
"Total","Denmark","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","272.3",""
"Total","Denmark","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","249.5",""
"Total","Denmark","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.9",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","3,208.2",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","448.9",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","676.5",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","512.3",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","2,334.7",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","2,036.4",""
"Total","Germany (until 1990 former territory of the FRG)","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","197.0",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","3,262.2",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","459.5",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","692.0",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","533.0",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","2,367.9",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","2,051.5",""
"Total","Germany (until 1990 former territory of the FRG)","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","202.3",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","3,267.2",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","458.2",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","694.4",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","530.8",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","2,375.3",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","2,062.8",""
"Total","Germany (until 1990 former territory of the FRG)","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","197.5",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","3,356.8",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","471.1",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","696.8",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","529.8",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","2,460.2",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","2,142.3",""
"Total","Germany (until 1990 former territory of the FRG)","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","199.8",""
"Total","Estonia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","47.7",""
"Total","Estonia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","13.5",""
"Total","Estonia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","7.3",""
"Total","Estonia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","3.5",""
"Total","Estonia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","37.9",""
"Total","Estonia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","33.4",""
"Total","Estonia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","2.4","u"
"Total","Estonia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","48.5",""
"Total","Estonia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","13.7",""
"Total","Estonia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","7.8",""
"Total","Estonia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","3.0",""
"Total","Estonia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","37.3",""
"Total","Estonia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","32.9",""
"Total","Estonia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","3.4",""
"Total","Estonia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","50.3",""
"Total","Estonia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","15.6",""
"Total","Estonia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","7.1",""
"Total","Estonia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","3.5",""
"Total","Estonia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","39.7",""
"Total","Estonia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","35.1",""
"Total","Estonia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","3.5",""
"Total","Estonia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","57.8",""
"Total","Estonia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","17.9",""
"Total","Estonia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","6.7",""
"Total","Estonia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","2.8",""
"Total","Estonia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","47.0",""
"Total","Estonia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","43.7",""
"Total","Estonia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.1",""
"Total","Ireland","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","221.8",""
"Total","Ireland","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","60.3",""
"Total","Ireland","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","26.1",""
"Total","Ireland","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","20.2",""
"Total","Ireland","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","189.5",""
"Total","Ireland","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","178.3",""
"Total","Ireland","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","6.3",""
"Total","Ireland","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","239.7","b"
"Total","Ireland","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","61.6","b"
"Total","Ireland","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","28.3","b"
"Total","Ireland","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","18.5","b"
"Total","Ireland","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","200.8","b"
"Total","Ireland","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","188.1","b"
"Total","Ireland","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","10.6","b"
"Total","Ireland","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","247.0",""
"Total","Ireland","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","59.3",""
"Total","Ireland","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","24.6",""
"Total","Ireland","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","14.1",""
"Total","Ireland","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","208.6",""
"Total","Ireland","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","197.9",""
"Total","Ireland","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","13.8",""
"Total","Ireland","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","256.0",""
"Total","Ireland","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","65.8",""
"Total","Ireland","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","25.5",""
"Total","Ireland","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","14.7",""
"Total","Ireland","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","218.4",""
"Total","Ireland","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","207.5",""
"Total","Ireland","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","12.2",""
"Total","Greece","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","244.6",""
"Total","Greece","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","23.4",""
"Total","Greece","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","15.0",""
"Total","Greece","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.8",""
"Total","Greece","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","218.2",""
"Total","Greece","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","192.7",""
"Total","Greece","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","11.3",""
"Total","Greece","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","257.5",""
"Total","Greece","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","25.9",""
"Total","Greece","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","17.5",""
"Total","Greece","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.1",""
"Total","Greece","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","225.0",""
"Total","Greece","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","198.4",""
"Total","Greece","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","15.0",""
"Total","Greece","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","255.6",""
