TIME;GEO;SEX;CATEGORY;NACE_R2;AGE;UNIT;Value
2012;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;31931.0
2013;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;32213.5
2014;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;32766.8
2015;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;33328.6
2016;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;34173.0
2017;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;34905.0
2018;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;35694.4
2019;Euro area - 19 countries  (from 2015);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;36581.0
2010;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1122.1
2011;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1153.1
2012;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1160.0
2013;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1134.0
2014;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1169.4
2015;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1147.4
2016;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1165.4
2017;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1250.1
2018;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1257.1
2019;Belgium;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1272.8
2010;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;428.0
2011;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;427.1
2012;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;427.5
2013;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;449.7
2014;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;474.5
2015;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;487.9
2016;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;488.2
2017;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;501.5
2018;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;511.6
2019;Bulgaria;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;523.2
2010;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;967.7
2011;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;958.3
2012;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;970.1
2013;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1001.5
2014;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1007.4
2015;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1003.4
2016;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1040.2
2017;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1075.6
2018;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1100.0
2019;Czechia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;1104.6
2010;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;633.5
2011;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;632.1
2012;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;636.3
2013;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;643.1
2014;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;664.8
2015;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;681.6
2016;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;692.5
2017;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;716.6
2018;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;740.6
2019;Denmark;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;763.0
2010;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;8990.9
2011;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;8812.5
2012;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;9180.5
2013;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;9290.5
2014;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;9419.2
2015;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;9592.8
2016;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;9946.0
2017;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;10067.3
2018;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;10181.1
2019;Germany (until 1990 former territory of the FRG);Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;10443.8
2010;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;102.4
2011;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;119.4
2012;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;125.0
2013;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;126.2
2014;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;127.0
2015;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;130.0
2016;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;131.2
2017;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;137.1
2018;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;143.5
2019;Estonia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;152.4
2010;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;439.0
2011;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;468.7
2012;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;481.0
2013;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;502.6
2014;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;514.4
2015;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;530.5
2016;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;548.2
2017;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;585.3
2018;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;595.3
2019;Ireland;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;619.2
2010;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;745.7
2011;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;733.1
2012;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;705.9
2013;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;707.5
2014;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;696.1
2015;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;709.3
2016;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;746.6
2017;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;776.3
2018;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;814.5
2019;Greece;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;822.2
2010;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4059.0
2011;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4147.6
2012;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4067.0
2013;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4035.9
2014;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4157.5
2015;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4233.4
2016;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4325.6
2017;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4507.6
2018;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4644.4
2019;Spain;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4790.2
2010;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;5770.0
2011;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6450.3
2012;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6551.9
2013;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6647.3
2014;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6704.8
2015;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6785.4
2016;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;6922.5
2017;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;7010.6
2018;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;7119.1
2019;France;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;7243.8
2010;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;256.6
2011;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;242.4
2012;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;253.7
2013;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;264.3
2014;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;272.3
2015;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;277.8
2016;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;280.2
2017;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;294.8
2018;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;307.4
2019;Croatia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;305.0
2010;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4014.6
2011;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4167.5
2012;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4244.9
2013;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4290.1
2014;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4310.7
2015;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4416.3
2016;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4473.1
2017;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4522.9
2018;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4651.3
2019;Italy;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;4681.0
2010;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;81.8
2011;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;87.0
2012;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;91.9
2013;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;86.9
2014;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;84.3
2015;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;85.2
2016;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;85.9
2017;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;90.4
2018;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;96.0
2019;Cyprus;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;100.4
2010;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;132.3
2011;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;132.2
2012;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;145.3
2013;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;152.3
2014;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;144.9
2015;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;148.6
2016;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;150.0
2017;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;157.5
2018;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;158.4
2019;Latvia;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;170.8
2010;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;221.3
2011;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;230.3
2012;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;229.0
2013;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;243.9
2014;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;259.3
2015;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;266.4
2016;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;266.1
2017;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;265.8
2018;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;280.0
2019;Lithuania;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;296.4
2010;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;68.4
2011;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;69.9
2012;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;75.1
2013;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;78.2
2014;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;84.8
2015;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;78.6
2016;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;82.4
2017;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;79.8
2018;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;87.3
2019;Luxembourg;Males;Persons with tertiary education (ISCED) and/or employed in science and technology;Total - all NACE activities;From 15 to 74 years;Thousand;96.0
