,ID,Country,Year,Real growth rate,Per capita,In millions,per_capita,thousand_tons
101,76,Brazil,1985,7.8,1382.0,187460.0,1.3,181249
102,76,Brazil,1995,4.2,4794.0,778053.0,1.6,258347
103,76,Brazil,2005,3.2,4770.0,891634.0,1.9,347309
104,76,Brazil,2010,7.5,11224.0,2208838.0,2.1,419754
105,92,British Virgin Islands,1985,1.4,3396.0,45.0,3.7,48
106,92,British Virgin Islands,1995,24.1,21114.0,389.0,4.7,84
107,92,British Virgin Islands,2005,15.5,36802.0,853.0,6.0,132
108,92,British Virgin Islands,2010,-0.1,32183.0,876.0,6.3,172
109,96,Brunei Darussalam,1985,-1.5,19712.0,4425.0,11.8,2596
110,96,Brunei Darussalam,1995,4.5,17650.0,5245.0,16.5,4789
111,96,Brunei Darussalam,2005,0.4,28923.0,10561.0,13.8,5005
112,96,Brunei Darussalam,2010,2.6,35267.0,13707.0,20.9,8203
113,100,Bulgaria,1985,2.7,1837.0,16486.0,10.0,89541
114,100,Bulgaria,1995,2.9,1723.0,14433.0,6.9,58005
115,100,Bulgaria,2005,7.1,3857.0,29636.0,6.2,47917
116,100,Bulgaria,2010,1.3,6835.0,50610.0,5.9,44114
117,854,Burkina Faso,1985,8.5,203.0,1569.0,0.1,477
118,854,Burkina Faso,1995,5.7,238.0,2404.0,0.1,627
119,854,Burkina Faso,2005,8.7,407.0,5463.0,0.1,1126
120,854,Burkina Faso,2010,8.4,575.0,8980.0,0.1,1962
121,108,Burundi,1985,11.7,249.0,1171.0,0.0,231
122,108,Burundi,1995,-7.0,168.0,1000.0,0.0,238
123,108,Burundi,2005,0.9,150.0,1117.0,0.0,154
124,108,Burundi,2010,5.1,232.0,2032.0,0.0,213
125,132,Cabo Verde,1985,8.6,497.0,157.0,0.3,84
126,132,Cabo Verde,1995,7.5,1434.0,558.0,0.3,121
127,132,Cabo Verde,2005,6.5,2329.0,1105.0,0.9,440
128,132,Cabo Verde,2010,1.5,3313.0,1664.0,1.1,557
129,116,Cambodia,1985,4.7,137.0,1059.0,0.0,418
130,116,Cambodia,1995,5.9,311.0,3309.0,0.1,1551
131,116,Cambodia,2005,13.2,474.0,6293.0,0.2,2776
132,116,Cambodia,2010,6.0,786.0,11242.0,0.4,5013
133,120,Cameroon,1985,2.4,955.0,9597.0,0.6,6476
134,120,Cameroon,1995,3.5,716.0,9641.0,0.3,4228
135,120,Cameroon,2005,2.0,1030.0,17944.0,0.2,3696
136,120,Cameroon,2010,3.4,1309.0,26144.0,0.3,6780
137,124,Canada,1985,4.7,14098.0,364761.0,16.3,422079
138,124,Canada,1995,2.7,20594.0,604014.0,16.0,467638
139,124,Canada,2005,3.2,36218.0,1169393.0,17.3,557417
140,124,Canada,2010,3.1,47221.0,1613463.0,15.7,534671
141,136,Cayman Islands,1985,3.5,21544.0,416.0,9.4,191
142,136,Cayman Islands,1995,4.8,40930.0,1296.0,11.0,363
143,136,Cayman Islands,2005,6.5,62559.0,3042.0,9.1,473
144,136,Cayman Islands,2010,-2.7,58859.0,3267.0,10.1,557
145,140,Central African Republic,1985,3.3,344.0,905.0,0.1,161
146,140,Central African Republic,1995,5.2,348.0,1167.0,0.1,235
147,140,Central African Republic,2005,2.4,342.0,1413.0,0.1,235
148,140,Central African Republic,2010,3.6,457.0,2034.0,0.1,264
149,148,Chad,1985,7.9,194.0,987.0,0.0,180
150,148,Chad,1995,1.4,235.0,1643.0,0.0,110
151,148,Chad,2005,7.9,664.0,6681.0,0.0,400
152,148,Chad,2010,15.0,923.0,10970.0,0.0,517
153,152,Chile,1985,2.0,1559.0,18985.0,1.8,21503
154,152,Chile,1995,10.6,5253.0,75099.0,2.9,41745
155,152,Chile,2005,6.2,7615.0,122965.0,3.8,61818
156,152,Chile,2010,5.8,12860.0,218538.0,4.3,72251
157,156,China,1985,13.4,289.0,309839.0,1.9,1966553
158,156,China,1995,11.0,592.0,734485.0,2.8,3320285
159,156,China,2005,11.4,1730.0,2285960.0,4.5,5896958
160,156,China,2010,10.6,4487.0,6100648.0,6.5,8776040
161,344,"China, Hong Kong SAR",1985,0.8,6688.0,35700.0,4.3,23014
162,344,"China, Hong Kong SAR",1995,2.4,23559.0,144652.0,5.1,31470
163,344,"China, Hong Kong SAR",2005,7.4,26593.0,181569.0,6.5,43872
164,344,"China, Hong Kong SAR",2010,6.8,32545.0,228639.0,5.8,40678
165,446,"China, Macao SAR",1985,0.7,4756.0,1349.0,2.5,733
166,446,"China, Macao SAR",1995,3.3,18139.0,6996.0,3.1,1232
167,446,"China, Macao SAR",2005,8.1,25059.0,12092.0,3.8,1830
168,446,"China, Macao SAR",2010,25.3,52375.0,28124.0,2.6,1408
169,170,Colombia,1985,3.1,1590.0,49322.0,1.6,48379
170,170,Colombia,1995,5.2,2946.0,110292.0,1.7,59614
171,170,Colombia,2005,4.7,3386.0,146566.0,1.4,60946
172,170,Colombia,2010,4.0,6251.0,287018.0,1.7,76175
173,174,Comoros,1985,2.0,675.0,240.0,0.1,48
174,174,Comoros,1995,3.6,1016.0,483.0,0.1,73
175,174,Comoros,2005,2.8,1287.0,787.0,0.2,139
176,174,Comoros,2010,4.8,1315.0,907.0,0.2,161
177,178,Congo,1985,-1.2,1099.0,2339.0,0.6,1280
178,178,Congo,1995,4.0,789.0,2207.0,0.6,1566
179,178,Congo,2005,7.6,1708.0,6350.0,0.3,983
180,178,Congo,2010,15.0,3118.0,13678.0,0.5,1980
181,184,Cook Islands,1985,8.8,1591.0,28.0,1.2,22
182,184,Cook Islands,1995,-4.4,5588.0,106.0,2.2,40
183,184,Cook Islands,2005,-1.1,9262.0,183.0,3.2,62
184,184,Cook Islands,2010,-3.0,13758.0,255.0,3.5,70
185,188,Costa Rica,1985,0.7,1827.0,4989.0,0.8,2266
186,188,Costa Rica,1995,4.1,3278.0,11507.0,1.4,4866
187,188,Costa Rica,2005,3.9,4697.0,19952.0,1.6,6868
188,188,Costa Rica,2010,5.0,8199.0,37269.0,1.7,7569
189,191,Croatia,1995,6.8,4849.0,22388.0,3.6,16986
190,191,Croatia,2005,4.1,10358.0,45347.0,5.1,22592
191,191,Croatia,2010,-1.5,13832.0,59866.0,4.7,20172
192,192,Cuba,1985,1.6,2273.0,22921.0,3.2,32578
193,192,Cuba,1995,2.5,2790.0,30428.0,2.3,25709
194,192,Cuba,2005,11.2,3779.0,42644.0,2.3,26006
195,192,Cuba,2010,2.4,5676.0,64328.0,3.4,38375
196,196,Cyprus,1985,4.7,4957.0,2682.0,4.4,3102
197,196,Cyprus,1995,9.9,15102.0,9827.0,6.3,5383
198,196,Cyprus,2005,4.9,25682.0,18967.0,7.3,7503
199,196,Cyprus,2010,1.3,30817.0,25561.0,7.0,7708
200,203,Czechia,1995,6.2,5771.0,59774.0,12.0,123831
201,203,Czechia,2005,6.5,13285.0,136281.0,11.7,120109
202,203,Czechia,2010,2.3,19692.0,207478.0,10.6,111579
203,408,Dem. People's Rep. Korea,1985,3.7,722.0,12075.0,7.7,144898
204,408,Dem. People's Rep. Korea,1995,-4.4,222.0,4849.0,3.8,82911
205,408,Dem. People's Rep. Korea,2005,3.8,548.0,13031.0,3.2,75573
206,408,Dem. People's Rep. Korea,2010,-0.5,570.0,13945.0,2.7,66453
207,180,Dem. Rep. of the Congo,1985,0.5,252.0,7524.0,0.1,3641
208,180,Dem. Rep. of the Congo,1995,0.7,215.0,8947.0,0.0,2123
209,180,Dem. Rep. of the Congo,2005,6.1,219.0,11965.0,0.0,1500
210,180,Dem. Rep. of the Congo,2010,7.1,334.0,21566.0,0.0,2021
211,208,Denmark,1985,4.0,12252.0,62659.0,11.7,60073
212,208,Denmark,1995,3.0,35356.0,185008.0,10.9,57172
213,208,Denmark,2005,2.3,48779.0,264467.0,8.7,47095
214,208,Denmark,2010,1.9,57967.0,321995.0,8.4,46641
215,262,Djibouti,1985,-0.2,846.0,360.0,0.9,359
216,262,Djibouti,1995,5.6,788.0,497.0,0.5,304
217,262,Djibouti,2005,3.2,861.0,674.0,0.5,414
218,262,Djibouti,2010,3.5,1192.0,1015.0,0.6,517
219,212,Dominica,1985,1.3,1586.0,117.0,0.7,48
220,212,Dominica,1995,2.0,3639.0,260.0,1.1,81
221,212,Dominica,2005,-0.3,5245.0,370.0,1.7,117
222,212,Dominica,2010,1.2,6912.0,494.0,1.9,139
223,214,Dominican Republic,1985,-2.1,866.0,5618.0,1.1,7294
224,214,Dominican Republic,1995,5.5,1995.0,15747.0,2.0,15885
225,214,Dominican Republic,2005,9.3,3844.0,35510.0,2.0,18639
226,214,Dominican Republic,2010,8.3,5371.0,53160.0,2.1,21023
227,218,Ecuador,1985,3.9,1895.0,17141.0,2.1,19431
228,218,Ecuador,1995,2.3,2135.0,24421.0,2.0,22842
229,218,Ecuador,2005,5.3,3022.0,41507.0,2.2,30264
230,218,Ecuador,2010,3.5,4657.0,69555.0,2.5,36461
231,818,Egypt,1985,6.8,474.0,23801.0,1.2,63938
232,818,Egypt,1995,4.6,1032.0,65758.0,1.5,95723
233,818,Egypt,2005,4.5,1230.0,94456.0,2.2,167208
234,818,Egypt,2010,5.1,2552.0,214630.0,2.5,202715
235,222,El Salvador,1985,2.0,1053.0,5183.0,0.4,1988
236,222,El Salvador,1995,6.4,1590.0,8922.0,0.9,5027
237,222,El Salvador,2005,3.6,2438.0,14698.0,1.1,6454
238,222,El Salvador,2010,1.4,2993.0,18448.0,1.1,6458
239,226,Equatorial Guinea,1985,12.9,246.0,88.0,0.2,66
240,226,Equatorial Guinea,1995,11.7,427.0,215.0,0.3,128
241,226,Equatorial Guinea,2005,8.9,11250.0,8520.0,7.7,4712
242,226,Equatorial Guinea,2010,-8.9,17136.0,16299.0,6.4,4679
243,232,Eritrea,1995,20.9,207.0,640.0,0.3,935
244,232,Eritrea,2005,1.5,277.0,1098.0,0.2,766
245,232,Eritrea,2010,2.2,482.0,2117.0,0.1,513
246,233,Estonia,1995,4.3,3086.0,4423.0,12.2,17521
247,233,Estonia,2005,9.6,10330.0,14003.0,12.4,16755
248,233,Estonia,2010,2.3,14640.0,19503.0,13.6,18108
249,231,Ethiopia,1995,6.1,132.0,7587.0,0.0,2563
250,231,Ethiopia,2005,11.8,159.0,12164.0,0.1,5119
251,231,Ethiopia,2010,12.6,300.0,26311.0,0.1,6586
252,242,Fiji,1985,-3.9,1605.0,1143.0,0.8,579
253,242,Fiji,1995,2.5,2570.0,1993.0,1.0,763
254,242,Fiji,2005,0.7,3627.0,2980.0,1.3,1096
255,242,Fiji,2010,3.0,3652.0,3140.0,1.4,1221
256,246,Finland,1985,3.5,11385.0,55914.0,10.1,49666
257,246,Finland,1995,4.2,26215.0,134196.0,10.3,52713
258,246,Finland,2005,2.8,38873.0,204431.0,10.4,54646
259,246,Finland,2010,3.0,46181.0,247800.0,11.6,62082
260,250,France,1985,1.6,9737.0,553143.0,7.3,400880
261,250,France,1995,2.1,26707.0,1600997.0,6.1,349161
262,250,France,2005,1.7,34724.0,2196071.0,6.3,385369
263,250,France,2010,1.9,40565.0,2642610.0,5.6,353033
264,258,French Polynesia,1985,5.4,9795.0,1716.0,3.4,587
265,258,French Polynesia,1995,0.5,20542.0,4421.0,2.0,429
266,258,French Polynesia,2005,1.4,22374.0,5703.0,3.2,821
267,258,French Polynesia,2010,-2.5,22704.0,6081.0,3.2,858
268,266,Gabon,1985,-2.3,5589.0,4639.0,8.0,6318
269,266,Gabon,1995,5.0,5081.0,5519.0,4.3,4624
270,266,Gabon,2005,1.1,6827.0,9579.0,3.6,4888
271,266,Gabon,2010,7.1,8754.0,14359.0,3.1,4811
272,270,Gambia,1985,3.4,1352.0,990.0,0.2,172
273,270,Gambia,1995,0.9,1115.0,1189.0,0.2,198
274,270,Gambia,2005,-0.9,654.0,944.0,0.2,293
275,270,Gambia,2010,6.5,851.0,1441.0,0.3,433
276,268,Georgia,1995,2.6,539.0,2703.0,0.4,2303
277,268,Georgia,2005,9.6,1429.0,6411.0,1.1,5068
278,268,Georgia,2010,6.2,2750.0,11638.0,1.5,6315
279,276,Germany,1995,1.7,31898.0,2591447.0,10.6,864110
280,276,Germany,2005,0.7,35035.0,2861339.0,9.6,797180
281,276,Germany,2010,4.1,42241.0,3417095.0,9.4,758860
282,288,Ghana,1985,5.1,688.0,8743.0,0.3,3326
283,288,Ghana,1995,4.0,818.0,13714.0,0.3,5277
284,288,Ghana,2005,6.2,1057.0,22765.0,0.3,6993
285,288,Ghana,2010,7.9,1737.0,42587.0,0.4,9956
286,300,Greece,1985,2.5,4794.0,47816.0,6.1,60601
287,300,Greece,1995,2.1,12687.0,136886.0,7.4,78782
288,300,Greece,2005,0.6,21925.0,247777.0,8.8,98675
289,300,Greece,2010,-5.5,26154.0,299362.0,7.5,83857
290,304,Greenland,1985,3.7,8482.0,451.0,9.6,510
291,304,Greenland,1995,3.7,23671.0,1321.0,9.1,502
292,304,Greenland,2005,5.0,32481.0,1850.0,10.6,609
293,304,Greenland,2010,1.7,44196.0,2503.0,11.7,664
294,308,Grenada,1985,8.1,1359.0,136.0,0.6,62
295,308,Grenada,1995,2.1,2775.0,278.0,1.5,150
296,308,Grenada,2005,13.3,6755.0,695.0,2.1,216
297,308,Grenada,2010,-0.5,7366.0,771.0,2.5,260
298,320,Guatemala,1985,-0.6,1210.0,9967.0,0.4,3524
299,320,Guatemala,1995,5.0,1255.0,13066.0,0.7,7165
300,320,Guatemala,2005,3.3,2078.0,27211.0,1.0,12570
301,320,Guatemala,2010,2.9,2825.0,41338.0,0.8,11665
302,324,Guinea,1985,5.0,560.0,2848.0,0.2,994
303,324,Guinea,1995,4.7,668.0,5260.0,0.2,1291
304,324,Guinea,2005,3.0,420.0,4063.0,0.2,1826
305,324,Guinea,2010,4.8,635.0,6853.0,0.2,2604
306,624,Guinea-Bissau,1985,4.3,462.0,415.0,0.2,172
307,624,Guinea-Bissau,1995,4.0,703.0,800.0,0.1,183
308,624,Guinea-Bissau,2005,4.3,425.0,587.0,0.1,213
309,624,Guinea-Bissau,2010,4.6,546.0,849.0,0.1,238
310,328,Guyana,1985,2.4,956.0,737.0,1.9,1419
311,328,Guyana,1995,5.0,1302.0,991.0,2.0,1463
312,328,Guyana,2005,-2.0,1752.0,1315.0,1.9,1437
313,328,Guyana,2010,4.1,3026.0,2259.0,2.3,1720
314,332,Haiti,1985,0.6,417.0,2665.0,0.1,942
315,332,Haiti,1995,9.9,345.0,2696.0,0.1,902
316,332,Haiti,2005,1.8,448.0,4154.0,0.2,2076
317,332,Haiti,2010,-5.5,671.0,6708.0,0.2,2127
318,340,Honduras,1985,4.2,1014.0,4342.0,0.4,1907
319,340,Honduras,1995,4.1,828.0,4724.0,0.7,3880
320,340,Honduras,2005,6.1,1323.0,9757.0,1.1,7554
321,340,Honduras,2010,3.7,1933.0,15839.0,1.1,7976
322,348,Hungary,1985,-0.3,2244.0,23709.0,8.2,86105
323,348,Hungary,1995,1.5,4486.0,46432.0,5.8,60370
324,348,Hungary,2005,4.4,11207.0,113035.0,5.8,58019
325,348,Hungary,2010,0.7,13187.0,130923.0,5.0,50223
326,352,Iceland,1985,3.3,12169.0,2940.0,6.7,1628
327,352,Iceland,1995,0.1,26223.0,7018.0,7.3,1947
328,352,Iceland,2005,6.3,56996.0,16813.0,7.5,2230
329,352,Iceland,2010,-3.4,42718.0,13684.0,6.2,1962
330,356,India,1985,5.5,285.0,222557.0,0.6,426674
331,356,India,1995,7.6,378.0,362877.0,0.8,811562
332,356,India,2005,7.9,720.0,823612.0,1.1,1222563
333,356,India,2010,8.5,1356.0,1669620.0,1.4,1719691
334,360,Indonesia,1985,2.5,617.0,102171.0,0.7,121246
335,360,Indonesia,1995,8.2,1195.0,236456.0,1.1,224941
336,360,Indonesia,2005,5.7,1343.0,304372.0,1.5,341992
337,360,Indonesia,2010,6.2,3113.0,755094.0,1.8,428760
338,364,Iran (Islamic Republic of),1985,1.9,1611.0,76257.0,3.4,160769
339,364,Iran (Islamic Republic of),1995,2.4,1888.0,114364.0,4.6,272942
340,364,Iran (Islamic Republic of),2005,3.2,3216.0,226452.0,6.7,468808
341,364,Iran (Islamic Republic of),2010,5.8,6586.0,491099.0,7.7,573031
342,368,Iraq,1985,0.0,775.0,12074.0,2.9,44675
343,368,Iraq,1995,-18.3,172.0,3477.0,3.7,74348
344,368,Iraq,2005,4.4,1343.0,36268.0,4.1,113523
345,368,Iraq,2010,5.5,3808.0,117138.0,3.6,112196
346,372,Ireland,1985,3.1,5974.0,21296.0,7.6,26725
347,372,Ireland,1995,9.6,18958.0,69225.0,9.1,32970
348,372,Ireland,2005,6.0,50236.0,211644.0,10.5,43538
349,372,Ireland,2010,1.8,48009.0,222134.0,8.7,40055
350,376,Israel,1985,4.0,6706.0,27379.0,6.1,24870
351,376,Israel,1995,8.7,18793.0,100239.0,9.6,51100
352,376,Israel,2005,4.1,21568.0,142411.0,8.6,56952
353,376,Israel,2010,5.5,31475.0,233733.0,9.3,68881
354,380,Italy,1985,2.8,7905.0,450706.0,6.6,372134
355,380,Italy,1995,2.9,20449.0,1170824.0,7.6,430484
356,380,Italy,2005,0.9,31503.0,1852616.0,8.1,473384
357,380,Italy,2010,1.7,35578.0,2125058.0,6.8,405361
358,388,Jamaica,1985,-4.6,1114.0,2605.0,2.2,5046
359,388,Jamaica,1995,1.0,2592.0,6578.0,3.7,9179
360,388,Jamaica,2005,0.9,4097.0,11244.0,3.9,10499
361,388,Jamaica,2010,-1.5,4692.0,13219.0,2.7,7297
362,392,Japan,1985,5.2,11476.0,1398893.0,7.6,915397
363,392,Japan,1995,2.7,43118.0,5449118.0,9.5,1183447
364,392,Japan,2005,1.7,37054.0,4755410.0,9.8,1239255
365,392,Japan,2010,4.2,44341.0,5700098.0,9.2,1171625
366,400,Jordan,1985,-2.7,1786.0,5173.0,3.0,8540
367,400,Jordan,1995,6.2,1488.0,6802.0,3.1,13557
368,400,Jordan,2005,8.1,2226.0,12720.0,4.0,21060
369,400,Jordan,2010,2.7,3692.0,26520.0,3.3,21181
370,398,Kazakhstan,1995,-8.2,1282.0,20563.0,10.6,169166
371,398,Kazakhstan,2005,9.7,3676.0,57124.0,11.7,177329
372,398,Kazakhstan,2010,7.3,9028.0,148047.0,15.3,248549
373,404,Kenya,1985,4.3,464.0,9110.0,0.2,3770
374,404,Kenya,1995,4.4,491.0,13428.0,0.3,7554
375,404,Kenya,2005,5.9,597.0,21506.0,0.3,8562
376,404,Kenya,2010,8.4,967.0,40000.0,0.3,12174
377,296,Kiribati,1985,-4.6,468.0,30.0,0.3,22
378,296,Kiribati,1995,-0.6,720.0,56.0,0.4,29
379,296,Kiribati,2005,5.0,1215.0,112.0,0.7,62
380,296,Kiribati,2010,-0.9,1521.0,156.0,0.6,62
381,414,Kuwait,1985,-4.3,12333.0,21446.0,16.7,29160
382,414,Kuwait,1995,1.4,16487.0,26554.0,33.7,54822
383,414,Kuwait,2005,10.6,35490.0,80798.0,31.6,71547
384,414,Kuwait,2010,-2.4,38497.0,115416.0,29.3,89625
385,417,Kyrgyzstan,1995,-5.4,327.0,1492.0,1.0,4529
386,417,Kyrgyzstan,2005,-0.2,485.0,2460.0,1.1,5592
387,417,Kyrgyzstan,2010,-0.5,884.0,4794.0,1.2,6384
388,418,Lao People's Dem. Rep.,1985,5.1,170.0,626.0,0.1,202
389,418,Lao People's Dem. Rep.,1995,7.5,382.0,1852.0,0.1,348
390,418,Lao People's Dem. Rep.,2005,6.8,512.0,2946.0,0.3,1404
391,418,Lao People's Dem. Rep.,2010,8.1,1171.0,7313.0,0.3,1639
392,428,Latvia,1995,-1.1,2154.0,5404.0,3.8,9443
393,428,Latvia,2005,10.7,7514.0,16922.0,3.3,7506
394,428,Latvia,2010,-3.9,11216.0,23765.0,3.9,8075
395,422,Lebanon,1985,24.3,850.0,2275.0,2.8,8056
396,422,Lebanon,1995,6.5,3793.0,11506.0,3.9,13579
397,422,Lebanon,2005,2.7,5390.0,21490.0,4.0,16208
398,422,Lebanon,2010,8.0,8858.0,38420.0,4.6,20047
399,426,Lesotho,1995,4.6,542.0,955.0,1.0,1709
400,426,Lesotho,2005,2.7,800.0,1560.0,1.0,2013
401,426,Lesotho,2010,6.1,1169.0,2386.0,1.1,2277
402,430,Liberia,1985,-2.0,491.0,1076.0,0.3,722
403,430,Liberia,1995,-4.3,101.0,209.0,0.1,326
404,430,Liberia,2005,5.3,217.0,706.0,0.2,726
405,430,Liberia,2010,7.3,327.0,1292.0,0.2,792
406,434,Libya,1985,8.3,7715.0,29887.0,8.2,31419
407,434,Libya,1995,-2.2,5717.0,28292.0,9.6,46021
408,434,Libya,2005,10.3,7846.0,45451.0,9.0,52108
409,434,Libya,2010,4.3,13121.0,80942.0,9.9,61961
410,438,Liechtenstein,2010,7.4,156127.0,5621.0,1.5,55
411,440,Lithuania,1995,3.3,1848.0,6702.0,4.5,16204
