,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Min Salary,Max Salary
593,Business Data Analyst,57-103 (),"Business Data Analyst at an established company
Full-time (Direct Hiring)
Looking for someone who can analyze business big data.
On your resume, please specifically mention your computer skill sets & related job experiences.
- Strong ability to deal with SQL related analysis and development
- Detail oriented
- Culturally open to diversity
- Strong communication skill set
- Strong organization skill set
- Time management
Main jobs:
By using BI tools,
- Write SQL syntax from SQL database and extract/process data
- Create a dashboard for online delivery
VISA sponsorship: not available
Job Type: Full-time
Pay: $55,000.00 - $75,000.00 per year
Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus Pay
Experience:
SQL: 1 year (Required)
BI tools: 1 year (Required)
Education:
Bachelor's (Preferred)
Location:
Los Angeles, CA (Required)
License:
Driver's License (Preferred)
Language:
Japanese (Business level) (Preferred)
Work authorization:
United States (Required)
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",5.0,"['Connect International', '5.0']","Los Angeles, CA","West Roxbury, MA",1 to 50 employees,Nonprofit Organization,,,Unknown / Non-Applicable,False,57,103 ()
594,Business Data Analyst,57-103 (),"PUBG Corp. is the developer and publisher of the blockbuster video game, PLAYERUNKNOWN'S BATTLEGROUNDS (PUBG). Since its release, PUBG has received worldwide acclaim and has sold many millions of copies, winning multiple game awards worldwide and setting the standard for the battle royale genre. Headquartered in Seoul, South Korea, PUBG Corp. has operational offices globally across North America, Europe, Japan, China, and South East Asia.

We are seeking a Business Data Analyst to join our Business Insights team full time, supporting management's decision making and all marketing/community/esports initiatives for the Global market from our Santa Monica office. The right candidate will be highly organized individual with outstanding analytical and communication skills. Being self-motivated is a must, as well as familiarity with the whole funnel of data analysis - from processing, cleansing, build models, visualization to communicating results to management and related teams.

Roles and Responsibilities
Managing and delivering on complex analytical requests
Develop KPIs, tools and dashboards that measure the health of our product
Build ad hoc reports and analyses based on requests from business teams
Partner with content creators, marketers, engineers, and operators to translate business insights into decisions and action
Find opportunities for growth and efficiency for PUBG
Design and analyze marketing performance; communicate results and launch decisions
Skills to create thrills
BA/BS degree in quantitative/analytical field such as Mathematics, Statistics, Computer Science, and Engineering Advanced degree preferred
Minimum 4 years of experience in a data analytics role
Minimum 2 years of data visualization and reporting using BI tools (Tableau, Looker or similar)
Proficiency in SQL able to write complex but structured and efficient queries and handle edge cases within a large dataset
Experience in programming, especially wth data science and visualization libraries in Python or R
Strong oral, organizational, and written communication skills, and ability to collaborate with cross-functional partners to build the business.
Preferred Qualifications
Experience in performing analysis on Spark, Hadoop related infrastructure
Experience with using cloud systems (AWS, Azure or equivalent)
Bonus Points
Passionate gamer and avid PUBG fan
Hungry for Chicken
Perks
Competitive compensation
100% family coverage of medical, dental, vision insurance
Unlimited time off for all employees
401K match, covered life insurance
Subsidized gym membership
Free lunches and fully stocked kitchen
Lots of PUBG Swag including Loot Box drops, free PUBG play on Steam & monthly PUBG company rumbles
Team outings and happy hours throughout the year
Reasonable Accommodation

PUBG Santa Monica is committed to the full inclusion of all qualified individuals. As part of this commitment, the Company will ensure that persons with disabilities are provided reasonable accommodations. If reasonable accommodation is needed to apply for an open position, perform essential job functions, and/or to receive other benefits and privileges of employment, please contact the HR Talent team at PUBG Santa Monica, to begin the interactive process.

EEOC statement

PUBG Santa Monica provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type.",4.5,"['PUBG Santa Monica', '4.5']","Los Angeles, CA","Seoul, South Korea",501 to 1000 employees,Company - Private,Video Games,Media,Unknown / Non-Applicable,False,57,103 ()
595,Epidemiologist Data Analyst-Urology,57-103 (),"Overview

You can find the cures you know are out there. At UCLA Health, you make it happen as part of a groundbreaking Research team, working to understand hundreds of medical disorders and improving processes for dozens of procedures across the globe.

Job Duties
Job Qualifications

Job Duties

Responsibilities

Under the general direction of the Research Core Manager and the Principal Investigator(s), your primary responsibility is the day-to-day administration of large translational research grant(s). You will assists with many tasks including scheduling meetings, communications, financial report preparation, purchasing, reimbursement, travel, and coordination of seed grants and developmental funds and will be the day-to-day liaison for projects and committees, other related on and off-campus agencies and institutions and administrators serving as a liaison for project investigators, collaborations, and committee members and responsible for communication and consultation with project(s) program officer(s) and staff. You will ensure proper compliance, maintenance of all associated research files. including minority inclusion policy monitoring. Working with the department fund management team, the incumbent ensures budget reporting compliance according to project timelines.


UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.


Job Qualifications

Qualifications
Demonstrated strong writing skills.
Demonstrated ability to develop long-range strategic planning and operationalize according to grant mandates.
Demonstrated ability to organize, initiate and work independently to address responsibilities; must have strong time management skills and ability to independently prioritize tasks and re-prioritize work based on knowledge of research objectives.
Skill in handling sensitive or confidential matters with discretion.
Analytical skills to analyze information, practices and procedures, formulate logical and objective conclusions, and make recommendations for effective solutions.
Excellent interpersonal, oral, and written communication skills; ability to effectively and clearly communicate research goals, participant’s obligations, benefits and limits to study participation in terms understood by participants; ability to discuss sensitive health and emotional matters; and ability to communicate effectively with medical, nursing and administrative personnel and regulatory.
Demonstrated ability to interact effectively with culturally diverse population (cultural, socio-economic status, educational, cognitive) in order to efficiently establish rapport and cooperative, collaborative working relationships.
Demonstrated ability to work with persons with highly sensitive health issues.
Demonstrated ability to establish and maintain a cooperative working relationship with co-workers, faculty, research staff, students, and community contacts and collaborate effectively as a team.
Bachelor’s degree in a health science field, such as biology, nursing, public health, etc. strongly preferred
Master’s in health science field, such as biology, nursing, public health, etc. preferred
Knowledge of basic science related cancer treatment.
Demonstrated ability to maintain confidentiality.
Experience developing, monitoring, and implementing office systems and procedures to ensure a smooth and effective operation.
Knowledge of prostate cancer treatment and treatment-related side effects.
Ability to work a flexible schedule in order to meet changing priorities.
Familiarity with medical terminology.
Skill in event planning, both on-campus and off-campus

Summary Information

Posting Category:
Research

Work Location:
US – Los Angeles, CA

UCLA Title: PUBL ADMNST ANL

Job #: 7087

Work Hours:
M-F; 8AM-5PM; Hours May Vary

Job Type: career

Duration: Indef

Salary Range:
$23.04 – $45.54 Hourly

Layoff Referral Deadline:
3/17/2020

Bargaining Unit:
99

Posted Date:
March 2, 2020",4.0,"['UCLA Health', '4.0']","Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,False,57,103 ()
690,Business Analyst Asset Data Management,113-132 (),"Job Description
Network Rail Consulting, Inc. is hiring!

Network Rail Consulting, Inc. is an international rail consultancy offering unrivalled expertise in railway infrastructure.

This is an exciting unique opportunity to join an established and rapidly growing global rail consultancy business. NRC offers a competitive salary package, health insurance premiums paid by the organization, performance related pay, generous leave entitlement, access to further training and embraces flexible working.

We are hiring for the following position:

Business Analyst – Asset Data Management

Working as part of a systems integration project team tasked with implementing an Enterprise Asset Management System, you will work closely with the Business and Solution Architects within the project to align technical solutions with business needs.

Key Accountabilities:
Assist the PM in the completion of EAM Information Architecture for this project;
Develop functional design documents;
Complete tasks within the project and develop solutions to a timeline within budget; and
Collaborate with the PM to ensure the needs of the client have been met.
Essential Job Skills:
Bachelor’s Degree in Engineering, Business Administration, Information Technology, or a related field.
Minimum of 5 years transit experience with a least 5 years in EAM tools.
Demonstrates high level of oral and written communication skills.
Self-starter needing minimum supervision and demonstrated ability to take initiative.
High proficiency in Microsoft Business Suite (specifically Word, Excel, and PowerPoint) or related software program.
Sound understanding of asset management and experience with asset management information systems.
Experienced in developing, implementing and managing systems and processes resulting in the safe, effective and efficient infrastructure operation.
Significant experience and knowledge of transit assets and approaches to Asset Management and Maintenance, with deep knowledge in at least one asset class.
Experience in the design and construction of railway renewals and enhancement projects nationally and/or internationally.
Possess broad functional knowledge of EAM software and have experience in developing functional requirements for complex EAM systems.
Maintains current understanding of industry standards, trends, and best practices through industry and other professional networks.
Interested candidates should apply using the following link:

https://isw.changeworknow.co.uk/network_rail_consulting/vms/e/careers/positions/dVlm74PJ9eVyFrN0YhG9Oh",4.0,"['NRC INC', '4.0']","Los Angeles, CA","Boca Raton, FL",51 to 200 employees,Company - Private,,,Unknown / Non-Applicable,False,113,132 ()
1251,Research Data Analyst,76-122 (),"UCSD Layoff from Career Appointment : Apply by 07/10/20 for consideration with preference for rehire. All layoff applicants should contact their Employment Advisor.

Special Selection Applicants : Apply by 07/20/20. Eligible Special Selection clients should contact their Disability Counselor for assistance.

DESCRIPTION

The Department of Family Medicine and Public Health has approximately 100 salaried faculty and is comprised of seven divisions: Behavioral Medicine, Biostatistics and Bioinformatics, Epidemiology, Family Medicine, Global Health, Health Policy, and Preventive Medicine. Our mission is to improve Public Health through preventive, behavioral, epidemiologic and clinical research, education and clinical care. Our patient care is provided at several locations across the county as well as through multiple initiatives with the medically under-served in our community and includes training of over 60 residents and fellows.

With over $125 million in research grants and contracts, our award-winning faculty conduct innovative Public Health research at the intersection of behavioral and medical sciences to assess and understand chronic disease etiology, improve human health, and prevent disease at the individual and population level.

The staff member will serve as the statistician or data analyst for multiple grant funded studies and will use skills as a seasoned, experienced research professional with a full understanding of in-depth statistical analyses and research software programming techniques. Responsibilities may include: performing statistical analyses, providing data management, analyzing datasets for performance of algorithms, processing and preparing device (accelerometer, GPS, GIS, ActivPal) data for analysis and machine learned algorithms, developing programming protocols for computing data in the cloud or other systems, manuscript and presentation preparation, developing and implementing data security policies and procedures, managing data use policies, and providing work direction for staff and interns for several studies. This individual will work closely with the research team and co-investigators.

MINIMUM QUALIFICATIONS
A Bachelor's Degree in related area; and/or equivalent experience/training.
Three (3) years of related experience in statistical analysis of data in research studies, and computational tools and statistical programming languages.
Thorough knowledge of research function.
Proven skills associated with statistical analysis and systems programming.
Demonstrated skills in analysis and consultation.
Excellent skills to communicate complex information in a clear and concise manner both verbally and in writing.
Strong skills in project management.
Research skills at a level to evaluate alternate solutions and develop recommendations.
Proficient in R programming language.
PREFERRED QUALIFICATIONS
Master's Degree in biostatistics, statistics, or related area; and/or equivalent experience/training is preferred.
Experience with processing data from devices such as accelerometers, ActivPals, and device data.
Experience working with big data.
Experience with cloud computing services (such as AWS cloud).
SPECIAL CONDITIONS

Employment is subject to a criminal background check.",4.3,"['UC San Diego', '4.3']","San Diego, CA","La Jolla, CA",10000+ employees,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,False,76,122 ()
1253,Data Analyst,76-122 (),"Job Description
Job Title: Data Analyst
Location: San Diego, CA
Longterm Contract (W2)
Salary: DOE

Job Description:
Identifies, locates and extracts data from a variety of sources for use in reporting, analysis, and statistical modeling
Responsible for providing reporting, ad-hoc data and analytical support across operational areas of the business through a translation of complex analytics into concise and consumable reports
Tests, analyzes and problem solves data issues to ensure data integrity and provide technical support for end-users self-service BI tool.
Participates in analytical investigations aimed at answering specific business problems using data with an emphasis on recommending actionable solutions based on insights
Builds strong relationships with business partners and leaders to provide thought partnership on metrics and visualizations
Collaborates and provides support to multiple departments to ensure the business intelligence, analytics, and reporting needs are met with technology, architecture, processes, and tools
Develops and maintains automated reports for daily consumption using specific formatting and presentation guidelines
Documents data definition and report sources and for all reports
REQUIREMENTS:
0 to 2 years of experience in database marketing analysis including analytics, response analysis, ROI analysis, customer profiling or equivalent
SAP BI or equivalent BI tool expertise required
Experience with visualization tools such as Tableau preferred
Experience with database querying tools, languages and analytical platforms supporting database marketing, including SQL, required
Big data experience preferred",4.5,"['Conflux Systems Inc.', '4.5']","San Diego, CA","Alpharetta, GA",1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),False,76,122 ()
1255,Division Data and Financial Analyst,76-122 (),"This position will remain open until filled.UCSD Layoff from Career Appointment: Apply by 03/11/2020 for consideration with preference for rehire. All layoff applicants should contact their Employment Advisor.Special Selection Applicants: Apply by 03/13/2020. Eligible Special Selection clients should contact their Disability Counselor for assistance.The effects of the COVID-19 pandemic have impacted UC San Diego Campus hiring. Our Campus will continue to recruit for essential positions and we ask for your understanding and patience with our application process during this unprecedented time. For more information regarding steps we are taking to keep applicants and staff safe during this time, please click here.DESCRIPTIONReporting to the Division Business Office (DBO), the Division of Biological Sciences (DoBS) Data and Financial Analyst will use skills as a seasoned, experienced professional with a full understanding of industry practices and organizational policies and procedures to resolve a wide range of issues in imaginative as well as practical ways. The incumbent will implement and administer data-based systems, and manage and develop data practices to support diverse divisional needs for data and reports. This includes determining needs and building, customizing, and enhancing reporting from new and existing campus systems, including UC Path and Oracle Financial.Provide strategic planning, resource management, and reporting tools for DoBS Dean's Office and Business Office administrative units (Student Instructional Services, Fiscal, Academic Personnel & Human Resources, Computing Services, Shops, and Safety). Compile information from multiple data sources and formats to produce customized and standard reports, statistical analyses, and graphical representations of data to meet business operational needs. Produce reports, dashboards, and other data analysis tools for policy and operational requirements based on an analysis of existing data and sources, and an evaluation of the needs of and impact to different units/leadership. Partner with DoBS leadership, managers, and staff in the development, testing, and implementation of ad hoc reports and reporting tools.Partner with the DoBS Dean's office, CFO, and Core Operations Analyst to provide and analyze financial reports for compliance with federal, state, and UC regulations. Synthesize data, prepare formal and informal presentations, reports, and statistical analyses using spreadsheets, charts, and other graphical displays that summarize complex concepts in ways that are understandable to various audiences. Provide analysis and reports to the Dean, Associate Deans, Assistant Dean, and senior management within various units including financial, personnel and academics to facilitate the strategic planning efforts.* Occasional evenings and weekends may be required.QUALIFICATIONS* Graduation from college with a major in business administration, economics, statistics, educational administration, computer science or an allied field and two (2) years of experience in administrative analysis or operations research; or an equivalent combination of education and experience.* Demonstrated report development capabilities using Cognos and other Business Intelligence Reporting tools.* Thorough knowledge of databases, database design and management. Demonstrated experience in SQL, Access, and Excel.* Substantial experience developing and maintaining database systems using appropriate software applications in order to conduct data analytics, e.g., perform statistical sampling, data mining, statistical analyses, correlational studies, etc. and provide summarization of data report and make recommendations.* Familiarity in projecting salary, benefits, and accruals, indirect costs with knowledge of payroll and personnel regulations including the impact of salaries, merits, range adjustments, social security cap and accompanied benefit costs and leaves where applicable.* Strong analytical and data modeling background. General knowledge in data collection and analysis techniques, statistics or social science research techniques. Solid knowledge of common computer application programs.* Strong skills in analyzing, researching and synthesizing large amounts of data for preparing sound and relevant proposals and analyses. Skill in independently researching, compiling, organizing, interpreting and selecting data and materials from various sources.* Proven ability to download, merge, manipulate, analyze and report on large amounts of complex data from various campus and departmental sources. Ability to design and generate reports using spreadsheets, pivot tables and statistical tools.* Proficiency in organizing and reporting data with strong attention to detail and accuracy and ability to solve complex methodology. Ability to identify, synthesize and distribute critical sources of data and information.* Demonstrated budgetary management skills with ability to analyze financial operating data to determine costs, remain within budget and ensure cost-effectiveness.* Proven knowledge of federal, state and private contract and grant regulations with the skill and ability to read, comprehend, interpret and execute, including the regulations of novel and/or unique agencies or programs.* Demonstrated ability to perform and participate in internal audits of procedures to ensure compliance to campus, system-wide, state and federal policies and standards.* Proven ability to accurately interpret and implement policies and procedures and effectively communicate and disseminate information. Skill in writing procedures, guidelines and application documentation.* Ability to think strategically and creatively, to anticipate Business and Financial trends and to transfer that thinking into Divisional Business needs. Knowledge of organizational principles and procedures involved in handling sensitive data.* Exceptional interpersonal and verbal and written communication skills. Demonstrated ability to communicate technical information to technical and non-technical personnel at various levels in the organization.* Strong ability to present information in a clear concise manner verbally and in writing. Ability to present well-organized, clear, informative presentations, both in one-on-one situations and in group settings. Ability to respond well to rapid questioning on difficult issues.* Extensive organizational, analysis and decision-making skills to continually prioritize between long and short term needs, competing demands and constant requests for priority changes from a variety of sources, keep track of ongoing projects and tasks simultaneously, and meet multiple concurrent deadlines.PREFERRED QUALIFICATIONS* Knowledge of financial, admissions, enrollment, academic personnel, human resources, space and contracts and grant awards data.SPECIAL CONDITIONS* Job offer is contingent upon a satisfactory clearance based on background check results.Apply NowThe University of California is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, age, protected veteran status, gender identity or sexual orientation. For the complete University of California nondiscrimination and affirmative action policy see: http://www-hr.ucsd.edu/saa/nondiscr.htmlUC San Diego is a smoke and tobacco free environment. Please visit smokefree.ucsd.edu for more information.",4.2,"['University of California', '4.2']","San Diego, CA","Oakland, CA",10000+ employees,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),False,76,122 ()
1257,Data Analyst 3,76-122 (),"Job Description Summary

Job Description

We are seeking an experienced data analyst to help drive innovation and make an impact within the world of health. The Data Analyst 3 functions as an integrator between business needs and technology solutions, helping to create technology solutions to meet business needs. The Data Analyst 3 makes complex information and data sets understandable through rich visual formats that are insightful and actionable. You'll be working to solve complex healthcare problems using large datasets and an array of advanced data analytics tools. Every day you'll be working alongside energizing product teams that are eager to work with you to solve our customers' most pressing problems.

The Data Analyst 3 resides within the Software Technology Solutions, Analytic Services department. Technology Solutions is a software development organization within BD responsible for delivering analytics and surveillance solutions that help hospitals take care of their patients. Capabilities like advanced analytics, user experience design, data science, test automation, project/portfolio management, lean-agile software development practices, and automated software development metrics are critical to our success. Software Technology Solutions provides data products and solutions to our customers using in-depth detailed medical device and hospital data to improve the safety and experiences for all patients.
Own an analytics project from start to end including relationship building, requirements gathering, solution designing, collaborating, communicating, documenting, and presenting outcomes.
Based on others' or your own design, develop, tune, test, store, label, and document code.
Drive details of how the solution meets the needs including writing test plans, organizing test execution, executing testing, and supporting solutions in production.
Drive insight by designing professional visualizations with logical and meaningful data flow.
Build data visualizations with a strong understanding of the appropriate chart types to use to highlight patterns in the data for unstructured and structured data sets
Create and drive solutions that lead to greater efficiency for the Analytic Services team and our customers.
Minimum Requirements:
Must have a Bachelor's degree in Computer Science, Business or a quantitative field.
Must have a minimum of six years of experience in exploratory data analysis using Excel, Python and/or R.
Must have a minimum of two years of experience with Python for data manipulation, program development, deployment, and support. Ability to write functions, object oriented code, and leverage automated testing tools such as pytest.
Must have a minimum of two years of experience with data visualization tools such as ggplot2 or Matplotlib.
Must have a minimum of four years of SQL coding. Can do complex joins and understands architectural principles.
Must have knowledge of introductory statistics.
Ability to work independently, manage small engagements or parts of large engagements.
Must be a trustworthy business partner who actively communicates and collaborates with team members and customers.
Must be a stickler for accuracy and quality.
Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint).
Strong problem solving and troubleshooting skills with the ability to exercise creativity and mature judgment.
Strong business acumen.
Strong interpersonal and communication skills (both written and oral) including the ability to communicate technical/statistical concepts to a non-technical audience.
Strong candidates are creative, detail-oriented, innovative, and have intellectual curiosity.
#LI-TECH

Primary Work Location

USA CA - San Diego TC Bldg C&D

Additional Locations

Work Shift

NA (United States of America)",4.0,"['BD (Becton, Dickinson and Company)', '4.0']","San Diego, CA",,Unknown,Company - Private,,,Unknown / Non-Applicable,False,76,122 ()
1259,Data Analyst,76-122 (),"Department
Bioengineering
Location
San Diego, CA
Job Type
Full Time
ID #
1234624
Cue Health Inc. is seeking to hire a full-time Data Analyst with expertise in data management and analysis.
Responsibilities:
Compile data in designated format
Analyze data and generate summary reports
Exercise considerable judgment and take initiative required to resolve problems and make recommendations
Document experimental data, present data, conclusions, and interpretations
Requirements:
BS degree in Biology, Molecular Biology, Biochemistry, or related field - Great opportunity for a recent graduate (preferred)
2+ years of relative work in bio-production and analytical biochemistry
Knowledge of GMP and GDP lab practices
Proficient in analytical and critical thinking
Proficient in Microsoft and Google applications
Candidate will adhere to established protocols and good laboratory practices while meeting expected daily and weekly deliverables
Excellent written and verbal communication skills
Self-motivated to lead projects while working effectively in a team
Recommended but not Required:
Experience with JMP
Experience in mammalian and bacterial cell culture and transfection
Track record with antibody expression and protein engineering
IVD experience is a plus
Analytical biochemistry for QA/QC of proteins
Physical Requirements:
Remaining in a stationary position, often standing or sitting for prolonged period of time
Adjusting, moving or lifting objects up to 25 pounds
Repeating motions that may include the wrists, hands
and/or fingers
Operating machinery and/or power tools
As part of Cue, you will:
Benefit the organization through use of your expertise in data management and analysis
Where you’ll work
You will work in a modern open office located in Sorrento Valley in San Diego, CA, with a lot of natural light. As an early employee your contribution will set the pace and have an impact in Cue’s future. Your work and ideas will be valued and respected, and we hope you will find enjoyment working with a great team on such an innovative device.
Perks within Cue culture
Unlimited snacks
Competitive salary
Stock options
Robust Health/Dental/Vision benefits, including optional HSA",4.2,"['Cue', '4.2']","San Diego, CA","San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,False,76,122 ()
1260,Junior Data Analyst,76-122 (),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

ngxFtVtLGv",5.0,"['Staffigo Technical Services, LLC', '5.0']","San Diego, CA","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,76,122 ()
1263,Data Analyst,76-122 (),"Job Description
The Customer Engineering Operations team in San Diego is devoted to the support of our internal Engineering personnel as well as our External Customers. This position will be based in San Diego and working in the Customer Engineering Operations team supporting all data analysis activities. Candidate will be responsible for working with a number of different systems to track, report, data mine, and ascertain critical business trends and perform necessary analysis as needed for NRE and non-NRE headcount, budget, third party and IoT business activities. This individual will work via email and telephone with the Ops teams across several countries and must have good writing and verbal skills. Use of multiple business intelligence tools to track and assemble reports for end users. Creation and development of Reports/Dashboards and carrying out statistical analysis and trend analysis of data. Creation of annual billing reports per agreements as needed. Close partnership with the San Diego Ops team for the creation of Salesforce Projects as needed and to capture customer support efforts. Working with IT to troubleshoot day to day end user issues with reporting tools (Salesforce/Qlikview). Candidate will use Excel and Powerpoint skills and should be highly detail oriented.

Minimum Qualifications:
Bachelor's in Electrical Engineering or Computer Science Knowledge of ThoughtSpot and Qlikview tools Expert level knowledge in MS Office, including mastry in Excel (current versions) and MS Powerpoint Proven experience working with Big Data and able to provide customized BI solutions Experience working with data analysis, including driving needs gathering, documentation creation and reporting Salesforce Dashboards and Reporting expertise Salesforce Dashboards and Reporting expertiseSalesforce Dashboards and Reporting expertise

Preferred Qualifications:
MBA with Engineering or Computer Science Degree (MSEE, MSCS, BSEE) -Experience in creating Statement of Work for Engineering Projects -Knowledge of Salesforce
Education:
Strongly preferred: Bachelor's, Computer Science and/or Electrical Engineering
Preferred: Master's, Business Administration and/or Computer Science and/or Electrical Engineering

Duration: 12 months+",4.4,"['ProMedia', '4.4']","San Diego, CA","Miami, FL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,False,76,122 ()
1265,Business Data Analyst (SQL / Tableau),76-122 (),"Business Data Analyst (SQL Tableau) Category IT- Infrastructure Posted 07072020 San Diego, California Contract To Hire Description Job Title Business Data Analyst (SQL Tableau expertise) W2 contract to hire About the Opportunity A well respected San Diego healthcare organization is looking to bring on a SQL Data Analyst on a contract to hire basis. The ideal candidate will have a passion for data analytics and an excellent track record of analyzing and manipulating data to provide tangible insights. This is a high-profile position that will be interacting with and presenting findings to top level management, outstanding communication is a must! This is a great chance to join an industry leader and contribute to their long-term success. If this aligns with your career goals and you're qualified and interested don't hesitate to apply! Responsibilities Provide in depth data analysis and communicate findings clearly to management Produce actionable data reporting using SQL Tableau to contribute to business decision making Work closely with stakeholders across multiple divisions to determine reporting and data analytics needs Present business relevant findings to executive team on a monthly and ad hoc basis to facilitate ongoing business strategy Qualifications Must have the ability to analyze data and be willing to present and clearly communicate finding to the executive team. Working knowledge of SQL. Experience with reporting tools such as SSRS andor Tableau Ability to effectively participate in various activities and to interact with other departments and staff effectively. Demonstrated organizational, analytical and problem solving skills ability to meet rapidly changing deadlines Detail oriented, able to follow directions quickly and efficiently, possesses a good attitude about operational or functional change. Excellent written and verbal communication skills. Interested in learning more? Please don't hesitate to give us a call at 858-242-5611 or visit our website www.sayvasolutions.com for more information, or follow our LinkedIn page for updates here httpswww.linkedin.comcompanysayva-solutions . If you are already working with a Sayva team member, contact them directly and they will be happy to discuss this opportunity in more detail. Also feel free to contact me directly at joesayvasolutions.com About Sayva Sayva Technology provides consulting, contract to hire, and direct hire recruiting to support project and full-time placement needs. Our decades of combined industry experience has fostered a vast network and emphasis on efficiency, responsiveness, and quality results. LI-JH1",4.8,"['Sayva Solutions', '4.8']","San Diego, CA","La Jolla, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,False,76,122 ()
1266,Data & Business Intelligence Analyst,76-122 (),"Description

Responsible to provide support to end users of Salesforce at the Rock Church. This position requires very good functional business and systems analysis along with several years of experience administering a Salesforce implementation and development. Experience as an Salesforce administrator and/or developer with good knowledge on Salesforce architecture that clearly understands the best practices to be followed in Salesforce configuration and development. Strong project management experience to lead small to medium sized projects involving Salesforceare needed in order to have a good understanding of Salesforce implementation and customizations.

Theanalyst will consult with business management to assess, analyze, recommend, and implement business improvements and initiatives using Salesforce in order to :
Use simple techniques to define as-is and to-be process and data flows and solutions, to Business users and other IT team members.
Coordinate and lead small and medium sized IT projects & application enhancements, involving multiple departments and geographic regionsthroughout the software development life cycle.
The individual should define requirements gathering and analysis, solution design, testing, implementation and support.
Ensure business requirements are clearly defined, verifiable and scalable.
Create reports or templates based on the enterprise reporting needs.
Education and experience
Bachelor's Preferred
Salesforce Certified Advanced Administrator certification required
Salesforce Certified Platform App Builder
Salesforce Certified Sale Cloud Consultant or Salesforce Certified Service Cloud Consultant certification strongly preferred.
Organizational and Spiritual Requirements
Demonstrate Christ-centered behavior at all times by treating people with dignity, respect, compassion and integrity.
Utilize the principles of Matthew 18 and Ephesians 4:15 to resolve differences of opinion with others.
Successful completion of a thorough pre-employment references and background checks, which include: social security verification, Local, State &
Federal criminal conviction records search, national security database, and sex offender registry.
Attendance at all mandatory meetings and events. This includes serving at Good Friday, Easter and Christmas services as well as the annual volunteer appreciation event.
Member of the Rock Church (Compete Rock Church LIFE class).
Regular involvement in Rock Church activities, ministries and events.
Tithe 10% to the Rock Church.
Signed acknowledgment of the Rock's Statement of Faith.
Ability to interpret and adhere to the Rock's policies, procedures and employee handbook.
Be self-motivated and goal oriented, use good judgment, and be flexible and innovative.
Professional attitude and demeanor.
Physical Requirements

Reasonable accommodations may be made to enable individuals with disabilities to perform these essential functions. Must be able to work independently, communicate effectively, and lift up to 50lbs (with or without assistance). This position also may require long periods of sitting, standing, walking, and hand/eye coordination for keyboard data entry and viewing data on a computer monitor. External and internal applicants, as well as position incumbents who are or become disabled, as defined under the American with Disabilities Act, must be able to perform the Essential Job Functions either unaided or with assistance of a ""reasonable accommodation"", if such is determined, on a case-by-case basis.

Job Posted by ApplicantPro",5.0,"['The Rock Church', '5.0']","San Diego, CA","Fenton, MI",1 to 50 employees,Nonprofit Organization,,,Unknown / Non-Applicable,False,76,122 ()
